"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12350",38.3,78.3,78.3,3134.8,7.18,1,TRUE,23290,58055,1.35,-1.93118881711402,-0.816800621756118,-0.476901415930583,-0.016865276221597,-0.329020843943516,NA,NA,NA,-0.69825287334809,-0.783489219670733,49321,6.77933753943218,0.147507037993532
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12351",38.4,78.4,78.4,3142,7.18,1,TRUE,23284,58091,1.33,NA,-0.613735748983355,-0.314134789149844,-0.0665925845570251,-0.279927655025951,NA,-0.150752365264357,-2.33404378109673,-0.347999348983688,-0.702523476199401,48932,6.69734151329243,0.149312977099237
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12352",38.5,78.5,78.5,3149.2,7.17,1,TRUE,23753,58555,1.23,-1.38755635832604,-0.852889934364494,-0.184698302789633,-0.555907461485929,-0.29011627625935,-1.98269583275598,-0.236966892761847,NA,-0.285465713329237,-0.654152390807673,49312,6.64882891267256,0.150402426221859
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12353",38.6,78.6,78.6,3156.3,7.16,1,TRUE,24272,61340,1.18,-0.058635723042874,-0.399748830527256,-0.0194730398755927,-0.128911928822935,-0.201990942676448,NA,NA,-1.42285531049177,0.0180961989691922,-0.754595568337205,50522,6.7499616505599,0.148148989841602
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12354",38.7,78.7,78.7,3163.5,7.17,1,TRUE,24246,60723,1.39,-0.454747519576235,-0.443863937477242,-0.0379415206599683,-0.394830594245233,-0.195376340865443,NA,NA,-1.46856408119317,-0.18662590881622,-1.07385801918235,50026,7.08174474959612,0.14120813942878
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12355",38.8,78.8,78.8,3170.6,7.17,1,TRUE,24099,58994,1.41,-0.445659052133242,-0.371102761893028,-0.359967024603996,-0.517201771825414,-0.332291747386403,NA,NA,NA,-0.0118171437509138,-0.568722080573611,49930,6.56400545371913,0.152346003831152
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12356",38.9,78.9,78.9,3177.7,7.17,1,TRUE,23354,56621,1.36,-1.74920458064156,-0.562054959248221,-0.401485894096996,-0.0971121223413656,-0.399703365557446,NA,NA,NA,-0.450819054719902,-0.913186327278163,48719,6.91278219912295,0.144659555472017
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12357",39,79,79,3185,7.18,1,TRUE,23315,56569,1.27,-0.797322387315683,-1.12886999924484,-0.704222107377983,-0.954152648209336,-0.563036793940012,NA,NA,-1.58879986336002,-0.224441245254054,-0.831066644469998,49058,6.82798787298548,0.146456030473698
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12358",39.1,79.1,79.1,3192.3,7.16,1,TRUE,23519,57937,1.37,-0.371423651425881,-0.464791648596315,-0.142799032386858,-0.649914253138395,-0.26571839845398,NA,NA,-1.79131551280031,-0.77132689455148,-0.685618801173992,48655,6.68034727703236,0.149692816635161
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12359",39.2,79.2,79.2,3199.6,7.16,1,TRUE,23361,59167,1.35,-0.699506543582715,-0.324412086220989,0.0449123543976783,-0.0136456087771805,-0.152533446275755,NA,NA,NA,-0.355148115902719,-0.55171209793837,48642,6.54724592707525,0.15273597649122
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12360",39.3,79.3,79.3,3206.8,7.15,1,TRUE,23239,58076,1.38,-1.00728689212825,-0.653506483572504,-0.262674890495687,-2.49173829464359,-0.299661323133099,NA,NA,-2.31220165219069,-0.751668456780844,-0.589398851025767,49314,6.58443555828976,0.151873306549566
