"depth","SH20_mean_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
0.1,-63.4,7.46,19704,50127,1.34,0,24,0,22,5616,0,0,0,847,36383,5374,6.770189803,0.147706346,41757
0.2,-61.7,7.48,19718,50612,1.39,0,66,7,32,6345,0,25,0,640,36193,5281,6.853436849,0.145912193,41474
0.3,-60.1,7.5,19924,50481,1.2,0,28,0,12,5863,36,0,0,850,36305,5459,6.650485437,0.150364964,41764
0.4,-58.6,7.52,20433,52629,1.37,27,59,48,9,6854,0,0,105,621,37317,5702,6.544545773,0.152798992,43019
0.5,-57,7.52,20192,50683,1.31,8,52,35,20,5177,0,0,31,584,37283,5505,6.772570391,0.147654427,42788
0.6,-55.5,7.51,20422,51345,1.32,23,43,0,25,4378,0,5,0,887,38465,5552,6.928134006,0.144339009,44017
0.7,-53.9,7.48,21569,53000,1.27,0,22,0,17,4157,52,0,0,807,39999,5888,6.793308424,0.14720368,45887
0.8,-52.4,7.48,22053,54850,1.38,13,45,13,34,5856,0,88,0,854,39888,5603,7.11904337,0.140468311,45491
0.9,-50.8,7.51,20675,52835,1.33,14,61,20,0,5172,0,0,131,929,38630,5776,6.688019391,0.149521098,44406
1,-49.3,7.53,20757,52197,1.39,0,32,40,0,4631,0,98,0,945,39234,5520,7.107608696,0.140694296,44754
1.1,-47.7,7.5,22141,55665,1.32,10,30,5,9,5907,0,72,49,752,40654,5833,6.969655409,0.143479116,46487
1.2,-46.1,7.49,21695,54611,1.33,0,26,0,20,5463,0,72,0,941,40030,5806,6.894591802,0.145041219,45836
1.3,-44.6,7.51,21725,55614,1.37,7,48,0,39,6491,0,11,0,746,39911,5968,6.6875,0.14953271,45879
1.4,-43,7.51,21319,54727,1.34,12,58,28,27,6351,0,31,0,765,39156,5875,6.664851064,0.150040862,45031
1.5,-41.4,7.54,21311,56074,1.33,13,55,5,14,8070,0,0,76,846,39292,5789,6.787355329,0.14733279,45081
1.6,-39.8,7.57,21163,53422,1.35,0,38,0,0,5996,0,122,0,599,38950,5648,6.896246459,0.145006418,44598
