Type,CV,adjCV
Ti_ICP_clr,0.3390780260213918,0.35890948257737737
Ca_ICP_clr,0.29262709803970266,0.29244956635878944
Sr_ICP_clr,0.36729613695091123,0.3681275645434494
Zr_ICP_clr,0.5521478897433426,0.6008372298907998
