"Site","R2","RMSE","Equation"
"1",0.546507570001369,713.316361678244,"y = 0.749x + -58.359"
"2",0.436939575604012,921.996622780096,"y = 1.156x + -135.027"
"3",0.872499289629849,1595.40335239874,"y = 1.03x + -198.655"
"4",0.884235909789276,1496.06126875657,"y = 1.841x + -606.422"
"5",0.798675544723533,10787.5992898525,"y = 1.433x + 1618.77"
