Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP_clr,Ca_ICP_clr,Ti_ICP_clr,Mn_ICP_clr,Fe_ICP_clr,Co_ICP_clr,Ni_ICP_clr,Cu_ICP_clr,Zn_ICP_clr,Rb_ICP_clr,Sr_ICP_clr,Zr_ICP_clr,K_ICP_sd_clr,Ca_ICP_sd_clr,Ti_ICP_sd_clr,Mn_ICP_sd_clr,Fe_ICP_sd_clr,Co_ICP_sd_clr,Ni_ICP_sd_clr,Cu_ICP_sd_clr,Zn_ICP_sd_clr,Rb_ICP_sd_clr,Sr_ICP_sd_clr,Zr_ICP_sd_clr
Bird Island,BI10,BI10.7,259,250.7,251.7,251.2,3790.45,22053.5,55644.7,1.456,-3.495657544,0.389741246,-2.277184901,-1.608783719,3.71037612,-1.11681868,0.270405969,-0.737762636,-4.284921424,-2.58353057,0.7223222,1.674117752,5.617976239,3.719719947,0.149871289,7.140650453,30.89498341,17.58313586,9.766723549,1085.896808,45.29459129,35.87261413,50.22847798,0,50.00455535,84.42906293,84.16419138,409.0313897,142.4373547,0.003718036,3.287049283,4.348081487,1.452730199,-0.677242151,5.685785952,-4.400864554,-2.884517065,-0.894912901,-0.99597031,-2.775394234,0.227173472,-2.371919176,6.064089462,4.532861076,0.534660374,-0.851633987,4.272329993,-4.070509812,-3.377362631,-1.767924719,-0.851633987,-2.124599663,-0.369207838,-1.99106827
Bird Island,BI10,BI10.7,271,265,266,265.5,3978.945455,21318.45455,65289.27273,1.384545455,-3.75135427,0.038398773,-2.150636364,-1.994852375,4.633239397,0.173221687,-0.112556234,-0.478604564,-0.854210216,-4.601348563,-0.260139759,1.113730924,5.028574447,3.216537117,0.16333933,9.678467196,36.36156812,18.74760591,20.59655752,2571.744933,66.12866247,37.08908195,69.33685888,75.52410813,30.13756339,62.35616176,92.24039738,783.5076724,100.1123006,0.002567568,2.563413494,3.854877429,0.343460666,-1.060225438,5.877718661,-1.931911864,-2.417472114,-0.122894455,0.653066593,-4.110024933,-0.318288094,-3.331719944,5.565188814,3.910630467,0.364851856,-0.733760433,5.820172971,-2.566341896,-3.952636257,-1.244586056,-0.376085988,-3.952636257,-0.134923931,-2.699873289
Bird Island,BI10,BI10.7,280,275.9,276.9,276.4,4128.554545,22988.54545,61328.09091,1.342727273,-3.296336184,-0.279600852,-2.277779993,-2.579805245,3.719037613,-0.361024736,-0.195782361,-0.72866859,0.055348172,-3.189531407,0.014316438,1.052965987,4.963770195,3.103090964,0.155620113,7.159227993,31.99829541,11.38419958,13.48332303,1229.139943,62.69580238,32.50258731,56.09877652,72.51658118,26.94168787,113.4892065,82.11256132,414.5496571,177.2780046,0.004236404,2.658818097,3.819165031,0.512294465,-1.249093906,5.904579501,-1.319736489,-2.197960808,-1.006449432,0.411670633,-3.992372799,-0.309086648,-3.231827644,5.427355241,3.908977294,0.325458356,-1.466301113,4.504960727,-2.200270288,-2.670273918,-1.283979556,0.524309215,-3.768886206,-0.48797499,-2.813374761
Bird Island,BI10,BI10.8,300,289.7,290.8,290.3,4314.733333,21941.25,90008.25,1.515,-4.646684762,-0.15953081,-2.366628515,-1.891560552,5.380371989,0.461643712,-0.453541594,-0.434091798,-0.067561908,-3.893247188,-0.160763672,0.606968114,4.643358567,2.981268419,0.189814865,5.806866364,22.80533563,15.00504966,18.76872802,5064.948301,120.178907,22.87714222,43.15160027,120.8156622,44.26461409,85.68807951,80.21731847,1786.447813,264.1897132,0.005451463,1.482227383,3.829818552,0.592031762,-0.95856565,6.214845175,-1.424861874,-2.314607968,-0.597400801,0.344298576,-3.774956995,-0.27917335,-3.11365481,4.830088737,3.507467471,0.54995641,-0.836337951,6.172167231,-1.915147612,-3.24428356,-0.898213355,-0.14319077,-3.362066595,-0.60522623,-4.055213776
Bird Island,BI10,BI10.8,303,293.4,294.4,293.9,4365.281818,22949.09091,77882.81818,1.480909091,-4.481957108,-0.208566925,-2.112560739,-2.202658813,4.792637253,0.321754636,-0.418107372,-0.375781815,0.09271616,-3.927563672,0.082008038,0.750965259,4.725423246,2.961691851,0.171447406,25.99755233,33.47074707,30.30451512,21.26200196,4911.743915,90.62259401,24.12053067,44.40945845,51.79206678,48.12974888,67.93740434,103.5011638,844.0389047,133.5216019,0.004035679,1.668690856,3.86625106,0.801046413,-0.819241515,6.396479631,-2.004006046,-2.288127284,-0.463093983,-0.214230311,-3.688741698,-0.272171631,-2.982855492,5.317924706,3.838164617,0.632711813,-0.465900476,6.853301983,-1.852194837,-2.673175389,-1.357498595,-0.398241828,-3.279311193,-2.237857318,-4.377923482
Bird Island,BI10,BI10.8,311,303.1,304,303.6,4492.98,22421.4,74987.1,1.433,-2.457734603,0.030063378,-1.245694025,-1.66861343,4.486486102,-0.258402857,-0.627140581,-1.026425107,-2.064344277,-3.348963133,0.410004138,0.517415877,4.506935896,2.746412622,0.172016068,12.80841737,50.73558909,30.63694212,12.55255618,3888.831895,88.88075657,38.81022202,41.82450106,34.90956571,50.51028498,71.31689842,90.49370758,638.092435,197.5924256,0.004841071,2.274020328,3.612634224,1.347650317,-0.796040352,5.893313202,-1.965234075,-2.700595315,-1.257488095,-0.315903057,-2.984415314,-0.490827657,-2.617114209,5.365868032,3.907881742,1.855108447,-0.396183351,5.58775293,-2.475624893,-3.209594068,-2.030939072,-0.767247033,-3.49727614,-1.130152526,-3.209594068
Bird Island,BI10,BI10.8,318,311.7,312.8,312.2,4610.666667,22422,70225.66667,1.4325,-3.485043656,0.216173681,-1.570634578,-1.593412941,4.885035831,0.02408526,0.016465468,-0.724997707,-4.086153133,-4.14211884,0.723717851,1.193738089,5.178557402,3.364587272,0.163066212,8.550651225,29.67539027,15.61079657,11.45313243,2891.964325,64.49306986,34.15506085,47.58501165,15.18671668,42.1910338,90.19272295,98.91257235,721.5749767,126.0241379,0.004634782,1.616583095,4.044493814,0.816642,-0.417846348,6.714639954,-2.233840788,-2.464588939,-0.757761123,-0.257477616,-3.805057488,-0.148034265,-3.107752297,4.965360752,4.547395481,1.270250748,-0.116043613,6.605984316,-3.016465707,-3.217136403,-1.303487116,-0.531559057,-3.804923068,-1.08362764,-4.315748691
Bird Island,BI10,BI10.8,326,321.7,322.8,322.2,4729.333333,21681.08333,58369,1.370833333,-3.585914717,-0.225293876,-1.663038095,-2.200449449,3.641421702,-0.218361403,-0.132023963,-0.453565035,-2.930808438,-2.58858714,0.548916281,1.346298197,5.157185869,3.304220066,0.156833359,9.87612671,30.27787971,17.5471227,17.88579087,3544.868579,66.69531581,17.18261983,36.53350476,26.67935304,62.18423263,174.2471903,78.06116483,1092.361284,131.0811396,0.004609041,2.760855676,3.227989066,0.824514978,0.467840034,6.099458733,-2.54861837,-2.939972587,-1.578032124,-0.187566819,-2.555372617,-1.13484418,-2.436251789,5.964950538,3.923730209,1.082148616,0.745676379,5.185971922,-3.271707142,-4.370319431,-1.858013807,-0.601397269,-3.071036447,-0.969122049,-2.760881518
Bird Island,BI10,BI10.9,342,332.1,333.1,332.6,4891.354545,18258.63636,68171.27273,1.489090909,-3.607638062,-0.196119845,-1.608360073,-2.297796415,5.033477815,0.053190672,-0.562145238,-0.681894589,-1.431775602,-3.067706937,0.392178931,0.476494394,4.580244407,2.917850542,0.190100896,9.522222812,32.65661565,23.20501513,18.38922609,9923.626263,90.14483296,25.14286452,40.417368,46.60530598,29.72541001,86.02367539,141.0625909,3376.492984,386.113031,0.01330137,1.462992709,3.423265762,0.370689589,-0.827013602,7.709826976,-1.492626682,-1.780443881,-0.704427306,-0.007509139,-3.995117102,-0.717038749,-3.442598575,4.968741041,3.345758903,0.25471645,-0.438430731,7.393980196,-1.380039271,-2.210387573,-1.236938427,-0.884717833,-5.043600917,-1.111775284,-3.657306556
Bird Island,BI10,BI10.9,348,339.5,340.5,340,5008.745455,22654.72727,67323.54545,1.418181818,-4.303609813,-0.583497356,-2.241350562,-2.457715529,4.119879893,-0.01719375,-0.439247678,-0.418618679,-0.510773625,-1.741714413,0.266332603,0.75973134,4.693308007,2.874469561,0.16223298,17.83969017,38.77886022,23.00790378,14.10029013,4122.547258,62.05320298,30.7910849,53.19449732,60.20842587,45.53320467,92.40651295,113.2280884,1342.231073,256.8194272,0.002604529,1.320234425,3.826701834,0.57579395,-0.670914509,5.472484985,-1.525090429,-2.190820749,-0.400242488,0.556829838,-3.825031767,-0.094934357,-3.045010732,4.62549426,4.089814512,0.681972587,-0.927465325,5.091127889,-1.97728745,-2.82458531,-0.937515661,0.458829036,-3.923197599,-1.021776005,-3.335410934
