"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.31816191381295,-8.62074977957454,-0.302742141476696,-4.82395176455293,1.16583815435494,-0.592605047305012,2.92428135601489
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.31780817173935,-8.6203949278046,-0.272851907643074,-5.80727972726725,1.16608664315491,-0.592355877848439,2.92452916415826
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-7.14862628724867,-9.45113885852911,0.557321332541838,-5.39446489683244,0.582472162653594,-1.17963366025376,2.34457798556094
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.70115176301007,-9.0037409227227,0.158035995347025,-4.40066167346688,0.896804032801835,-0.862815860073538,2.65642392567721
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.58852823370767,-7.89111305935988,2.70737906727561,-2.98298557894521,1.67837486151359,-0.0802596352192606,3.43700935824645
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.06024784383202,-7.36283246393744,1.56624775644835,-3.27735071370475,2.0494694242595,0.288705696075883,3.81023315244312
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.41500917281184,-7.71759359154229,1.85250594746283,-3.8282563326357,1.80026464062573,0.0411149563663229,3.55941432488514
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-6.60022425677767,-8.90281155555432,2.83582027716898,-2.6204314748365,0.967701324301083,-0.791523251486872,2.72692590008904
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.16789611709499,-9.47040727739499,1.74078998486452,-1.48607349504094,0.568935924667001,-1.1933037784334,2.3311756277674
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.29593204319622,-8.59851713619027,0.437681308376675,-4.53856386671942,1.18145369540948,-0.576948189849433,2.9398555806684
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.49837916218201,-8.8009629270481,1.40336231461165,-3.71154846556688,1.03924318269883,-0.719644289452192,2.79813065484985
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.07464009032351,-8.37722692209116,0.713556964185686,-4.42355963189666,1.33690190447478,-0.421250227633978,3.09505403658353
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.3322464570448,-8.63483436213593,0.891821390097,-4.56248337132626,1.15594436024055,-0.602526551776349,2.91441527225745
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-6.6074136775836,-8.90999877057765,0.956002135004032,-3.60303366615936,0.962651061180388,-0.796599657904608,2.72190178026538
"Bird Island","BI10","BI10.3",95,93,94,93.5,-6.45605692362593,-8.75864074352848,1.74833298823245,-2.66680455393541,1.06897275985594,-0.689792896953183,2.82773841666506
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.99552036081221,-8.29810585543196,1.29011948439792,-3.98188023250564,1.39248015797474,-0.365653940932984,3.15061425688247
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.51433373768436,-8.81692085491322,0.32879124461259,-4.25515084149582,1.02803577024645,-0.730900408156542,2.78697194864944
