depth	min	max	median	mean
195.5	1799.24	2540.88	2161.34	2165.68
197.1	1819.59	2570.58	2188.07	2190.05
198.6	1835.71	2591.97	2210.42	2212.89
200.1	1856.48	2624.49	2233.5	2235.71
201.6	1889	2638.89	2258.26	2258.29
203	1914.86	2653.09	2280.54	2279.36
204.6	1939.2	2668.89	2305.33	2303.44
205.9	1951.95	2684.29	2324.23	2323
207.3	1968.17	2701.79	2347.08	2344.07
208.7	1981.66	2727.55	2367.57	2365.14
210.1	1998.16	2752.13	2388.43	2386.2
211.5	2034.47	2759.88	2409.56	2407.02
212.9	2060.36	2771.86	2431.51	2427.85
214.4	2093.61	2787.74	2454.82	2450.16
215.8	2106.63	2805.71	2478.18	2470.99
217.2	2126.32	2820.81	2501.08	2491.81
218.5	2142.22	2837.31	2522.4	2511.15
219.9	2150.82	2861.22	2544.35	2531.98
221.3	2182.84	2872.02	2564.16	2553.43
222.6	2215.24	2882.33	2584.53	2573.4
224	2241.55	2894.98	2606	2594.9
225.3	2266.11	2907.99	2626.31	2614.87
226.7	2288.17	2923.49	2647.46	2636.38
228.1	2310.65	2942.19	2670.76	2657.88
229.5	2325.66	2965.46	2691.18	2679.39
230.9	2361.03	2981.22	2712.26	2701.29
232.3	2396.93	2987.88	2733.05	2723.4
233.7	2436.52	2998.53	2754.52	2745.52
235.1	2461.3	3012.32	2778.64	2767.64
236.4	2484.92	3026.94	2801.59	2788.18
237.7	2501.88	3043.21	2822.7	2808.72
239	2520.21	3060.03	2844.87	2829.26
240.3	2544.55	3078.06	2865.02	2849.78
241.7	2602.41	3084.1	2883.43	2871.84
243	2657.92	3090.35	2901.36	2892.32
244.4	2708.22	3100.79	2920.26	2914.37
244.8	2720.52	3103.77	2925.73	2920.67
246.2	2766.73	3114.87	2944.07	2942.73
247.5	2804.93	3125.06	2962.72	2963.21
248.9	2839.86	3141	2983.75	2985.26
250.3	2862.18	3160.63	3004.59	3006.52
251.6	2875.99	3180.52	3021.78	3023.54
253	2887.8	3202.39	3040.09	3041.87
254.3	2896.26	3230.98	3055.6	3058.89
255.6	2906.4	3262.84	3071.2	3075.9
257	2913.25	3301.75	3087.29	3094.23
258.3	2919.27	3347.14	3102.08	3111.25
259.7	2925.06	3395.27	3117.49	3129.58
261.1	2942.18	3414.98	3134.48	3147.2
262.4	2959.57	3435.74	3151.53	3163.38
263.8	2973.58	3454.52	3171.13	3180.8
265.1	2983.86	3475.61	3188.28	3196.98
266.5	2993.04	3500.74	3205.52	3214.4
267.8	3000.94	3531.63	3221.25	3230.58
269.2	3008.35	3561.18	3237.61	3248
270.5	3023.43	3584.88	3254.37	3264.42
271.8	3039.69	3594.48	3269.99	3281.21
273.1	3049.48	3613.14	3286.27	3298.01
274.5	3063.48	3632.15	3303.93	3316.1
275.8	3072.45	3653.22	3320.77	3332.89
277.2	3081.37	3685.55	3339.49	3350.98
278.5	3088.65	3702.21	3356.36	3367.78
279.9	3098.56	3731.82	3373.32	3385.87
281.3	3119.53	3746.74	3391.8	3403.54
282.6	3135.02	3758.29	3410.75	3419.93
283.9	3148.76	3769.93	3427.74	3436.32
285.1	3159.14	3784.79	3443.68	3451.44
286.3	3169.64	3796.59	3460.55	3466.57
287.6	3177.13	3815.46	3478.44	3482.96
289.6	3190.46	3849.15	3504.45	3508.17
290.9	3206.29	3864.03	3520	3524.77
292.3	3221.49	3876.99	3539.63	3542.77
293.6	3236.97	3890.47	3556.4	3559.47
295	3252.11	3908.14	3577.32	3577.47
296.3	3265.73	3926.38	3593.91	3594.17
297.6	3277.64	3946.92	3610.07	3610.88
298.9	3290.05	3966.61	3628.47	3627.59
300.2	3301.52	3991.21	3645.4	3644.43
301.6	3328.87	3998.49	3662.83	3663.38
302.9	3346.95	4007.55	3681.06	3680.97
304.3	3368.72	4021.12	3703.18	3699.91
305.7	3386.35	4034.93	3722.57	3718.85
307.1	3399.12	4049.72	3743.56	3737.79
308.5	3411.27	4070.86	3763.04	3756.74
309.9	3421.39	4099.67	3782.34	3775.68
311.3	3447.84	4108.34	3798.28	3793.06
312.7	3470.55	4117.23	3815.52	3810.31
314.2	3493.46	4129.48	3835.1	3828.8
315.6	3509.59	4140.96	3854.56	3846.06
317	3523.82	4155.51	3872.81	3863.31
318.4	3544.21	4175.14	3892.43	3880.57
319.7	3557.86	4196.45	3910.39	3896.59
321.1	3578.1	4208.93	3926.77	3914.14
322.6	3608.16	4216.68	3946.82	3933.03
324	3637.17	4228.27	3964.37	3950.67
325.3	3657.01	4240.85	3980.55	3967.04
327.1	3681.06	4256.58	4004.99	3989.71
328.5	3697.11	4268.4	4024.24	4007.34
329.9	3711.1	4288.64	4042.24	4024.97
331.3	3727.68	4297.06	4054.92	4038.54
332.7	3745.49	4305.44	4068.4	4051.8
334.1	3762.07	4316.37	4083.48	4065.05
335.6	3776.97	4324.58	4099.33	4079.25
337	3791.59	4340.18	4111.98	4092.51
338.4	3805.7	4360.29	4122.95	4105.76
339.7	3815.63	4379.97	4133.46	4118.07
341	3834.82	4396.83	4148.11	4135.92
342.4	3854.29	4418.26	4169.28	4156.94
343.9	3873.25	4444	4197.92	4179.45
345.4	3885.28	4477.81	4219.98	4201.97
346.8	3894.87	4517.25	4239.11	4222.99
348.2	3902.98	4554.64	4256.07	4244
349.6	3909.98	4600.6	4273.1	4265.02
351	3936.29	4629.15	4293.65	4286.39
352.3	3959.35	4644.14	4314.1	4306.36
353.6	3978.16	4659.18	4334	4326.33
354.9	3996.87	4679.26	4352.55	4346.3
356.2	4008.8	4700.13	4371.5	4366.28
357.5	4023.11	4726.83	4390.87	4386.25
358.9	4034.26	4756.76	4411.08	4407.76
360.3	4051.39	4788.41	4434.52	4429.16
360.6	4055.12	4791.07	4438.56	4433.67
361.6	4079.49	4798.66	4453.64	4448.69
361.9	4086.45	4800.54	4458.37	4453.2
362.9	4104.04	4810.62	4475.04	4468.22
363.3	4111.83	4816.53	4480.62	4474.23
364.2	4125.01	4827.38	4495.06	4487.74
364.8	4135.81	4834.69	4505.25	4496.76
365.4	4144.07	4841.98	4513.58	4505.77
366.1	4152.4	4852.13	4524.55	4516.28
366.6	4156.49	4859.74	4533.34	4523.8
367.5	4167.1	4871	4546.63	4537.31
367.9	4171.5	4879.19	4551.97	4543.32
368.9	4182.35	4897.77	4565.67	4558.34
370.2	4199.12	4925.88	4584.9	4578.09
371.6	4235.67	4936.75	4606.18	4600.65
373	4262.13	4949.14	4628.91	4623.21
374.5	4290.66	4964.66	4653.74	4647.38
375.8	4309.87	4979.56	4674.43	4668.33
377.3	4329.66	5001.73	4700.62	4692.51
378.8	4347.74	5032.81	4726.64	4716.68
380.3	4372.45	5060.22	4750.58	4740.62
381.7	4414.08	5069.16	4768.27	4762.08
383.1	4451.56	5080.29	4787.93	4783.54
384.4	4482.89	5091.18	4807.98	4803.47
385.9	4516.79	5104.93	4830.66	4826.47
387.3	4541.21	5121.84	4853.8	4847.93
388.8	4566.19	5142.4	4875.92	4870.92
390.2	4582.89	5164.87	4898.02	4892.26
391.7	4632.1	5173.34	4918.03	4914.34
393.2	4675.26	5180.29	4937.83	4936.42
394.6	4717.31	5187.79	4957.2	4957.03
396	4754.89	5197.98	4977.8	4977.64
397.4	4789.55	5210.75	4997.88	4998.25
398.9	4819.01	5230.49	5019.07	5020.33
400.2	4838.8	5247.5	5037.54	5038.93
401.5	4861.17	5259.4	5052	5054.6
402.9	4880.32	5273.59	5067.97	5071.47
404.4	4895.35	5297.65	5087.22	5089.55
405.9	4908.13	5324.81	5104.96	5107.63
407.4	4915.38	5360.33	5121.28	5125.71
408.8	4920.69	5395.11	5136.31	5142.58
410	4925.48	5429.46	5149.13	5157.04
