"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,172.727272727273,26.4616360382003,2.467420581,0.015066934,16.1797251134164,-9.06037913919391,41.4198293660268
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,238.75,34.793220342736,2.98969441,0.02200764,7.50117676614715,-17.7896947400751,32.7920482723694
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,191.916666666667,24.6002894784643,3.556521683,0.014282314,13.6573197245888,-11.5400754179962,38.8547148671737
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,203.333333333333,17.3065060458531,7.052448962,0.06465722,12.1566229535808,-13.037712823408,37.3509587305697
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,213,38.5544348220078,9.844407416,0.040880493,10.8859599941871,-14.3188335323269,36.0907535207012
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,227.454545454545,38.944482629414,10.02079263,0.096502178,8.9859404592945,-16.256775656338,34.228656574927
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,219.5,38.7792900055343,9.325702706,0.028353619,10.0315486939052,-15.186997673086,35.2500950608964
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,235.454545454545,31.4304426833719,9.672030755,0.061309265,7.93435732048596,-17.340791588759,33.2095062297309
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,242.636363636364,31.4078739403759,6.289145655,1.766837081,6.99032245723728,-18.3208573946438,32.3015023091184
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,197,28.7228132326901,7.635178907,0.081872982,12.9891262718042,-12.2048452322203,38.1830977758287
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,221.083333333333,27.5300111723827,5.960197779,0.068926753,9.82342286434939,-15.3992910554251,35.0461367841239
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,221.25,31.077981097409,6.674238754,0.048794576,9.80151488229083,-15.4216563424384,35.02468610702
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,213.454545454545,44.4147805046105,6.367819135,0.01977015,10.8262109522094,-14.379368673281,36.0317905776999
