"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER3","CAT2.3A",1,0,1.2,0.6,0.6,0.6,-65.8,-39,-57,-56,13,0.05702,0.04323,89.73,10.27,0.51,89.81,4.49,51.91,4.49,3.768,0.1884,0.9044,0.0929,0.0093,0.0053,0.0045,85.8,3456.464452,29.11819695,1924.093209,346.3367776,7838.38566,1018.990136,724.185303,101.3859424,61.5653552,7.387842624,3144.856254,566.0741257,1.8435276,0.129046932,6.76763215,3.654521361,9.46870311,1.325618435,44.9493781,4.045444029,1.511907558,0.008014967,3.666494941,0.586639191,79.78360975,1.595672195,66.04629804,3.302314902,1.053165696,0.024162242,1.956379466,0.049172627
"Kerguelen","KER3","CAT2.3A",3,3.3,4.8,4,4,0.7,-60.4,114,-9,2,87,0.05782,2.37197,88.27,11.73,0.59,90.91,4.55,52.55,4.55,2.9139,0.1807,1.2259,0.1438,0.0161,0.0083,0.3421,4113.2,2541.490075,35.37425007,1800.106357,324.0191443,7653.480152,994.9524198,787.7430499,110.284027,51.10801161,6.132961393,4271.648096,768.8966573,1.842018328,0.128941283,6.894228126,3.722883188,8.794447073,1.23122259,65.51502506,5.896352255,1.433225843,0.006671468,3.62723307,0.580357291,77.97377323,1.559475465,40.13708692,2.006854346,1.048108527,0.025787605,1.234077737,0.046111693
"Kerguelen","KER3","CAT2.3A",6,7.9,9.1,8.5,8.5,0.6,-54.7,317,54,79,186,0.05698,0.1383,86.59,13.41,0.67,100,5,57.8,5,3.9588,0.3998,0.9471,0.127,0.0192,0.0072,0.0187,257.8,2570.623323,60.34061437,2433.469353,438.0244835,8525.391032,1108.300834,1493.72135,209.120989,73.97054275,8.87646513,7043.906744,1267.903214,2.360731307,0.165251191,7.989049521,4.314086741,8.840919501,1.23772873,33.9867472,3.058807248,1.836820618,0.007837643,6.303556106,1.008568977,77.55523489,1.551104698,51.12144032,2.556072016,1.449083949,0.031749255,1.368113398,0.05102612
"Kerguelen","KER3","CAT2.3A",9,12.3,13.5,12.9,12.9,0.6,-7.9,413,141,160,210,0.05367,0.07291,87.65,12.35,0.62,90.09,4.5,52.08,4.51,4.1542,0.5484,0.9799,0.121,0.022,0.0065,0.01,154.1,1925.941564,47.47919756,1807.885973,325.4194751,7727.272205,1004.545387,1028.300333,143.9620466,53.9884387,6.478612644,5806.724977,1045.210496,2.063027935,0.144411955,6.820390916,3.683011095,7.875132613,1.102518566,22.83873715,2.055486344,1.981092172,0.026250211,3.688021304,0.590083409,68.05571381,1.361114276,28.2096257,1.410481285,0.861685089,0.023559447,0.723414991,0.021168133
"Kerguelen","KER3","CAT2.3A",13,18.1,19.3,18.7,18.7,0.6,27.1,542,263,272,258,0.05175,0.05066,86.2,13.8,0.69,85.23,4.26,49.27,4.26,3.7312,0.6306,1.0423,0.1438,0.0315,0.0074,0.0089,119.8,2075.478682,57.71761628,2390.397694,430.2715849,8370.564722,1088.173414,1383.034771,193.6248679,65.55518428,7.866622114,5950.241077,1071.043394,2.117141394,0.148199898,6.393762065,3.452631515,6.48426444,0.907797022,21.31018792,1.917916913,1.837777624,0.007019007,6.207609895,0.993217583,78.5344764,1.570689528,45.24542121,2.262271061,1.293057315,0.020115449,1.321962492,0.040846333
"Kerguelen","KER3","CAT2.3A",15,21,22.1,21.6,21.6,0.6,68.9,609,320,325,270,0.05856,0.05019,86.89,13.11,0.66,88.57,4.43,51.2,4.43,4.1793,0.8108,1.0048,0.1317,0.0321,0.0077,0.0085,110.1,2443.572039,49.80339872,2551.414712,459.2546482,8528.540345,1108.710245,1475.406854,206.5569596,59.93308415,7.191970098,6187.963748,1113.833475,2.279411544,0.159558808,7.850724687,4.239391331,6.918225269,0.968551538,19.50535782,1.755482204,2.009562056,0.035058094,5.547019557,0.887523129,79.19188077,1.583837615,39.22303086,1.961151543,1.091353254,0.022458753,1.113522217,0.044519068
"Kerguelen","KER3","CAT2.3A",20,28.2,29.4,28.8,28.8,0.6,177,716,456,448,269,0.05898,0.03669,85.39,14.61,0.73,90.45,4.52,52.28,4.52,4.3544,1.0581,1.1661,0.1704,0.0499,0.01,0.0092,91.5,3359.324714,61.02238631,1463.774697,263.4794455,7489.032735,973.5742556,937.5899962,131.2625995,37.80142795,4.536171354,5072.990401,913.1382722,1.778968575,0.1245278,8.567301171,4.626342632,6.433648096,0.900710733,14.3729798,1.293568182,2.145297257,0.019339871,2.92778834,0.468446134,72.04904865,1.440980973,42.85323212,2.142661606,1.266430396,0.01680148,1.227647524,0.029567494
"Kerguelen","KER3","CAT2.3A",21,29.6,30.7,30.2,30.2,0.6,198.2,740,480,472,271,0.06044,0.03581,84.39,15.61,0.78,84.71,4.24,48.97,4.24,2.4955,0.6089,1.8588,0.2902,0.0853,0.0175,0.0156,88.6,3337.527461,78.29548461,1742.201387,313.5962497,7060.636584,917.8827559,1221.194979,170.9672971,47.42694669,5.691233603,5217.251998,939.1053596,1.649765973,0.115483618,8.139809229,4.395496984,5.73865376,0.803411526,13.07843571,1.177059214,1.85274284,0.010493724,4.597352978,0.735576476,63.78046606,1.275609321,54.84725556,2.742362778,1.595597699,0.028713222,1.546097659,0.042317615
"Kerguelen","KER3","CAT2.3A",22,31,32.1,31.6,31.6,0.6,235.5,754,500,494,259,0.06261,0.03394,81.06,18.94,0.95,75.61,3.78,43.71,3.78,4.0765,1.0701,1.0782,0.2042,0.0638,0.0128,0.0109,85.5,3870.540968,94.63863001,4461.087959,802.9958326,7896.234296,1026.510458,2205.724776,308.8014686,119.7043062,14.36451674,6488.988438,1168.017919,1.71561783,0.120093248,8.098447371,4.37316158,6.068782697,0.849629578,25.41388525,2.287249673,1.788830104,0.013674539,17.22708873,2.756334197,67.625654,1.35251308,113.2387274,5.66193637,3.268989696,0.036575957,3.137293564,0.081134649
"Kerguelen","KER3","CAT2.3A",27,38.2,39.3,38.7,38.7,0.6,386.3,816,615,610,215,0.0604,0.02213,80.98,19.02,0.95,79.82,3.99,46.14,3.99,4.1793,1.3123,1.0915,0.2077,0.0756,0.0125,0.0092,73,2699.125756,45.85131928,3566.70755,642.007359,7653.796312,994.9935206,2003.194081,280.4471713,86.51921621,10.38230595,5349.432635,962.8978743,1.391814484,0.097427014,7.449716815,4.02284708,7.047681054,0.986675348,20.72720657,1.865448591,1.552621796,0.013289465,12.64697374,2.023515798,68.96032566,1.379206513,116.3395336,5.81697668,2.258197337,0.05099856,3.558463768,0.136219391
