Base path:	Sample name:	Section name	User ID
	MI1K	MI1K__xrf	
Year	Month	Day	Time
2023	09	05	13
Voltage	45	kV	
Current	40	mA	
Exposure time	0	ms	
line camera signal level	141137	at 25 ms	
Step size	1000	microns	
XRF	ON		
XRF exp. time	10	seconds	
Start coordinate	18.0	Stop coordinate	522.2
XRF voltage and current	30	  	30
Tube	Mo		
Optical Start	0.5	Optical End	533.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-94.1	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
