"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00067837812382589,0.00098384214631748,2.288761162,0.010158086,8.64795822309752,-19.0169182136232,36.3128346598182
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00125478721247432,0.00157406592915168,1.525038372,0.011740776,9.94099387814833,-17.7121004582863,37.5940882145829
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00067863095394623,0.00102676396023656,4.398970104,0.046912281,8.64852538688225,-19.0163447573875,36.313395531152
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00180790020741154,0.00189982572892467,19.01381163,0.109765839,11.1817703298222,-16.4648443744216,38.828385034066
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00121410997786556,0.00094191729062857,43.16823811,0.83280191,9.84974425052478,-17.8040132621959,37.5035017632455
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00016009805262178,0.00024504476163347,21.08188416,0.09353744,7.48532108817556,-20.1945268436733,35.1651690200245
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00112457749745338,0.00119524499324467,138.1998527,2.068052956,9.64889958700717,-18.0064076627465,37.3042068367608
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00071068974479859,0.00133504573187963,5.28425398,0.054223017,8.72044160133181,-18.9436386545526,36.3845218572162
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00064041183072641,0.00079179274702171,58.41930414,1.652885172,8.56278994307812,-19.1030425963549,36.2286224825112
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00349137664482692,0.00292057572691324,3.560602291,0.038361736,14.958246275266,-12.697755683634,42.614248234166
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00107895623711513,0.00122740715947035,30.36236272,0.256345549,9.5465592224858,-18.1095853202494,37.202703765221
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00090490280415543,0.00126710686949276,7.795499709,0.115748702,9.15611205721191,-18.5035221741265,36.8157462885503
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0013136340078729,0.00094092967267166,50.21714125,0.70380336,10.0730025611035,-17.579177620309,37.7251827425159
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00121565601285015,0.00168616227716543,13.30255749,0.023181323,9.8532124095084,-17.8005194302612,37.506944249278
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00286670239136263,0.0022756969888368,10.28410137,0.050822268,13.5569392896049,-14.0904664213122,41.2043450005221
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.00511112675288281,0.00321300991049883,9.694363956,0.203712654,18.5917674726844,-9.11457423091409,46.2981091762828
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00136960921976364,0.0016359792971802,6.266500548,0.095875453,10.1985695346282,-17.4527907587278,37.8499298279842
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00077115921551964,0.00104016613914093,6.037782671,0.042295483,8.85609036750187,-18.8065431715774,36.5187239065812
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0011186039946746,0.0014548251462414,2.592646444,0.02182641,9.63549946506146,-18.0199155879858,37.2909145181088
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.00042446286155281,0.00057616010428592,6.954876946,0.093655521,8.07836018249319,-19.59333354249,35.7500539074764
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00054294792309515,0.0007630195008298,9.787053209,0.059603308,8.34415302334581,-19.3242357707638,36.0125418174554
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0005802569498923,0.0008807436024796,20.81297886,0.274237825,8.42784688392854,-19.2395460678985,36.0952398357556
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00047660434512936,0.00074555305701336,4.260143181,0.051289903,8.19532710529071,-19.4748855499544,35.8655397605358
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00115735059047851,0.00113939197625525,43.16608535,0.550658986,9.7224181672002,-17.9323074374203,37.3771437718207
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00074819458149566,0.00076458037059008,2.564526013,0.044583218,8.80457471449955,-18.858601601102,36.4677510301011
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.00049772140384597,0.00134742569584037,24.03856275,0.33159449,8.24269816585882,-19.4269265919395,35.9123229236572
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00037804288426445,0.00066390739268369,58.90663431,0.829134942,7.97422808790523,-19.6988194635019,35.6472756393124
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00107080890978855,0.00116374523923958,12.67353344,0.313961187,9.52828264611998,-18.1280148088829,37.1845801011229
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.00184715230517402,0.00172657273663766,2.553601126,0.066508029,11.2698230044624,-16.3765115931023,38.9161576020271
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.00157992005656641,0.00159811875833995,25.70637949,0.437908223,10.6703514964068,-16.9783610686367,38.3190640614503
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.00105329297343721,0.00078145907243817,6.149324503,0.106149158,9.48898984057628,-18.1676398319916,37.1456195131441
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.00136215145477715,0.00095763721013968,4.534790413,0.043240663,10.1818398261201,-17.4696269078855,37.8333065601257
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.00112835493663018,0.00099899370034225,3.037488827,0.043979182,9.65737336654427,-17.9978659965787,37.3126127296673
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.00092929768107789,0.00124836322952168,5.026836978,0.140151798,9.21083611740201,-18.4482808188333,36.8699530536374
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.00042199486326887,0.00087719189276843,2.699363842,0.043626306,8.07282381979423,-19.5989410474242,35.7445886870127
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.00079022507055568,0.00067443347953517,2.511699688,0.052718839,8.89886004417966,-18.7633290516999,36.5610491400593
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.0009993370370159,0.00154388935243454,3.349219592,0.075375837,9.36795262765169,-18.2897301850886,37.025635440392
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.00098214988798729,0.00146414471388711,3.120629768,0.061658011,9.32939737767328,-18.3286303447654,36.9874251001119
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.00144778818140883,0.00157399046585292,9.077687309,0.090928537,10.3739452996411,-17.2763509217018,38.0242415209839
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.00056025720492652,0.00122466440419123,2.400125578,0.053500798,8.38298224899832,-19.2849418603718,36.0509063583684
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.00151043583638821,0.00158039578971643,13.28023284,0.106355187,10.514480300197,-17.1350314198989,38.1639920202929
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.00118560383550167,0.00162335301974064,2.02301219,0.013793806,9.78579755157371,-17.8684399424959,37.4400350456434
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.00200090279163574,0.00124035093306516,3.033425815,0.053768638,11.6147253748302,-16.0307414686688,39.2601922183293
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.00117086866952582,0.00136206188788518,12.19802273,0.459798787,9.75274273796114,-17.9017477861128,37.4072332620351
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.00097941499514459,0.00114154424485099,4.992973415,0.124594431,9.32326230099251,-18.3348207256593,36.9813453276443
