"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-5.39923620551704,-7.70182174098593,0.903173305789281,-4.19525273760664,1.47666924319988,0.468596262596008,2.48474222380374,1.47559001096059,0.535871939086103,2.41530808283508
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.24401594112675,-7.54660179183834,1.09517117816603,-3.81636561318177,1.95140742809685,0.946649252669891,2.9561656035238,1.95101900584846,0.974587403113982,2.92745060858293
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-5.39059538799431,-7.69318004232058,1.26878301189716,-4.24873329038062,1.50309701693728,0.495289023166414,2.51090501070815,1.50205624077909,0.560402727901079,2.4437097536571
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.3016561340343,-7.60424202970414,1.95337492700147,-2.73865550173223,1.7751160097983,0.769484919092574,2.78074710050402,1.77447105905284,0.812143477289647,2.73679864081604
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.19843728105091,-7.50102273602339,2.28690351891334,-3.19710227347252,2.09080888086099,1.08644049130083,3.09517727042116,2.09062330708652,1.10266476050633,3.07858185366671
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.18696151886321,-7.4895471486296,2.30466219731852,-2.33818970094371,2.12590727817849,1.12159516430264,3.13021939205434,2.1257727774466,1.13486141145592,3.11668414343727
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.27015448961334,-7.57273880482369,2.23277431990246,-3.56300060263451,1.87146318168605,0.866361699473347,2.87656466389875,1.87095842945644,0.900989392620883,2.84092746629199
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.25848222680882,-7.56106655104488,2.26923829310479,-2.7918243055358,1.90716257235018,0.902225176225403,2.91209996847495,1.90670976769193,0.93386837897265,2.87955115641122
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.22907884523547,-7.53166375160872,1.83882523557302,0.569190988181305,1.99709224778782,0.992491069138493,3.00169342643714,1.99677030329681,1.01659681519189,2.97694379140173
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.30691663449786,-7.60950132403745,2.03276637087805,-2.50258623265872,1.75902687059001,0.753295012456476,2.76475872872355,1.75835850791255,0.797291066484561,2.71942594934053
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.27037307080448,-7.57295855277562,1.78510366492264,-2.67471088895355,1.87079465532873,0.865689934457837,2.87589937619962,1.87028893030042,0.900373473039792,2.84020438756105
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.2265886941129,-7.52917360095028,1.89825515343819,-3.02013611984136,2.00470832696854,1.00013054794427,3.00928610599282,2.00439746493047,1.0235967569939,2.98519817286704
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.26176964573479,-7.56435454590644,1.85125704597165,-3.92358205457498,1.8971080649697,0.892126214593109,2.9020899153463,1.89664062960684,0.924610439296073,2.86867081991761
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.22825171070006,-7.53083736309382,1.77702758358368,-3.04022677431082,1.99962202281141,0.995028704552551,3.00421534107027,1.9993037594944,1.01892204030435,2.97968547868445
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.25132787022736,-7.55391391731928,1.9629187975536,-2.70797735875528,1.92904403396816,0.924198613022,2.93388945491431,1.92862306987547,0.954010298860961,2.90323584088999
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.15574685017268,-7.45833229001735,1.7677938836728,-3.19036912929489,2.22137674032965,1.21713245458469,3.2256210260746,2.22138116092403,1.22233737741923,3.22042494442882
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-5.30318358741872,-7.60576827846162,1.51918646247254,-3.80810187018146,1.7704443230821,0.764784336529531,2.77610430963466,1.76979257438366,0.807831363608191,2.73175378515914
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.23800959492332,-7.54059412303269,1.75511717877744,-4.02241069171557,1.96977772211533,0.965086104015146,2.97446934021552,1.96941603119602,0.991484012568768,2.94734804982326
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.25781958457899,-7.5604037172622,1.8771340909504,-2.89799999304162,1.9091892508297,0.904260648197879,2.91411785346152,1.90873939527011,0.935734283955055,2.88174450658516
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.27839219774077,-7.58097827100732,2.24808621124957,-3.5037768679694,1.84626831025939,0.841040557065541,2.85149606345324,1.84572689599278,0.877771766468449,2.8136820255171
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.23643367886426,-7.53901933585379,1.9678745492403,-3.48314630000138,1.9745976309872,0.969922712442628,2.97927254953177,1.97424295370469,0.995916318889162,2.95256958852021
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.2139776887036,-7.51656314934532,1.84328493792773,-3.82094910417629,2.04327884378381,1.03880739548204,3.04775029208558,2.04302410720439,1.05903207319316,3.02701614121563
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-5.19109244996622,-7.49367808195458,2.78544477911184,-3.45251138152722,2.11327290507338,1.10894247430387,3.11760333584289,2.11312001957395,1.12327389184469,3.1029661473032
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-5.23460706328823,-7.53719178097163,2.50889339868105,-0.990654824900951,1.98018429949648,0.975528339972606,2.98484025902036,1.97983775159253,1.00105323435023,2.95862226883482
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-5.15859716417441,-7.46118225716846,2.14413210575048,-1.9953725185041,2.21265910992948,1.20841380293575,3.21690441692321,2.21265084516092,1.21435569926666,3.21094599105518
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-5.28759525438677,-7.59018014951381,1.72697527435961,-2.83776688470426,1.81812093900738,0.81274187862655,2.8234999993882,1.81753856640647,0.851820277450673,2.78325685536227
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.28983068055804,-7.59241656679178,1.60382281222429,-3.18220441612417,1.81128393117732,0.805866487616613,2.81670137473802,1.81069160978049,0.84551455791746,2.77586866164352
"Bird Island","BI10","BI10.5",197,194,195,194.5,-5.18182778927061,-7.4844127042568,1.91122949415456,-2.96013656510599,2.14160869112294,1.13731629823085,3.14590108401503,2.1414970381275,1.1492582354159,3.1337358408391
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-5.12461854558497,-7.42720296613923,2.3871478216565,-3.14967124579288,2.31658205953805,1.31228125756355,3.32088286151254,2.31672501709403,1.30942762353972,3.32402241064835
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-5.20992579246876,-7.51251070238235,2.27239064447821,-2.27532979615405,2.05567149026895,1.05122988942897,3.06011309110894,2.05543478671127,1.0704121411897,3.04045743223284
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-5.25703742889974,-7.55962232998171,2.12359582734576,-3.73829779154288,1.9115814588892,0.90666316358245,2.91649975419595,1.91113508432457,0.937936631014155,2.88433353763498
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-5.15088198394249,-7.45346742210387,2.04036114220213,-2.03238775652524,2.23625583986578,1.23201089580916,3.24050078392239,2.2362819116164,1.23595758897768,3.23660623425511
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-5.30210914626725,-7.60469363698209,2.56430186249729,-1.93373738666334,1.77373048062107,0.768090850994279,2.77937011024786,1.77308351373824,0.810864630650909,2.73530239682558
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-5.32926535325967,-7.63185044625371,1.50536088408727,-3.25752676637218,1.69067374529785,0.684474497797483,2.69687299279821,1.68990591933016,0.734140523761974,2.64567131489835
"Bird Island","BI10","BI10.7",271,265,266,265.5,-5.12568964350544,-7.42827439991922,2.68580424723322,-3.13603432976437,2.31330612720658,1.30900932951278,3.31760292490039,2.31344431782607,1.30643326934495,3.32045536630718
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-5.15043992238244,-7.45302570540618,2.71487306169614,-1.86697168005973,2.2376078766211,1.23336272264989,3.24185303059231,2.23763591577297,1.23719505963469,3.23807677191126
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-5.09019844177707,-7.39278320992699,2.66942931153879,-2.38290330111435,2.4218552831723,1.41734767016642,3.42636289617817,2.42215142788907,1.40556477009363,3.43873808568451
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-5.13666988665219,-7.43925480949804,2.5384132028606,-2.18687136131555,2.27972326531874,1.2754590519326,3.28398747870488,2.27981258821017,1.27572738289847,3.28389779352188
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-5.11495968005523,-7.41754477304928,2.48982097468842,-2.11939403099599,2.34612351346973,1.34177997256427,3.3504670543752,2.34630945794392,1.33642241414468,3.35619650174317
