"Model","R2","RMSE","RMSEP","AIC","BIC","Rank"
"RF",0.946939301041206,0.163915376344742,0.370744505525973,NA,NA,1
"Bayes",0.71849446314204,0.377551919451181,0.391342413156401,254.461762755566,283.189658599653,2
"PLS(LOO)",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,3
"PLS(k)",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,4
"OLS",0.605349695781694,0.447032844459699,0.450923989941031,335.005013489929,345.777974431461,5
"WLS(wt)",0.604732452698864,0.447382293228408,NA,321.186258039926,331.959218981458,6
"WLS",0.604685117514639,0.447409080513934,NA,321.219522661163,331.992483602695,7
"OLS(wt)",0.60078407376705,0.449611220751241,NA,359.871349044666,370.644309986199,8
