"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","Zr_fit_OLS","Zr_lwr_OLS","Zr_upr_OLS","Zr_fit_WLS","Zr_lwr_WLS","Zr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,2.57023163829936,0.128511581914968,-2.53655606047204,-0.126827803023602,-1.41474843417776,-3.5759164653645,0.746419597008982,-1.4205792731733,-3.41932318598973,0.578164639643137
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,3.0422195705464,0.15211097852732,-2.60300239378037,-0.130150119689019,-1.28566191365389,-3.45190320742285,0.880579380115079,-1.2958810198822,-3.18830148039046,0.59653944062606
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.03735679368394,0.151867839684197,-1.99850429196811,-0.0999252145984056,-1.28699186067662,-3.45316782259705,0.879184101243807,-1.29716575565501,-3.19066551308841,0.596334001778384
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.05475542327411,0.102737771163705,-1.22212235350002,-0.0611061176750009,-1.55572879927659,-3.71429573147662,0.602838132923445,-1.55676704246802,-3.67486414240669,0.561330057470645
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,1.53514754982736,0.0767573774913682,-1.82009667345778,-0.091004833672889,-1.69783915387977,-3.85690084635507,0.461222538595531,-1.69404638752804,-3.93533747660613,0.54724470155004
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,2.04218603007241,0.10210930150362,-2.00936004344459,-0.100468002172229,-1.55916647029029,-3.71770842089733,0.599375480316751,-1.56008785062877,-3.68113284960442,0.560957148346885
"Bird Island","BI10","BI10.2",45,44,45,44.5,1.60786003739299,0.0803930018696493,-1.70262676036083,-0.0851313380180417,-1.67795262420984,-3.83675671415324,0.480851465733566,-1.67483589596163,-3.89873106459427,0.549059272671019
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,2.46830948255626,0.123415474127813,-3.01416138859216,-0.150708069429608,-1.44262367324697,-3.60303349022152,0.717786143727573,-1.44750689975968,-3.46959947686097,0.574585677341608
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,2.58143427522234,0.129071713761117,-1.93440279436772,-0.0967201397183862,-1.41168456469662,-3.57294325630519,0.74957412691195,-1.41761955924608,-3.41380511956454,0.578566001072374
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1.45981034288287,0.0729905171441434,-2.40519514667373,-0.120259757333686,-1.71844353218273,-3.8778367377773,0.440949673411827,-1.71395032462466,-3.97331562307902,0.54541497382969
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1.77580863348593,0.0887904316742965,-1.82438996985932,-0.091219498492966,-1.63201945851788,-3.79046280092754,0.526423883891786,-1.63046421790669,-3.81436768567855,0.553439249865173
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1.99791730384215,0.0998958651921075,-1.53930605365897,-0.0769653026829483,-1.57127376254643,-3.72974231619819,0.587194791105323,-1.57178355820768,-3.70322425547667,0.559657139061312
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1.91818639267004,0.0959093196335018,-1.63119509332246,-0.0815597546661232,-1.59307979867199,-3.75147348040769,0.565313883063705,-1.59284830303947,-3.74306404026942,0.557367434190484
