"depth","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc"
5.1,NA,21028,48722,1.52,-0.223190603871573,0.0154353115910139,-3.78565613312985,-0.867885401045571,1.45741275918771,-0.435752045855246,-0.0720840664255427,-0.923455252200382,-4.4788033136898,-0.141512572857306,-0.909270617208426,1.56975020040231,5.37986991055649,3.41514182454616,7.132972771,0.140194002
5.2,NA,20234,46486,1.3,-0.606616949184857,-0.285709229104756,-2.34573268492749,-0.799808178215715,1.41903886313367,-1.50948466072687,0.00929888343909823,0.126270560024603,-4.21753486182908,-1.65258550436754,-1.24712039625938,1.83101865226303,5.6100430966067,3.66892240914861,6.966553927,0.143542993
5.3,NA,20329,46710,1.21,-0.231308120712641,0.108559704909711,-2.09717556209442,-0.730299286831628,1.70606226679454,-3.96897773899601,0.595370452471827,0.473673517494308,-3.96897773899601,0.0200063075682655,-3.7458341876818,2.05809523557934,5.86013642155028,3.92066872894423,6.955047762,0.143780465
5.4,NA,20653,47454,1.36,-0.539630302878178,-0.0716448377886798,-3.97361750736332,-1.23277748343812,1.84646542298904,-0.659431502690799,0.503719307114882,-0.404084810881954,-3.97361750736332,-3.97361750736332,0.56967727490668,2.09942702673708,5.86703673600123,3.94209569201879,6.854744526,0.145884357
5.5,NA,21066,48811,1.37,-0.772181277191747,0.289526454540911,-0.887250606976535,-0.668997040956517,2.41936803463108,-1.76760932962463,0.810823378174197,-0.158171417190526,-3.9076754931209,-3.9076754931209,-3.68453194180669,2.24930349246466,5.9562652931124,4.02880594706518,6.872028597,0.145517439
5.6,NA,21602,49890,1.35,-1.17057992513492,-0.355215111850722,-2.31001420832328,-0.765114817026752,1.61319598649543,-0.571743424046212,0.410458512777486,-1.2984132966448,-4.38945575000312,-0.863095225386956,-0.955468545517971,1.57540811530769,5.5001356973409,3.57990199201323,6.82255275,0.146572703
5.7,NA,21959,51151,1.46,-0.918238537592383,-1.34568255241932,-1.48878339606,-0.947652422798676,1.94271933509749,-0.168738420481306,0.00671025702488682,-0.356554496592901,-4.4591978616297,-1.62598451757348,-1.20110132360821,1.59524148463967,5.44421468809379,3.52304776390014,6.828922657,0.146435983
5.8,NA,22064,50855,1.51,-0.465428170896459,-0.0409871613292895,-1.67323975152956,-1.06013527864315,1.88758777572448,-0.697229784953784,0.168530138273155,-0.741681547524618,-4.2381891089911,-4.2381891089911,-0.169162354753287,1.90599652513455,5.66849333444155,3.69363449403863,7.205602442,0.138780901
5.9,NA,22803,52843,1.49,-1.75901932227696,-0.364942820715017,-1.33293492696606,-0.934295783928298,1.59307534637746,-0.855307372609668,0.20896677847755,-0.349557901875538,-4.53160804451674,-1.25446331152457,-0.92069013187252,1.59307534637746,5.41493899747983,3.49276314757308,6.835816009,0.146288314
6,NA,23091,54502,1.21,-0.776594530487454,-0.293420438051974,-1.18205963859562,-1.43988874789772,2.27797824308947,-0.500341153859296,0.409029135170285,-0.106436868152208,-4.27310209195393,-4.27310209195393,-1.07442897440325,1.75878436965296,5.69089242841885,3.78269035902384,6.740958122,0.148346864
6.1,NA,22926,54426,1.28,-0.644035571652539,0.334672789790049,-0.516880396167293,-0.352125163091237,2.61340886331356,-2.23666636577026,0.571731809166234,0.00581480315408195,-4.02842583499831,-4.02842583499831,-3.8052822836841,2.15469159633251,5.93018890316313,4.00133268544251,6.881634647,0.145314311
6.2,NA,23348,56050,1.26,-1.04900355935915,-0.337164245787054,-1.49293494829511,-1.12747517480065,2.16987226550905,-0.424175622776684,0.615494130257976,-0.265705281804909,-4.32614829235133,-4.32614829235133,-0.715230379707104,1.85075793888685,5.66406726369462,3.76379419888482,6.687720374,0.149527783
6.3,NA,23418,56369,1.34,-2.02354758384451,-0.531892707066795,-0.924935295176403,-1.77842512581153,2.52505225065518,-1.35857128025126,0.635156743154543,-0.425282972008537,-4.22077216118073,-2.96800919268536,-0.483102542897363,1.94254264285391,5.76666583847533,3.84512138578354,6.831501256,0.146380709
6.4,NA,22941,53944,1.35,-1.57402812928812,-0.252272289305805,-1.57402812928812,-0.974407006739003,2.31267706815573,-0.406422969133063,0.650595422236209,0.292264391802497,-4.21308545890338,-4.21308545890338,-1.40972507799685,1.81278051492193,5.74204532678458,3.80669179565678,6.926492353,0.144373219
6.5,NA,22790,53450,1.42,-1.34671543125987,0.0791097686166578,-1.01950252005145,-0.532207393695655,2.81267155737628,-4.08755545518507,0.325242838155566,0.16093978686429,-4.08755545518507,-0.165582118903755,-3.86441190387086,1.95863399161216,5.85951826801398,3.90741406751281,7.04349292,0.141975013
6.6,NA,22853,53798,1.39,-1.44371995310468,-0.421093571414491,-1.5197058600826,-1.97923818946104,2.40122472323666,-2.06624956645067,0.0738165970456005,-0.800583193119394,-4.46414483924904,-0.36980027702694,-0.0883878175887547,1.64399101466263,5.47858746461299,3.55530346793974,6.843395295,0.146126295
6.7,NA,22900,53579,1.23,-1.3818842714068,-0.471013607001979,-1.73470564602954,-1.08077917862287,2.32374599313196,-0.881928319877708,0.285312475179497,-0.9323591735046,-4.29965500349107,-1.85730796812187,-1.12160117314313,1.79616955894115,5.65732592148505,3.69868039246191,7.089717742,0.141049339
6.8,NA,23162,54448,1.47,-1.41387421571995,-0.0568502369001677,-0.646619063006278,-1.3761338877371,2.54032371475891,-0.253130145944829,0.712524309047662,0.225869046209484,-3.97882357318148,-3.97882357318148,-3.75568002186727,1.95871263190094,5.98864765909619,4.03385735652536,7.062437893,0.141594166
6.9,NA,23228,55556,1.24,-0.79886757935114,-0.18235362481211,-1.32622250506834,-1.44400554072472,2.48843264944601,-1.17207182524108,0.562529230147024,-0.958497724943024,-4.21659426296451,-4.21659426296451,-0.139056819058786,1.79098966602336,5.76994684470691,3.84236575480491,6.872865275,0.145499724
7,NA,22963,54547,1.35,-1.46285505259838,-0.148534191103579,-1.15455369294386,-1.38281234492484,2.54447813263409,-0.919239606009399,-0.171176667853339,-0.411645002824855,-3.43693607862039,-1.52001346643833,-2.84914941371827,1.60001652379324,5.60827018254448,3.70415067806345,6.713493823,0.148953738
7.1,NA,23245,54778,1.36,-1.44445232726589,-0.293196305112361,-0.737882126373807,-1.87731640956217,2.48684322328329,-1.29417012421655,0.242947126637919,-0.944496375736806,-4.36222305935017,-1.83649441504192,-0.896487156550445,1.67803165192724,5.60632631487791,3.67256998248378,6.915438199,0.144603996
7.2,NA,22473,53545,1.42,-0.993367084151205,-0.451450873315183,-0.732353258781585,-1.51005782736959,2.50738451551575,-0.975975341439336,0.531926151775342,-0.282828160879391,-4.34327117142581,-4.34327117142581,-0.441298501851165,1.78468912027071,5.59195726689438,3.65791633618289,6.917406601,0.144562848
7.3,NA,21869,52449,1.16,-0.888346228990363,-0.519582487732627,-2.48436112109232,-1.58149340955031,2.08414508052418,-1.63706326070512,0.424359775472038,-0.11100695721007,-1.14936005435998,-4.49926414163459,-0.356129415243055,1.79692394378003,5.41908739255008,3.50209088419212,6.800502513,0.147047957
7.4,NA,21482,51310,1.37,-0.983417941267304,0.0611271261305301,-1.09464357637753,-0.749803090085799,2.71201891339279,-0.81434161122337,0.460400263990773,-1.03748516253758,-3.92785692043374,-3.92785692043374,-2.82924463176563,2.11596285700817,5.97450499881487,4.04063569478758,6.916219491,0.144587661
7.5,NA,22381,53811,1.39,-1.15912034535716,0.0172009276382629,-0.942055840119336,-0.685335993271522,2.5485213852123,-3.9624807262637,0.514856088214508,-0.685335993271522,-3.9624807262637,-3.9624807262637,-0.0405073899823839,2.22475617536236,5.9890109673209,4.1054521970447,6.576868829,0.152048038
7.6,NA,23591,56039,1.32,-1.70504910546724,-0.412280802358173,-0.910119230597353,-0.832560996251478,2.41862307184938,-1.34837416152851,0.333384412485219,0.0441507493420188,-4.3441064350825,-4.3441064350825,-0.169719165186862,1.89519427593006,5.64146788845174,3.7334959334962,6.739407108,0.148381005
7.7,NA,24332,56873,1.32,-1.3249416087999,-0.338033309711795,-2.04278140195022,-1.14669337739358,2.39041351929806,-0.365684841042305,0.425318129521399,0.0490826597281726,-4.34536649494427,-4.34536649494427,-0.226329320131794,1.89782906032984,5.65801164040666,3.71454183963401,6.982938389,0.14320619
7.8,NA,24067,57134,1.38,-2.29376971328452,-0.0424779146780291,-0.474611269868355,-0.928528761362466,2.62133315409017,-2.21372700561099,0.2386034737424,-0.173506177084433,-4.08552918251258,-4.08552918251258,-0.530181121023166,1.99096561377998,5.92963390391414,4.04732418241044,6.568659128,0.152238072
7.9,NA,23982,56793,1.28,-1.7136545138235,-0.481510832530872,-2.45559185855288,-1.35697956988477,2.40422054580879,-0.8069332329655,0.639985749970826,0.161803974281198,-4.06502977098698,-4.06502977098698,-0.327360152703613,2.11705513572965,5.9494175918574,3.99960670478724,7.027358491,0.14230098
8,NA,24213,58289,1.82,-1.5028566222225,-0.205968848818194,-0.651806412216746,-0.651806412216746,2.36119167593453,-0.891947539899527,0.216143492723126,-1.269241771041,-4.44729560138894,-3.53100486951479,-0.288412518029269,1.64401428068876,5.57787846940379,3.64111267659752,6.936281284,0.144169471
8.1,NA,24364,57686,1.53,-1.26052341549485,-0.433844842310378,-1.75114633194332,-1.10929244577092,2.44153413099965,-0.745624466341219,0.24581898791228,-1.22051808088115,-4.45919653304553,-2.44429351250326,-0.0463982397048917,1.60922905519858,5.54950652463491,3.62474916925009,6.853485503,0.145911157
8.2,NA,24008,58405,1.16,-1.54769505907959,-0.742069895092953,-2.06648885249476,-1.4352170756529,2.50326138826207,-0.343722254753653,0.174220836781202,-0.203960312378494,-4.59221749680301,-1.91806884737648,-0.4813436326297,1.74725958366505,5.40678476007542,3.49925685747779,6.736415123,0.148446909
8.3,NA,24049,58731,1.2,-1.14785820677547,-0.0947082921841127,-1.12587930005669,-1.06270039843516,2.84646137471196,-2.75729611920957,0.500800418811917,0.487897013976009,-4.26137351598584,-4.26137351598584,-0.706025454496426,1.97499607421786,5.74977939401839,3.85728052739297,6.635930285,0.150694772
8.4,NA,24083,57535,1.18,-1.36913998877519,0.245688772293782,-0.991073854855145,-2.20746917917964,2.87509910446193,-0.821174818059747,0.557276365599117,-0.20093440830789,-4.28691072085947,-4.28691072085947,-0.869184037246108,1.86475757778884,5.70911043307959,3.78086547491942,6.877429467,0.145403163
