"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_ICP_pred","Ca_ICP_pred","Sr_ICP_pred","Zr_ICP_pred"
"BI10",0.6,-61,7,-8.39496846392998,7.48560726800855,-6.81328046444878,7.35055584285185,-7.82488137612726,4.90495174256426,-7.75588850464031,3.53646344341951,-1.94747911668003,9.54388200499906,-8.47150854105231,3.13148340772836,-7.28588487539457,0.828010693892561,-7.19310314194361,3.28047752852584,-3.87592965946601,1.06344302447402,0,-1.92216672935224,6.83609068610093,0.146376584805626,12.51,5.79303035656314,8.00728875234426,3.73869363526031,3.15375474643277
"BI10",4.5,-20,52,-8.37602586194711,7.19403248256761,-6.95629672474098,7.24247120132883,-8.16738699683578,4.37935983755429,-7.14521640366761,3.33468347892019,-2.1856612769754,9.14377187171782,-11.3255687530317,2.52650241766842,-6.68519231130901,0.422019571710031,-9.98546377438121,3.22105825962403,-3.91870624323779,0.748228535528028,0,-1.92424192685153,6.85367335296956,0.145989151530002,10.49,4.41563624208289,7.16759074062148,2.97854897905683,2.62745748244881
"BI10",12.3,60,111,-8.36187855762114,7.34292552813836,-6.61341589414641,7.84267996218333,-8.12192788799055,5.83054549007266,-8.08913806516756,3.6160372217274,-3.58289750450701,8.27949587269265,-9.18131946350538,2.6352276865988,-7.29483273492087,1.48137044625347,-8.32037882671439,3.83739375220028,-3.82165375518893,1.86113383862431,0,-1.93810894838824,6.94940689120671,0.143955505051114,13.62,5.01770392375424,7.74785774882641,3.55202207392532,2.70805144714388
"BI10",27.2,214,145,-8.18875448178549,8.51167617120909,-5.78752253588808,8.75807660650184,-7.15337437834089,6.97603890594798,-7.26659863045893,4.08682416932195,-3.30578546086136,8.42689211285074,-6.10655938168847,4.42020843695187,-6.30794323494153,2.94516564297707,-5.10273800650576,4.80370016784794,-3.88280325112832,3.57352940771241,0,-1.91079882849754,6.75858272014732,0.148022999208843,19.66,6.47280608173893,8.81052144581115,4.57408185764632,2.71185978766717
"BI10",36.7,340,143,-7.29016059787895,9.70852820561717,-5.17661156882217,9.04100380665293,-6.23824940225683,7.582225674148,-6.77326975460987,4.99824535279201,-1.5731954359508,9.82855417128756,-6.25431400476063,4.50048585044673,-6.70958193535261,3.76510499590153,-4.70351213936272,5.01434956763412,-3.88365414041703,3.71147308000633,0,-1.83114154136677,6.2410442382564,0.160262791645752,21.79,6.86214107793277,9.04456285775794,4.77709293268603,2.75750180823292
"BI10",41.4,404,138,-8.20778612050612,9.28808227205149,-5.46800429773787,9.04402113279338,-7.11465329760264,7.33838856463051,-7.01784573793281,5.00469055174463,-1.3432977623329,10.4469976275415,-7.7543117932116,4.42273332782719,-8.88467278019429,3.04841410108306,-5.61547187143857,4.97818920065822,-3.89073526102138,3.3230000127477,0,-1.8650876344252,6.45711632008172,0.154934023509529,19.47,6.06225995970881,8.72751210424636,4.54358227295141,2.29617788336766
"BI10",46.4,467,85,-8.28204353233254,7.8159441609251,-5.22150794219391,8.85011583510835,-6.73918011052111,5.70716697941964,-6.98199042879572,4.0200614892263,-1.64635280366373,10.1783639253917,-5.36978498691991,5.03855590993543,-6.5030774145644,1.66473145136415,-4.94140015351147,4.70858561298687,-3.87027298831156,1.84936101446338,0,-1.84911706440687,6.35744417844683,0.15741285768978,15.14,6.46152145763797,8.97564346328989,4.76475920775863,2.43125420231054
"BI10",49.8,509,91,-8.15268850302973,10.0604577084739,-5.3067685077044,8.89923601451618,-7.26880119521023,7.55171928570447,-7.21631101258883,5.46278507773667,-2.28967510715104,9.93036942402266,-7.99853782320247,4.03820854355804,-6.80895375632863,4.06764638555692,-5.28388421387081,5.03673035693971,-3.80418867766252,3.44709555981437,0,-1.88584552466532,6.59292733472106,0.151714599760615,22.37,6.06415068634231,8.88689250506599,4.71976672067746,2.25346413473589
"BI10",58.9,731,242,-9.08767132829043,6.76619014300013,-5.4946021790225,8.66848236944953,-7.85856255069295,5.41898367225024,-7.01278560314645,3.59863321185762,-3.71906496089715,7.76434259814642,-5.73045749926725,4.69189223495974,-7.94751003670944,1.2699297134193,-5.33155812479553,4.58307553783376,-3.9117270610964,1.83343076570928,0,-1.91892335438305,6.81663246711587,0.14675353397277,12.21,5.68431445014484,8.80139308967703,4.70593560343781,1.73243157126381
"BI10",64.6,891,203,-7.73582948996048,8.95758858231473,-5.08879339461342,9.11437754626484,-6.61869815352514,7.2737868892733,-6.72168296808257,4.48256118016038,-2.76433017740484,8.73921076841923,-4.4750406771368,5.56695263135749,-5.81014929580787,3.41320377295125,-4.27097013944478,5.12420449095423,-3.81099174885627,3.41522430313818,0,-1.84787100047253,6.34778948107308,0.157657003875155,22.98,6.79218241583895,9.21439497086687,4.98260079101864,2.60059773702075
"BI10",69.2,1024,184,-7.79931518652669,7.58747244830713,-4.98599621709457,8.79883085915351,-6.98533153282347,6.13538078300935,-6.97522022321915,3.8394514938833,-2.90738078037704,8.21468216401249,-5.73314945310424,4.9449583915595,-6.56240459755164,2.05354660680524,-4.48830352250312,4.74493052053587,-3.83841464634673,3.08978528026546,0,-1.88375627438915,6.58059786821978,0.15205097191981,23.16,6.36237339446174,9.16696216121666,5.00581500377425,2.10509015420866
"BI10",80.5,1228,153,-7.42947058786237,9.57217944611186,-5.06209498935245,9.20085797360353,-6.56277679712758,7.6949965706891,-6.96148512277287,4.83236728974649,-2.72186755475553,8.74585699995511,-6.33624914782913,4.21238708406088,-5.7789526496848,3.91635642757712,-4.4939849833644,5.34661758690507,-3.88851126382505,3.66995073900524,0,-1.87798120043096,6.54256128674265,0.152911137520702,16.25,6.65519704424319,9.12900311383122,4.91607310082657,2.38757674394742
"BI10",85.3,1270,137,-9.31212500176812,8.03772748025162,-5.19349441366587,8.87915750034754,-7.44804487096044,6.35400922144901,-7.53717265085645,4.04698604695415,-3.59839219625875,8.23051471759084,-7.00704302857549,4.17491914288766,-6.72248303171621,2.58795630922308,-4.66365589138488,4.87490594640391,-3.7920650648215,2.59054694580365,0,-1.89779311330941,6.67536463339285,0.149911105203995,16.62,6.14673639386028,9.09318659159463,4.95137372435308,2.08712978293837
"BI10",93.5,1342,127,-7.26963813985541,8.05006593280735,-5.06297774991742,8.8147196915889,-5.93859676152211,6.40691933777027,-6.59370308817658,4.0993273690619,-2.49347310131512,9.34055718331538,-8.92445905813732,4.27628832446624,-5.8773888483351,2.33059914641457,-4.06326333636043,4.78638501391686,-3.82502826525794,2.63623548122916,0,-1.85639353701255,6.40163363640903,0.156443694503104,15.49,7.31251188449944,9.26915227675189,4.95641765445163,3.08147555413193
"BI10",96.8,1371,114,-6.81201601169916,8.02113085077993,-5.14750201432198,8.79563762526239,-6.11545002439042,6.33278695155472,-6.49563998754039,3.98932974180479,-2.48761123425786,8.86409264544503,-8.0659211847733,3.73286878747651,-5.30895384343648,2.2715446811789,-3.96387303816617,4.7221214785087,-3.74184151005427,2.57119233561081,0,-1.81398647356622,6.12992269530532,0.163261797266716,27.34,7.3568172537173,9.31005998019513,4.98582836844842,3.26847014705056
"BI10",103.7,1487,145,-7.70149956481961,7.26163413962075,-5.14047527930182,8.86638463037066,-6.53719201688611,6.08925368788437,-6.75600967825319,3.85878807296499,-3.29483677804714,7.5945083648187,-7.47097590620778,3.82272003609075,-6.59214273686852,1.83521807251857,-4.37393543420091,4.84528705056754,-3.86065435577187,2.43324707517014,0,-1.9079356336361,6.74164520608689,0.148378059520846,16.83,6.79743311839667,9.15643155216648,4.9203219636929,2.58277145623824
