labID,"		age","	error","	depth",cc
Exter 1,-58.4,1,13,0
Exter 2,-57.3,1.1,14.1,0
Exter 3,-56.2,1.2,15.2,0
Exter 4,-56.1,1.2,16.3,0
SG-POB4-1602-23,-500,30,16.4,3
Exter 5,-56,1.2,17.4,0
SG-POB4-1602-30,-470,30,17.8,3
Exter 6,-54.7,1.2,18.5,0
SG-POB4-1602-47,-565,30,19.2,3
Exter 7,-53.2,1.2,19.6,0
Exter 8,-51.4,1.3,20.7,0
SG-POB4-1602-54,-490,30,20.7,3
Exter 9,-49.6,1.3,21.8,0
SG-POB4-1602-61,-620,30,22.2,3
Exter 10,-47.6,1.4,22.9,0
Exter 11,-45.3,1.4,24,0
Exter 12,-42.9,1.5,25.1,0
Exter 13,-40.4,1.5,26.2,0
Exter 14,-37.5,1.6,27.3,0
Exter 15,-33.7,1.6,28.4,0
Exter 16,-29.2,1.7,29.5,0
Exter 17,-22.8,1.9,30.6,0
Exter 18,-16.8,2,31.7,0
Exter 19,-7.9,2.2,32.8,0
LuS-12478,395,40,33.1,3
Exter 20,33.9,2.5,4.32,0
Exter 21,35,2.6,14.83,0
Exter 22,36.1,3.2,30.78,0
Exter 23,37.2,6.1,69.46,0
LuS-12479,1525,40,67.5,3
LuS-12480,2895,45,117.1,3
LuS-12481,3640,40,190.8,3
Beta-516807,3550,30,240,3
LuS-12482,3890,50,291.9,3
Beta-516808,6120,30,316.7,3
LuS-12483,7780,50,334.7,3
Beta-271303,8110,50,379,3
