Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-8.351910201,-6.807585416,-7.783551075,-7.728634745,-1.943345385,-6.322295983,-5.401695286,-6.078101026,-8.318261871,-7.295805721,-7.145312613,-3.876485296,-1.92157263,-1.921572631,-8.301382455,-7.741137822,-7.687746898,-8.137005763,-3.685694554,-6.512090022,-7.457954302,-6.747939147,-7.703682897,-6.924045094,-6.713500597,-5.762362512,-5.550121636,-5.550121619,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,8.197266384,3.718972542,7.485607268,6.255575991,7.350555843,3.165840077,4.904951743,0.809311851,3.536463443,-1.722420816,9.543882005,5.173530126,-0.302742141,-4.823951765,0.903173306,-4.195252738,1.474682899,-3.783179804,3.131483408,-2.850539972,0.465642292,-4.782736109,0.828010694,-4.58948524,3.280477529,-0.768928834,1.063443024,-2.460555231,0.365310812,-5.243922557,-1.640033145,-5.308212563
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-8.351408605,-6.956352333,-8.110624083,-7.144767069,-2.186911538,-6.316325742,-5.243772753,-6.120498427,-10.0399833,-6.680789273,-9.188632453,-3.918705531,-1.924222965,-1.924222964,-8.573515623,-8.226321375,-8.199820445,-7.776477134,-4.226166806,-6.994979855,-7.168647273,-6.834791407,-11.88715831,-6.454093243,-8.873723335,-5.984294941,-5.623074199,-5.623074206,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,7.690637206,4.065473787,7.194032483,6.25903052,7.242471201,2.830296537,4.379359838,-0.046230205,3.334683479,-1.449663497,9.143771872,3.304647551,-0.272851908,-5.807279727,1.095171178,-3.816365613,1.180324225,-4.590263544,2.526502418,-1.788587318,0.287263969,-3.75736731,0.422019572,-4.444687368,3.22105826,-1.676882674,0.748228536,-3.31608686,0.864310409,-3.729464393,-2.196440194,-7.437683875
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-8.324353614,-6.614998942,-8.110708154,-8.04695603,-3.580341008,-7.127368585,-5.390932969,-6.38277835,-8.864762687,-7.295433092,-8.176783782,-3.822462287,-1.93825102,-1.93825102,-8.554630002,-7.931940699,-8.638862145,-8.21279021,-5.334518165,-7.14327618,-7.500021097,-6.674575253,-8.126455138,-6.881343209,-7.515048492,-5.878787456,-5.805483188,-5.805483232,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,7.839447574,4.095072011,7.342925528,6.379913346,7.842679962,3.497375757,5.83054549,1.587867411,3.616037222,-1.004924443,8.279495873,3.881588573,0.557321333,-5.394464897,1.268783012,-4.24873329,1.762743424,-3.90820336,2.635227687,-3.131782837,0.556095633,-3.539261959,1.481370446,-3.059475783,3.837393752,-0.655639638,1.861133839,-2.539748147,0.597102761,-4.447781725,-0.934314267,-5.912380576
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-8.175904061,-5.78629652,-7.156273426,-7.267734576,-3.304649342,-6.702913314,-5.300819063,-6.147543688,-6.100885839,-6.315589214,-5.103469566,-3.883319281,-1.910387617,-1.910387618,-8.426522581,-7.533844677,-8.024017248,-8.483783228,-5.662866137,-7.111895214,-7.697952746,-6.777776532,-6.500669004,-6.265993119,-6.537145334,-6.18923708,-5.743750341,-5.743750401,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,8.80308247,4.896995969,8.511676171,7.225304846,8.758076607,4.56666104,6.976038906,2.373263752,4.086824169,-1.436756384,8.426892113,3.325823931,0.158035995,-4.400661673,1.953374927,-2.738655502,2.934298591,-1.734738398,4.420208437,0.185828427,1.569425741,-3.03792817,2.945165643,-2.209405919,4.803700168,-0.174803375,3.573529408,-0.39103813,1.740093445,-2.917706115,0.791306536,-3.812033382
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-7.291901437,-5.175043285,-6.237164402,-6.775476861,-1.574683654,-5.584256407,-5.195222625,-5.637262628,-6.254353822,-6.713743999,-4.699408713,-3.884373801,-1.830940363,-1.830940364,-7.441639197,-7.145312532,-7.252690361,-7.713003386,-3.796029604,-6.550045012,-6.804742224,-6.632517122,-7.281352057,-6.967593089,-5.852392059,-5.972195155,-6.02116933,-6.021169358,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,8.22334343,4.512700169,9.708528206,8.28918792,9.041003807,4.62895785,7.582225674,3.414681479,4.998245353,-1.185584615,9.828554171,3.503550674,2.707379067,-2.982985579,2.286903519,-3.197102273,3.234583751,-2.377436029,4.50048585,-0.187532884,1.970997453,-2.86058961,3.765104996,-0.182959468,5.014349568,0.953145772,3.71147308,-0.086208529,1.597376746,-2.720798704,1.396751083,-3.437952937
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-8.179608666,-5.465259744,-7.11020083,-7.015747187,-1.343716767,-5.059149103,-5.184794484,-5.65380172,-7.69654721,-8.739724102,-5.611104954,-3.891747671,-1.864755907,-1.864755908,-8.5114682,-7.372452976,-8.022832325,-7.758163291,-3.846103661,-6.50943669,-6.886895977,-6.70916477,-7.678345847,-8.314069664,-6.01535472,-6.128519056,-5.699108223,-5.699108216,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,8.071669293,4.415356409,9.288082272,7.691691634,9.044021133,3.311503111,7.338388565,2.072293946,5.004690552,-1.682581743,10.44699763,5.157038582,1.566247756,-3.277350714,2.304662197,-2.338189701,3.222893929,-1.60738807,4.422733328,-0.39139088,2.064449405,-2.593057334,3.048414101,-2.369393495,4.978189201,0.874312955,3.323000013,1.3726501,2.002670086,-2.34784673,0.786381873,-4.442625832
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-7.963816959,-5.148978035,-6.991148469,-7.193957465,-1.842430403,-5.414685803,-5.27100149,-5.705494761,-5.07973652,-6.790347872,-4.751025094,-3.897868133,-1.857863027,-1.857863027,-8.65659456,-7.338345986,-8.000369433,-7.92363396,-3.575079145,-6.358119771,-7.038060897,-7.282055678,-6.719492394,-6.729404099,-6.269665177,-5.88193483,-6.178397622,-6.178397611,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,7.240431831,3.193658598,11.10749168,9.473271687,9.288995733,4.54587538,8.008565705,2.646014136,6.212022716,1.79952155,10.16021569,3.647739173,1.852505947,-3.828256333,2.23277432,-3.563000603,2.518987734,-2.575242667,4.148895496,-1.144274117,1.484837847,-3.260753924,4.928700845,0.726607564,5.111226453,0.959546237,4.103532837,1.900776003,1.255341038,-3.10665179,2.385440725,-2.527172862
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-8.356844604,-5.414372626,-8.048803005,-7.164900858,-3.753760695,-6.598334493,-5.258725916,-5.891635901,-9.102960278,-7.249274588,-5.010343367,-3.887904803,-1.905004401,-1.905004401,-8.653505686,-7.967173385,-8.11805308,-7.913256167,-5.501350895,-7.173503111,-7.285551902,-7.126865456,-8.401251747,-6.618789732,-6.108746268,-6.167039542,-5.640464906,-5.640464896,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,8.127081109,4.532647429,7.815944161,6.449586608,8.850115835,4.21608464,5.707166979,1.258425975,4.020061489,-0.373676341,10.17836393,5.296167887,2.835820277,-2.620431475,2.269238293,-2.791824306,3.424323888,-2.095452801,5.03855591,-0.091072777,2.365430113,-1.729742187,1.664731451,-2.914649793,4.708585613,0.727265684,1.849361014,-2.20321847,1.051231355,-4.50568564,-0.310612877,-5.077107043
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-8.81418363,-5.556093953,-8.481113242,-7.223590211,-3.976732989,-7.159391261,-5.228836331,-5.856454255,-8.063479605,-7.353399103,-5.76461658,-3.893873061,-1.916020915,-1.916020915,-8.740011406,-7.903223672,-8.582730417,-7.974579451,-6.30250203,-7.192931885,-7.265664852,-6.71747815,-7.65757372,-7.141210883,-6.157905082,-6.575685403,-5.634499665,-5.634499657,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,8.006928223,3.911982738,10.06045771,8.191785655,8.899236015,5.857799937,7.551719286,4.530183755,5.462785078,2.610095268,9.930369424,7.009454634,1.740789985,-1.486073495,1.838825236,0.569190988,2.504116673,-0.994968633,4.038208544,0.413134125,1.655720662,-4.078973268,4.067646386,0.50252235,5.036730357,0.667493796,3.44709556,-0.514727774,1.843650577,-2.125235593,1.580588684,-2.05597067
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-7.311251492,-4.981994348,-6.393600252,-6.617411533,-2.7267129,-6.296082267,-5.308350812,-5.710861119,-4.379345657,-5.657459166,-4.22359937,-3.831296621,-1.84151857,-1.841518569,-7.52456023,-6.611444264,-6.71024277,-7.056482136,-4.798682846,-7.721380675,-7.365172159,-6.477793431,-6.130237582,-5.835974515,-5.376989387,-5.940858902,-5.341329668,-5.341329662,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,8.37590765,4.706313336,6.766190143,6.000500364,8.668482369,4.258989267,5.418983672,0.705367728,3.598633212,-2.117483637,7.764342598,2.271037078,0.437681308,-4.538563867,2.032766371,-2.502586233,3.798103023,-1.88306784,4.691892235,-0.299200438,1.936078802,-2.261341408,1.269929713,-3.260694775,4.583075538,0.164149271,1.833430766,-1.993538738,1.550567042,-4.672555208,-0.475987861,-6.152741895
