"depth","surface","kcps","cps","cps_acf_sum","MSE","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Ba","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
5.1,6.07,21028,48722,47400,1.52,0.0274261603375527,0,0.00843881856540084,0.29746835443038,0.377637130801688,0.00843881856540084,0,0.0443037974683544,0.156118143459916,1.59704641350211,0.240506329113924,0.345991561181435,0.147679324894515,0,2.4873417721519,0.322784810126582,0.149789029535865,1.78691983122363,0,80.6898734177215,11.3122362869198,0.140194002,100,92.0021097046413
5.2,6.09,20234,46486,45528,1.3,0.0131787032156036,0.0197680548234054,0,0.162537339659111,0.224037954665261,0.0285538569671411,0,0.0241609558952732,0.13398348269197,1.23220875065894,0.0658935160780179,0.300913723422949,0.338253382533825,0,2.32823756808997,0.0571077139342822,0.0856615709014233,1.86039360393604,0,81.4356000702864,11.6895097522404,0.143542993,100,93.1251098225268
5.3,6.11,20329,46710,45704,1.21,0.0131279537896027,0.039383861368808,0.0634517766497462,0.183791353054437,0.258183091195519,0.0284438998774724,0,0.0175039383861369,0.111587607211623,1.27559950988973,0,0.420094521267285,0.371958690705409,0,2.23831612112725,0.236303168212848,0,1.81384561526343,0,81.2467180115526,11.6816908804481,0.143780465,100,92.9284088920007
5.4,6.11,20653,47454,46440,1.36,0,0.0559862187769165,0.0172265288544358,0.133505598621878,0.213178294573643,0,0,0.0409130060292851,0.0667527993109388,1.45133505598622,0.118432385874246,0.378983634797588,0.152885443583118,0,2.40956072351421,0,0.404823428079242,1.86907838070629,0,80.8871662360035,11.8001722652885,0.145884357,100,92.687338501292
5.5,6.08,21066,48811,47913,1.37,0.0166969298520235,0.0208711623150293,0,0.0960073466491349,0.27758645878989,0.0855717654916202,0,0,0.10644292780665,2.33548306305178,0.0354809759355499,0.467514035856657,0.177404879677749,0,2.48575543171999,0,0,1.97023772253877,0,80.2475319850563,11.6774153152589,0.145517439,100,91.9249473003152
5.6,6.1,21602,49890,48802,1.35,0,0,0.0143436744395721,0.102454817425515,0.231547887381665,0.0327855415761649,0,0,0.153682226138273,1.65771894594484,0.186467767714438,0.497930412688005,0.0901602393344535,0,2.48965206344002,0.139338551698701,0.127043973607639,1.59624605548953,0,80.8327527560346,11.8478750870866,0.146572703,100,92.6806278431212
5.7,6.1,21959,51151,50128,1.46,0,0.0458825406958187,0.0219438238110437,0.137647622087456,0.0897701883179062,0.0778008298755187,0,0,0.133657835939994,2.40584104691989,0.291254388764762,0.347111394829237,0.241382061921481,0,2.86267156080434,0.0678263645068624,0.103734439834025,1.69964889881902,0,79.7897382700287,11.6840887328439,0.146435983,100,91.4738270028727
5.8,6.1,22064,50855,49673,1.51,0,0.0221448271696898,0.0785134781470819,0.175145451251183,0.267751092142613,0.0523423187647213,0.0221448271696898,0.0483159865520504,0.0966319731041008,1.84204698729692,0.138908461337145,0.330159241439011,0.132868963018139,0,2.68556358585147,0,0.235540434441246,1.87627081110462,0,80.7843295150283,11.211322046182,0.138780901,100,91.9956515612103
5.9,6.11,22803,52843,51997,1.49,0,0.0461565090293671,0.051926072658038,0.0615420120391561,0.248091236032848,0.0942362059349578,0.0346173817720253,0.0230782545146835,0.140392714964325,1.7577937188684,0.151931842221667,0.440410023655211,0.251937611785295,0,2.63476739042637,0.101928957439852,0.142315902840549,1.7577937188684,0,80.3123257110987,11.7487547358501,0.146288314,100,92.0610804469489
6,6.11,23091,54502,53349,1.21,0.0112466962829669,0.0224933925659338,0.0449867851318675,0.123713659112636,0.200566083712909,0.0824757727417571,0,0.0374889876098896,0.0637312789368123,2.62422913269227,0.16307709610302,0.404881066186808,0.241803970083788,0,2.85478640649309,0,0.0918480196442295,1.5614163339519,0,79.6547264241129,11.8165288946372,0.148346864,100,91.4712553187501
