"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-3.87592967744995,0.002073505,1.06344302447402,0.085387528,2.98463161416318,0.907899799526321,5.06136342880003
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-3.91870623856195,0.001986678,0.748228535528028,0.03629458,2.88764787087962,0.810404354159453,4.96489138759978
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.82165373913105,0.002189157,1.86113383862431,0.078886265,3.10768694006026,1.03119290990249,5.18418097021804
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.88280324123603,0.002059302,3.57352940771241,0.676354366,2.9690477540224,0.892252988742613,5.04584251930219
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-3.88365413417472,0.00205755,3.71147308000633,0.917402906,2.96711859515168,0.890315523692665,5.0439216666107
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-3.8907352559818,0.002043032,3.3230000127477,3.945793598,2.9510641559531,0.874187573668474,5.02794073823772
"Bird Island","BI10","BI10.2",45,44,45,44.5,-3.89669852734647,0.002030885,4.10353283661237,6.691084732,2.93754412619551,0.860599562719906,5.01448868967112
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.8878504792788,0.002048934,1.84936101446338,0.110447115,2.95760457051476,0.88075888125147,5.03445025977804
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.89390041605667,0.002036576,3.44709555981437,0.597663272,2.94388805146568,0.866976078046812,5.02080002488454
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-3.83265957456472,0.002165195,1.83343076570928,0.136212551,3.08273432370747,1.006229286478,5.15923936093694
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.8620834068735,0.002102415,3.41522430313818,3.299014819,3.01602411314188,0.939396696856314,5.09265152942744
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.86103525771523,0.00210462,3.08978528026546,0.521915705,3.0184004946519,0.941779761604756,5.09502122769904
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.85221711868382,0.002123261,3.66995073900524,1.135258391,3.03839312869795,0.961821824773831,5.11496443262207
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.79206504774139,0.002254899,2.59054694580365,0.180364254,3.17477092192402,1.09821262676533,5.25132921708271
"Bird Island","BI10","BI10.3",95,93,94,93.5,-3.82502825774345,0.002181782,2.63623548122916,0.385854347,3.10003617435347,1.02354078157586,5.17653156713108
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-3.74184150852836,0.00237104,2.57119233561081,0.324463031,3.2886385799874,1.21165803225085,5.36561912772396
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-3.86065435887964,0.002105422,2.43324707517014,0.228978244,3.01926407493809,0.94264572806292,5.09588242181326
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-3.88959544393519,0.002045362,2.09664310937208,0.19067742,2.95364835711481,0.876784136391011,5.0305125778386
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-3.84330291114151,0.002142273,1.74336703695281,0.108668636,3.05860357089773,0.982069884273917,5.13513725752154
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-3.88174921613233,0.002061473,2.37149949846929,0.348935486,2.97143745757534,0.894652824568487,5.0482220905822
"Bird Island","BI10","BI10.4",145,141,142,141.5,-3.81851840925477,0.002196031,2.26950082593994,0.181126451,3.11479541301663,1.03830105399868,5.19128977203458
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-3.83784240019798,0.002154003,4.06289986689823,6.463462839,3.07098373372002,0.99446695690705,5.14750051053299
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-3.84728581652632,0.002133757,1.62082931236906,0.115798204,3.04957346040447,0.973024500846016,5.12612241996292
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-3.95050653836554,0.001924495,2.82771944430571,0.392208159,2.81554969299156,0.737740648831057,4.89335873715206
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-3.8472431227956,0.002133848,1.64034839181633,0.162421667,3.04967025635328,0.973121473653232,5.12621903905333
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-3.91145941427548,0.002001127,2.76618829563902,0.224859279,2.90407799354374,0.826941269191622,4.98121471789587
