"Location","Site","Section","sample","min_depth","max_depth","midpoint","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,227588,574424,14.62,-8.39496670917362,-6.81328090290992,-7.82488135966297,-7.75588748734083,-1.94747911924558,-6.31816191381295,-5.39923620551704,-6.07361343789549,-8.47150784220028,-7.2858844419155,-7.1931027454152,-3.87592967744995,-1.92216673217454,0.146289648,-10.697560651686,-9.11586690575542,-10.1266311038503,-10.0589724553765,-4.25006421223963,-8.62074977957454,-7.70182174098593,-8.37619722814946,-10.7757613989935,-9.58867681269609,-9.49535932700848,-6.17851486689902,-4.22475181149708,0.014628965,7.48560726800855,7.35055584285185,4.90495174256426,3.53646344341951,9.54388200499906,-0.302742141476696,0.903173305789281,1.47468289857608,3.13148340772836,0.828010693892561,3.28047752852584,1.06344302447402,12.51434728,6.25557599090682,3.16584007729043,0.809311850924935,-1.72242081593052,5.1735301264337,-4.82395176455293,-4.19525273760664,-3.7831798039682,-2.85053997187056,-4.58948524040541,-0.76892883376751,-2.46055523100737,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,294191,726086,15.86,-8.37602788638916,-6.95629657412204,-8.16738527160999,-7.14521583119114,-2.18566127969683,-6.31780817173935,-5.24401594112675,-6.12515503810226,-12.3984445381776,-6.68519269639758,-9.98469760796167,-3.91870623856195,-1.92424192874674,0.145986383,-10.6800163420351,-9.25848074730412,-10.4691214127971,-9.44732933011245,-4.48824636379434,-8.6203949278046,-7.54660179183834,-8.42774104552792,-14.7010296311717,-8.9877809912564,-12.2872827009557,-6.22129138189127,-4.22682704229064,0.014598638,7.19403248256761,7.24247120132883,4.37935983755429,3.33468347892019,9.14377187171782,-0.272851907643074,1.09517117816603,1.18032422455858,2.52650241766842,0.422019571710031,3.22105825962403,0.748228535528028,10.48614151,6.25903051977997,2.83029653665937,-0.0462302050626054,-1.44966349692175,3.304647550641,-5.80727972726725,-3.81636561318177,-4.59026354410022,-1.78858731782453,-4.44468736795912,-1.67688267393337,-3.31608686015414,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,261392,633580,15.5,-8.36187890312968,-6.61341616388981,-8.12192657828474,-8.08913849352894,-3.58289751158179,-7.14862628724867,-5.39059538799431,-6.3814617031828,-9.18131569293557,-7.29483346731764,-8.32037718847183,-3.82165373913105,-1.93810895167856,0.143975958,-10.6627745356006,-8.91600051186034,-10.4243635121556,-10.3912479033711,-5.88548242468768,-9.45113885852911,-7.69318004232058,-8.6840450238065,-11.4833666627287,-9.59747452339962,-10.6209274256651,-6.12423874076573,-4.2406940307814,0.014397596,7.34292552813836,7.84267996218333,5.83054549007266,3.6160372217274,8.27949587269265,0.557321332541838,1.26878301189716,1.76274342417884,2.6352276865988,1.48137044625347,3.83739375220028,1.86113383862431,13.6157151,6.37991334620736,3.49737575689997,1.58786741113314,-1.00492444322772,3.88158857289427,-5.39446489683244,-4.24873329038062,-3.90820335957217,-3.13178283662553,-3.05947578279728,-0.65563963789172,-2.53974814739952,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,261115,627506,15.96,-8.18875312649229,-5.78752240865557,-7.15337452706153,-7.26659828575724,-3.30578547066899,-6.70115176301007,-5.3016561340343,-6.14581691393936,-6.10655939916968,-6.30794342952451,-5.10273808308219,-3.88280324123603,-1.91079882847854,0.147962143,-10.4904745372677,-8.09010684924219,-9.45624091041301,-9.56987654819595,-5.60837048185318,-9.0037409227227,-7.60424202970414,-8.44839967313215,-8.4091462873331,-8.61052632686135,-7.40532251818993,-6.18538818854964,-4.21338394174805,0.014796214,8.51167617120909,8.75807660650184,6.97603890594798,4.08682416932195,8.42689211285074,0.158035995347025,1.95337492700147,2.93429859087982,4.42020843695187,2.94516564297707,4.80370016784794,3.57352940771241,19.65584023,7.22530484583096,4.56666103966707,2.37326375234184,-1.43675638426703,3.32582393071755,-4.40066167346688,-2.73865550173223,-1.73473839781915,0.185828427196308,-2.20940591853322,-0.174803375279016,-0.391038130230096,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,221194,574490,13.46,-7.29016130310354,-5.17661154619333,-6.2382493638717,-6.77326984160307,-1.57319543752514,-5.58852823370767,-5.19843728105091,-5.63610550859315,-6.25431404928425,-6.7095816987186,-4.70351216706077,-3.88365413417472,-1.83114153843852,0.160230554,-9.59306599311486,-7.47919646210563,-8.54083548078921,-9.07585318626743,-3.87578052087512,-7.89111305935988,-7.50102273602339,-7.93869116232474,-8.55690122329,-9.01217007262789,-7.00609714972082,-6.18623932437175,-4.1337266563966,0.016023055,9.70852820561717,9.04100380665293,7.582225674148,4.99824535279201,9.82855417128756,2.70737906727561,2.28690351891334,3.23458375089402,4.50048585044673,3.76510499590153,5.01434956763412,3.71147308000633,21.79052633,8.28918792007013,4.62895784972354,3.41468147889351,-1.18558461478387,3.50355067375237,-2.98298557894521,-3.19710227347252,-2.37743602876921,-0.1875328838011,-0.182959468216188,0.953145772105413,-0.0862085291763824,2.179052633
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,267262,631701,14.51,-8.39939682251541,-5.4144364373621,-8.08745832433534,-7.16986057698434,-3.75440487274134,-6.60022425677767,-5.25848222680882,-5.89095952028053,-9.53468642879955,-7.26569244776301,-5.0107779042646,-3.8878504792788,-1.90502154011385,0.148819437,-10.7019952487539,-7.71702063185287,-10.3912479033711,-9.47300468145268,-6.05699000844418,-8.90281155555432,-7.56106655104488,-8.19354569853185,-11.8372715217936,-9.56844490872451,-7.31336239717326,-6.19043562107871,-4.20760661294924,0.014881944,7.8159441609251,8.85011583510835,5.70716697941964,4.0200614892263,10.1783639253917,2.83582027716898,2.26923829310479,3.42432388757179,5.03855590993543,1.66473145136415,4.70858561298687,1.84936101446338,15.13709242,6.44958660815693,4.21608464007972,1.25842597536065,-0.373676340690111,5.29616788707133,-2.6204314748365,-2.7918243055358,-2.09545280050523,-0.0910727765916063,-2.91464979278575,0.727265684166521,-2.20321846987363,1.513709242
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,243101,595564,13.97,-7.33904139858332,-4.9883371068312,-6.40876461286327,-6.61982823653795,-2.7301808626685,-6.29593204319622,-5.30691663449786,-5.70869693083804,-4.38464477902467,-5.66550509091362,-4.22913196615583,-3.83265957456472,-1.84208967385126,0.158485896,-9.64112328806864,-7.29092234651754,-8.71134849157174,-8.922413329532,-5.03276587898425,-8.59851713619027,-7.60950132403745,-8.0112826267882,-6.68722955117986,-7.96808960644027,-6.53171692183467,-6.13524485229961,-4.14467474160647,0.01584859,6.76619014300013,8.66848236944953,5.41898367225024,3.59863321185762,7.76434259814642,0.437681308376675,2.03276637087805,3.79810302271528,4.69189223495974,1.2699297134193,4.58307553783376,1.83343076570928,12.20914471,6.00050036388099,4.25898926679981,0.705367728064666,-2.11748363703603,2.27103707812829,-4.53856386671942,-2.50258623265872,-1.88306784036054,-0.299200437521624,-3.26069477451645,0.164149271467765,-1.99353873826423,1.220914471
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,277432,680416,15.34,-7.4600871590999,-4.70833710932971,-6.97380320536554,-6.94724378798953,-3.03679429687885,-6.49837916218201,-5.27037307080448,-5.62119589767132,-5.87243357933178,-6.84208458649249,-4.56188983969226,-3.8620834068735,-1.88620642172031,0.151646,-9.76198799026243,-7.01092264579444,-9.27648017448073,-9.25012124198803,-5.3393793898729,-8.8009629270481,-7.57295855277562,-7.92378071444589,-8.17501938255033,-9.14467436169345,-6.86447454962922,-6.16466859499624,-4.18879151471435,0.0151646,8.95758858231473,9.11437754626484,7.2737868892733,4.48256118016038,8.73921076841923,1.40336231461165,1.78510366492264,3.59979513160203,5.56695263135749,3.41320377295125,5.12420449095423,3.41522430313818,22.9846784,7.60610726799621,3.8295549773079,2.40046354015638,-1.91004477124907,2.71722094895158,-3.71154846556688,-2.67471088895355,-1.10543315095016,0.901039061796975,-1.36122894388347,0.670393547395899,1.19362388420362,2.29846784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,266174,646476,15.86,-7.7589303125675,-5.15151263079245,-6.89418280315236,-6.96018606217011,-3.02506288103394,-6.07464009032351,-5.2265886941129,-5.37710497885006,-8.32329721078114,-7.0262888462169,-4.62860105740874,-3.86103525771523,-1.89772580168916,0.149909155,-10.0613116377297,-7.45409755109399,-9.1967629635625,-9.26268685234839,-5.32764793283739,-8.37722692209116,-7.52917360095028,-7.67969028823903,-10.6250342076178,-9.32912390796615,-6.93118666225668,-6.16362035070927,-4.20031092803674,0.014990915,7.58747244830713,8.79883085915351,6.13538078300935,3.8394514938833,8.21468216401249,0.713556964185686,1.89825515343819,3.52824534193737,4.94495839155949,2.05354660680524,4.74493052053587,3.08978528026546,23.15568582,6.59085933024035,2.53000541148801,1.41864121487883,-1.59326350131805,3.35831851941963,-4.42355963189666,-3.02013611984136,-3.68312066780009,-0.707505576733216,-2.15633379990156,0.424757633429026,-0.650249188813882,2.315568582
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,245585,590423,14.25,-8.10310867073715,-5.24362181640191,-7.28008497882755,-6.8661096237635,-3.19972723493725,-6.3322464570448,-5.26176964573479,-5.48034512650451,-6.32976533450965,-6.64976904566103,-4.64607760082322,-3.85221711868382,-1.90317624036831,0.149094307,-10.404362845449,-7.54620596262305,-9.58285437994466,-9.16869951281711,-5.50231242603466,-8.63483436213593,-7.56435454590644,-7.78293045942808,-8.63235154955417,-8.95235491126124,-6.94866269381727,-6.1548021645805,-4.20576131324087,0.014909431,9.57217944611186,9.20085797360353,7.6949965706891,4.83236728974649,8.74585699995511,0.891821390097,1.85125704597165,3.67910143420938,4.21238708406088,3.91635642757712,5.34661758690507,3.66995073900524,24.17673458,8.20625808685403,4.11739559205492,3.21649884208163,0.210621932435521,3.66217734560713,-4.56248337132626,-3.92358205457498,-1.8658710066189,-1.97500045576803,-0.351256280022502,0.966617242496849,0.126860282292105,2.417673458
