"Location","Site","Section","sample","min_depth","max_depth","midpoint","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.146289648,0.014628965,12.51434728,1.251434728,14.187842568632,-1.5744029942084,29.9500881314724
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.145986383,0.014598638,10.48614151,1.048614151,14.0665593837868,-1.69669734161444,29.829816109188
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.143975958,0.014397596,13.6157151,1.36157151,13.2625406315651,-2.50786114497199,29.0329424081022
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.147962143,0.014796214,19.65584023,1.965584023,14.8567147439168,-0.90026840676796,30.6136978946016
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.160230554,0.016023055,21.79052633,2.179052633,19.7631561699647,4.0284790827193,35.4978332572101
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.154882636,0.015488264,19.47346052,1.947346052,17.6243913031611,1.88352122524094,33.3652613810812
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.156001865,0.015600187,26.28431951,2.628431951,18.0719987016118,2.33287657433923,33.8111208288843
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.148819437,0.014881944,15.13709242,1.513709242,15.1995678481943,-0.554924147575004,30.9540598439636
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.147191979,0.014719198,22.36604891,2.236604891,14.5487070846975,-1.21063326865381,30.3080474380488
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.158485896,0.01584859,12.20914471,1.220914471,19.0654242236282,3.32932708967783,34.8015213575786
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.151646,0.0151646,22.9846784,2.29846784,16.3299804009311,0.582710619109925,32.0772501827523
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.149909155,0.014990915,23.15568582,2.315568582,15.635373066809,-0.116154319385531,31.3869004530036
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.149094307,0.014909431,24.17673458,2.417673458,15.3094951692449,-0.44422771346834,31.0632180519582
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.149899065,0.014989906,16.6231038,1.66231038,15.6313378258973,-0.120215973306005,31.3828916251006
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.156235072,0.015623507,15.49312409,1.549312409,18.1652639570425,2.4264759376108,33.9040519764743
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.163003033,0.016300303,27.34117399,2.734117399,20.8719391915351,5.13832231027674,36.6055560727935
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.148386395,0.014838639,16.82974775,1.682974775,15.0263836266991,-0.729349237106709,30.7821164905049
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.149994636,0.014999464,13.84436494,1.384436494,15.6695590359243,-0.0817453610812766,31.4208634329299
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.146540879,0.014654088,12.21081609,1.221081609,14.2883160680858,-1.47310506498638,30.049737201158
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.157429024,0.015742902,16.79692387,1.679692387,18.6427549339517,2.90551478297522,34.3799950849281
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.149080326,0.014908033,14.8081316,1.48081316,15.3039038210599,-0.449857834686712,31.0576654768066
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.155207238,0.015520724,16.33050513,1.633050513,17.7542076827866,2.01386916606378,33.4945461995094
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.153555878,0.015355588,15.40632226,1.540632226,17.0937879174789,1.3505361357813,32.8370396991765
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,0.152441264,0.015244126,18.59519446,1.859519446,16.6480261718337,0.902513974311045,32.3935383693563
