"Location","Site","Section","sample","min_depth","max_depth","midpoint","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.146376585,0.003886984,12.51434728,1.251434728,17.7037454737888,-1.6134395352274,37.0209304828049
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.145989152,0.003613515,10.48614151,1.048614151,17.6293066152263,-1.68870960820007,36.9473228386527
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.143955505,0.003010999,13.6157151,1.36157151,17.2385748980029,-2.08404111502835,36.5611909110342
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.148022999,0.003202734,19.65584023,1.965584023,18.0200767591498,-1.2937370338267,37.3338905521263
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.160262792,0.00242683,21.79052633,2.179052633,20.3717510356335,1.07481355882473,39.6686885124424
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.154934023,0.003348951,19.47346052,1.947346052,19.3479159934376,0.0454061051885475,38.6504258816867
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.156005654,0.002073748,26.28431951,2.628431951,19.5538122088869,0.252642943473361,38.8549814743005
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.148821988,0.003551217,15.13709242,1.513709242,18.1735893127112,-1.13868247052051,37.485861095943
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.147191486,0.003572464,22.36604891,2.236604891,17.8603152556128,-1.45516855570607,37.1757990669316
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.158576434,0.004789498,12.20914471,1.220914471,20.047745169722,0.749340474830952,39.3461498646131
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.151652695,0.002941087,22.9846784,2.29846784,18.7174629579732,-0.589840317102883,38.0247662330494
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.149898092,0.00220137,23.15568582,2.315568582,18.380344941309,-0.929947134102417,37.6906370167204
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.149104333,0.004918526,24.17673458,2.417673458,18.227837245956,-1.08390431920055,37.5395788111125
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.149911105,0.004174895,16.6231038,1.66231038,18.3828451745531,-0.927423643132915,37.6931139922391
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.156443694,0.006363537,15.49312409,1.549312409,19.6379743675175,0.337321212938264,38.9386275220967
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.163261797,0.004797626,27.34117399,2.734117399,20.9479603647902,1.65295422768539,40.242966501895
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.148378059,0.002752184,16.82974775,1.682974775,18.0882956798953,-1.22482527913416,37.4014166389247
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.149992787,0.002882752,13.84436494,1.384436494,18.3985390231543,-0.911584179266708,37.7086622255753
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.146557429,0.003832888,12.21081609,1.221081609,17.7384916645827,-1.57831029688704,37.0552936260525
