"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP","RMSEP_ppm_cv","RMSEP_overall_boot","RMSEP_ppm_boot_sd","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"HER42PB","Ca","Bayes",0.674369358424872,0.6783897906045,0.66833871015543,3971,0.636884102731344,0.428801053115093,0.437812064252784,5676.8614276907,5957.29135111303,820.730553649254,1,0.645160852645594,"Preferred 1","Moderate confidence",FALSE,5
"HER42PB","Ca","RF",0.6,1,0,3971,0.677807498034738,0.403915878804705,0.405320083182145,5049.08307476495,5228.16746390404,454.783231485676,2,0.639795283883923,"Acceptable 2","Moderate confidence",FALSE,6
"HER42PB","Ca","PLS_LOO",0.686809770792688,0.67868691305765,0.698994057395245,3971,0.605172814508826,0.447133012734933,0.450351241681476,6053.6242581495,6205.7328409192,773.225243213102,3,0.63946006916667,"Acceptable 3","Moderate confidence",FALSE,3
"HER42PB","Ca","PLS_kfold",0.686809770792688,0.67868691305765,0.698994057395245,3971,0.605172814508826,0.447133012734933,0.450351241681476,6053.6242581495,6205.7328409192,773.225243213102,4,0.63946006916667,"Acceptable 4","Moderate confidence",FALSE,4
"HER42PB","Ca","OLS_weighted",0.979454035024258,0.968085020414693,0.996507556938604,4009,0.60078407376705,0.449611220751241,NA,NA,5697.48877526591,562.540331846359,5,0.592008158026469,"Unstable","Low confidence",FALSE,1
"HER42PB","Ca","OLS",0.862553061739332,0.77219504416233,0.998090088104834,4009,0.605349695781694,0.447032844459699,0.450923989941031,5658.0460435519,5697.48877526591,562.540331846359,6,0.525059739077389,"Unstable","Low confidence",FALSE,2
"HER42PB","Ca","WLS_weighted",0.403305845612077,0.00555353975964262,0.999934304390728,4009,0.604732452698864,0.447382293228408,NA,NA,5697.48877526591,562.540331846359,7,0.210335333978802,"Unstable","Low confidence",FALSE,7
"HER42PB","Ca","WLS",0.4,0,1,4009,0.604685117514639,0.447409080513934,NA,NA,5697.48877526591,562.540331846359,8,0.207889907207177,"Unstable","Low confidence",FALSE,8
"HER42PB","Sr","Bayes",0.758939836442083,0.849184921910615,0.623572208239285,3971,0.635271572146413,0.373704733132646,0.385058169520708,59.0390794365842,59.3962906925544,6.53605371859473,1,0.708700963002241,"Preferred 1","Moderate confidence",FALSE,4
"HER42PB","Sr","RF",0.572345402500481,0.953909004167468,0,3971,0.688361791876862,0.345437228325002,0.346757684558846,45.0004058967542,47.7285203815051,4.23336051005225,2,0.7,"Acceptable 2","Moderate confidence",FALSE,5
"HER42PB","Sr","PLS_LOO",0.998040957570121,1,0.995102393925302,3971,0.619560933054721,0.381668523678026,0.387403145926133,60.2288395492903,60.951161313048,7.32540295673246,3,0.693204144674551,"Acceptable 3","Moderate confidence",FALSE,1
"HER42PB","Sr","PLS_kfold",0.998040957570121,1,0.995102393925302,3971,0.619560933054721,0.381668523678026,0.387403145926133,60.2288395492903,60.951161313048,7.32540295673246,4,0.693204144674551,"Acceptable 4","Moderate confidence",FALSE,2
"HER42PB","Sr","OLS",0.883826810668252,0.807112838308737,0.998897769207524,4009,0.605940022011523,0.388440903375382,0.391554198151312,60.3001473210945,60.5787104774056,5.28700680476254,5,0.473110961271227,"Unstable","Low confidence",FALSE,3
"HER42PB","Sr","WLS",0.457752911596948,0.0962548526615804,1,4009,0.605899324973479,0.388460961218056,NA,NA,60.5787104774056,5.28700680476254,6,0.238830842514552,"Unstable","Low confidence",FALSE,7
"HER42PB","Sr","WLS_weighted",0.463209709792984,0.109276874827769,0.994108962240807,4009,0.605197017350042,0.38880693583257,NA,NA,60.5787104774056,5.28700680476254,7,0.217996130924415,"Unstable","Low confidence",FALSE,6
"HER42PB","Sr","OLS_weighted",0.396267216751262,0,0.990668041878155,4009,0.588442221601662,0.396971381054182,NA,NA,60.5787104774056,5.28700680476254,8,0.118101809465061,"Unstable","Low confidence",FALSE,8
"HER42PB","Ti","PLS_LOO",0.658253316946086,0.906107539635645,0.286471982911748,3971,0.756227776634957,0.607666319730726,0.620336808479536,2043.38471456324,2203.41115300355,705.256127489748,1,0.840505406106005,"Preferred 1","High confidence",FALSE,3
"HER42PB","Ti","PLS_kfold",0.658253316946086,0.906107539635645,0.286471982911748,3971,0.756227776634957,0.607666319730726,0.620336808479536,2043.38471456324,2203.41115300355,705.256127489748,2,0.840505406106005,"Acceptable 2","High confidence",FALSE,4
"HER42PB","Ti","OLS",0.929795701868474,0.905495784320997,0.966245578189689,3971,0.729930592021033,0.639603384224678,0.644447515724916,2123.67445314434,2183.23509730289,418.899208076447,3,0.743615106307832,"Acceptable 3","Moderate confidence",FALSE,1
"HER42PB","Ti","Bayes",0.55027960081026,0.874445153043953,0.0640312724597214,3971,0.757847910218222,0.605643649083077,0.617880211717454,2262.20178182331,2412.22127315577,784.252798937385,4,0.707900501056489,"Acceptable 4","Moderate confidence",FALSE,6
"HER42PB","Ti","OLS_weighted",0.886017759561677,0.865820862439093,0.916313105245554,3971,0.718555763474536,0.652933928562262,NA,NA,2183.23509730289,418.899208076447,5,0.661337636082951,"Unstable","Moderate confidence",FALSE,2
"HER42PB","Ti","RF",0.6,1,0,3971,0.737894395399044,0.630102511365047,0.624680929647959,1644.28446880636,1724.6808687449,214.240203644258,6,0.46925052682932,"Unstable","Low confidence",FALSE,5
"HER42PB","Ti","WLS_weighted",0.408923463281926,0.0178740643427511,0.995497561690689,3971,0.72919658362992,0.640471967780676,NA,NA,2183.23509730289,418.899208076447,7,0.368115892371195,"Unstable","Low confidence",FALSE,7
"HER42PB","Ti","WLS",0.4,0,1,3971,0.728935134347202,0.640781067535794,NA,NA,2183.23509730289,418.899208076447,8,0.356849184064274,"Unstable","Low confidence",FALSE,8
"HER42PB","Zr","OLS",0.721033911809331,0.903018800067803,0.448056579421623,4009,0.608456680906178,0.822327315016661,0.829368800202076,170.770192118497,171.307378492073,93.6991109242749,1,0.881763066311927,"Preferred 1","High confidence",FALSE,3
"HER42PB","Zr","WLS_weighted",0.609182548269456,0.674180159465756,0.511686131475005,4009,0.608229412035276,0.822565937768544,NA,NA,171.307378492073,93.6991109242749,2,0.770728996347623,"Acceptable 2","High confidence",FALSE,5
"HER42PB","Zr","PLS_LOO",0.833438695653587,0.722397826089311,1,3971,0.72037835645274,0.69492862207945,0.711474071275561,83.4172964678884,88.5046640572072,34.869427206997,3,0.707580950331449,"Acceptable 3","Moderate confidence",FALSE,1
"HER42PB","Zr","PLS_kfold",0.833438695653587,0.722397826089311,1,3971,0.72037835645274,0.69492862207945,0.711474071275561,83.4172964678884,88.5046640572072,34.869427206997,4,0.707580950331449,"Acceptable 4","Moderate confidence",FALSE,2
"HER42PB","Zr","RF",0.6,1,0,3971,0.743282442571523,0.665859489258049,0.675449546082181,47.6388182667659,50.1368341822247,10.9507705044429,5,0.673071184668673,"Unstable","Moderate confidence",FALSE,6
"HER42PB","Zr","WLS",0.461179538653909,0.43708836022159,0.497316306302388,4009,0.608323185716187,0.822467487738816,NA,NA,171.307378492073,93.6991109242749,6,0.66967817197047,"Unstable","Moderate confidence",FALSE,7
"HER42PB","Zr","Bayes",0.689723628353832,0.807190460138943,0.513523380676166,3971,0.7219222288162,0.693007515213175,0.70718613446717,90.4654001007253,94.2746470081931,37.7204097634764,7,0.65530289914129,"Unstable","Moderate confidence",FALSE,4
"HER42PB","Zr","OLS_weighted",0.316209238635208,0,0.790523096588021,4009,0.401191970178938,1.01694769214115,NA,NA,171.307378492073,93.6991109242749,8,0.243417629025981,"Unstable","Low confidence",FALSE,8
