"Element","Model","R2","RMSE","RMSEP","AIC","BIC"
"Ca","PLS_LOO",0.605349695781694,0.447032844459699,0.450923989941031,NA,NA
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,503.727552589756,514.500513531289
"Mn","PLS_LOO",0.642325781154841,0.576119639333299,0.578466614037535,NA,NA
"Sr","PLS_LOO",0.605940022011523,0.388440903375382,0.391554198151312,NA,NA
"Ti","PLS_LOO",0.729930592021033,0.639603384224678,0.644447515724916,NA,NA
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,661.700465220814,672.473426162346
