"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.335575237698124,0.0480573150747056,2.467420581,0.015066934,10.8603033699458,-4.0989422866823,25.8195490265739
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.401623352367971,0.0608930459018632,2.98969441,0.02200764,9.14340209831168,-5.80920149692537,24.0960056935487
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.368593410411422,0.04380237502335,3.556521683,0.014282314,10.0020057031333,-4.93995319711123,24.9439646033778
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.395841455535071,0.0354341894259921,7.052448962,0.06465722,9.29370080213517,-5.6550224766567,24.242424080927
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.378409736745743,0.0784014372702192,9.844407416,0.040880493,9.74683319366169,-5.19537075314916,24.6890371404725
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.375171651629446,0.0669661633325769,10.02079263,0.096502178,9.8310062617594,-5.11084393431532,24.7728564578341
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.365943613375867,0.0628623178244996,9.325702706,0.028353619,10.0708863959836,-4.8714295850982,25.0132023770654
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.416964569801947,0.0542851162839597,9.672030755,0.061309265,8.74461167329394,-6.22242833973489,23.7116516863228
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.433783446679785,0.0561965056365194,6.289145655,1.766837081,8.30740992660727,-6.68235078555899,23.2971706387735
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.370458194725954,0.0506537915347229,7.635178907,0.081872982,9.95353118456529,-4.98828428299167,24.8953466521223
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.39624318978387,0.0477589204958125,5.960197779,0.068926753,9.2832578387581,-5.66570740241104,24.2322230799272
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.417727674284257,0.0576720972932511,6.674238754,0.048794576,8.72477499721897,-6.24313993487506,23.692689929313
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.403174298292266,0.0797344536208498,6.367819135,0.01977015,9.1030857161868,-5.85070417101642,24.05687560339
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.42548737246867,0.0357342568619274,5.912256586,0.047824043,8.52306393026557,-6.45459014877493,23.5007180093061
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.395193309585667,0.0572491737491176,7.120078834,0.066671523,9.31054916503393,-5.63779244558715,24.258890775655
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.429740331681543,0.05485177424121,5.857915852,0.041156676,8.41250950918497,-6.57113252354385,23.3961515419138
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.389973380043958,0.0335672716604133,4.568507031,0.022190259,9.44623969477576,-5.49942011348148,24.391899503033
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.380187382760358,0.0491658431518683,5.784125479,0.017909738,9.70062380951403,-5.24188857140056,24.6431361904286
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.417349279327589,0.0503021422801544,6.534750001,0.055133377,8.7346112625769,-6.23286797431589,23.7020904994697
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.3088679903108,0.0645785330714044,9.469595678,0.030083547,11.5545503932008,-3.43904409889512,26.5481448852967
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.40986672690802,0.071691657740917,7.155451754,0.030710634,8.9291180070683,-6.03049575284674,23.8887317669833
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.384895993034699,0.0763815566428536,6.317256008,0.021906999,9.57822487340426,-5.36549572400934,24.5219454708179
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.40219672589197,0.0589483638322072,16.20702482,0.031666011,9.12849742257043,-5.82453757092502,24.0815324160659
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.391418475917345,0.062381842813208,12.29132094,0.371333453,9.40867485352248,-5.5376575667211,24.3550072737661
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.409003355135853,0.0452594311466473,8.534630865,0.135962996,8.951561101787,-6.00723705549702,23.910359259071
