Location,Site,Section,sample,min_depth,max_depth,depth,depth_err,SH20_mean_95CI,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate,accrate_err,kcps,cps,MSE, K, Ca, Ti, Mn, Fe, Zn, Rb, Sr, Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd, K_sd, Ca_sd, Ti_sd, Mn_sd, Fe_sd, Zn_sd, Rb_sd, Sr_sd, Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content_pc,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Ln_C_org,Ln_C_org_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr,DMAR_err_pc, P_ICP,P_ICP_sd,K_ICP,K_ICP_sd, Ca_ICP, Ca_ICP_sd, Ti_ICP, Ti_ICP_sd, Mn_ICP, Mn_ICP_sd, Fe_ICP, Fe_ICP_sd, Co_ICP, Co_ICP_sd, Ni_ICP, Ni_ICP_sd, Cu_ICP, Cu_ICP_sd, Zn_ICP, Zn_ICP_sd, As_ICP, As_ICP_sd, Rb_ICP, Rb_ICP_sd, Sr_ICP, Sr_ICP_sd, Zr_ICP, Zr_ICP_sd, Pb_ICP, Pb_ICP_sd, Th_ICP, Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,0.55,7,-67,-52,-61,-61,0.09517,0.07549,20689.81818,52220.36364,1.329090909,8.636363636,42,15.27272727,16.36363636,5450.545455,8,26.18181818,28.72727273,792.3636364,38213.72727,5590.272727,6.836090686,1.921893934,0.146376585,-1.921893935,43804,873.5065905,1818.180039,0.057000797,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.182202519,0.026604035,0.003886984,0.026604035,1764.165809,87.49,12.51,0.63,90.56,4.53,52.34,4.53,3.957760897,0.342542164,3.9915,0.2116,0.7473,0.1069,0.011,0.0102,0.0091,89.6,3631.01094,41.22201845,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,1.593037056,0.008373058,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,0.55,52,-62,41,-24,-20,0.09524,-0.2374,24515.91667,60507.16667,1.321666667,10.41666667,43.08333333,12.83333333,35.66666667,5083.583333,0.545454545,56.5,2.083333333,898.5,45226.25,6602.416667,6.853673353,1.924503809,0.145989152,-1.924503808,51828.66667,487.3021199,1472.753564,0.068202017,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,1.809068067,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.169742759,0.024756333,0.003613515,0.024756333,759.6963907,89.51,10.49,0.52,90.31,4.52,45.15,4.52,3.80999028,0.381420954,3.7179,0.303,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1,2187.768178,58.29252023,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.332775979,0.02334512,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,0.55,111,-33,189,50,60,0.10578,0.20089,21782.66667,52798.33333,1.291666667,9.833333333,56.5,12.5,12.91666667,1170,4.333333333,28.58333333,10.25,921.5,42093.83333,6060.5,6.949406891,1.938452952,0.143955505,-1.938452952,48154.33333,564.7542238,1711.664067,0.082553931,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.146903945,0.021027399,0.003010999,0.021027399,1547.898536,86.38,13.62,0.68,90.68,4.53,45.34,4.53,3.814189645,0.381082468,4.7687,0.701,0.9214,0.1452,0.0286,0.0154,0.0322,209.6,2538.801945,60.0436628,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,1.743850558,0.029034748,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,0.525,145,82,372,212,214,0.08802,0.06119,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,6.75858272,1.910600997,0.148022999,-1.910600998,46839.91667,587.0123831,1289.586955,0.068090848,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.14503619,0.021547465,0.003202734,0.021547463,1138.107237,80.34,19.66,0.98,72.7,3.63,36.35,3.64,3.593194204,0.35981367,5.6796,1.5477,0.8756,0.2142,0.0691,0.0189,0.0192,101.8,6654.725412,133.8869744,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,4.803888726,0.047934098,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,0.475,143,182,468,347,340,0.07126,0.0308,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,74.1,47,349.4,793.2,38550.7,6177,6.241044238,1.83104381,0.160262792,-1.83104381,44727.7,229.5663545,1848.955501,0.126156869,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.094860109,0.015171435,0.00242683,0.015171434,1070.948806,78.21,21.79,1.09,61.98,3.1,30.99,3.1,3.433664572,0.343477256,4.6609,1.6313,1.0904,0.3038,0.1215,0.0216,0.018,83.2,3726.942347,91.16765458,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,7.177832466,0.057235004,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,0.5,138,244,520,411,404,0.07979,0.02824,23491.90909,61638.18182,1.349090909,11.09090909,171.7272727,33.09090909,36.45454545,10621.27273,17.45454545,5.636363636,148.1818182,831.4545455,40697.09091,6303.272727,6.45711632,1.864969006,0.154934023,-1.864969007,47000.36364,847.1868099,2006.333812,0.064413437,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.140283271,0.021670954,0.003348951,0.021670954,1375.404542,80.53,19.47,0.97,46.97,2.35,23.49,2.35,3.156574799,0.315791859,4.9063,1.9134,1.0736,0.2596,0.1142,0.0207,0.0164,79.4,3202.443185,82.71131473,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,7.880957488,0.074791029,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,51,45.9,46.9,46.4,0.5,85,374,544,470,467,0.07984,0.01535,24155,62053.09091,1.374545455,10.72727273,228.9090909,50.18181818,39.36363636,8172.090909,197.3636364,63.54545455,302.9090909,884.0909091,42397,6672.272727,6.357444179,1.849253461,0.157412858,-1.849253462,49069.27273,453.4772321,1133.338295,0.091253892,11.06427502,30.83976182,21.8806681,16.80043289,673.6131612,115.5216627,56.88473193,69.39806128,64.28756419,762.7776871,166.4602601,0.182779022,0.028592983,0.004475297,0.028592983,803.3255991,84.86,15.14,0.76,86.82,4.34,43.41,4.34,3.770689829,0.376982121,5.8291,3.2905,1.0017,0.1787,0.1098,0.0143,0.0115,80.7,3384.904962,93.00445812,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,10.64861794,0.177330122,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,49.3,50.3,49.8,0.5,91,431,612,509,509,0.04431,0.00833,23782.54545,58865.81818,1.302727273,12.54545455,216,30.36363636,32,4413.272727,14.63636364,48.09090909,221,970.5454545,43566.63636,6609.090909,6.592927335,1.885875918,0.1517146,-1.885875918,50175.72727,415.853427,920.7227398,0.071005762,9.511715264,27.06288972,18.22236388,18.89973545,708.4610209,40.27970389,65.10369351,105.8621745,90.8166985,549.8352977,99.84733802,0.107707507,0.016359697,0.002485303,0.016359698,588.7108103,77.63,22.37,1.12,49.27,2.46,24.64,2.47,3.204371139,0.321217399,5.7227,3.3993,0.9612,0.2769,0.1783,0.0123,0.0102,83.2,3001.682437,49.99798666,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,5.236852561,0.016924834,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,58.4,59.4,58.9,0.5,242,517,1000,723,731,0.04011,0.0136,23787.45455,55955.63636,1.37,5,181.7272727,17.09090909,39.81818182,1072.818182,143.5454545,15.63636364,213.9090909,884.8181818,44227.81818,6491.090909,6.816632467,1.919182655,0.146753534,-1.919182654,50718.90909,321.6977972,1024.875531,0.086139422,6.340346994,38.05283408,10.77454914,17.18614664,146.8930347,47.36953375,23.04895975,66.89462541,75.60134679,670.183679,182.7842742,0.137121981,0.020033304,0.002927739,0.020033305,814.1142984,87.79,12.21,0.61,89.03,4.45,44.52,4.45,3.795938526,0.379423325,5.7227,3.8571,1.0337,0.1438,0.1041,0.0058,0.0061,106.3,4341.206788,110.6435017,867.9986358,156.2397544,5816.665099,756.1664629,225.6496719,31.59095407,36.54824658,4.38578959,2355.109726,423.9197507,1.54911114,0.10843778,7.635178907,4.12299661,44.61646774,6.246305484,109.0593506,9.815341554,6.931517761,0.104210602,3.560602291,0.569696367,97.81476508,1.956295302,6.255310392,0.31276552,4.714142544,0.009348352,0.621271024,0.00212764
Bird Island,BI10,BI10.2,67,64.1,65.2,64.6,0.525,203,707,1112,883,891,0.03456,0.00815,22661.41667,55280.33333,1.319166667,17.83333333,251.6666667,54.5,49.16666667,2572.333333,464.9166667,122.3333333,570.1666667,903.1666667,40818.83333,6431.916667,6.347789481,1.847722769,0.157657004,-1.847722769,47250.75,631.5493874,1314.721079,0.083389375,18.62468222,43.75621168,47.49066894,36.82349382,329.9077924,57.30216295,97.9956709,167.2058249,129.0967455,1324.429746,173.9291697,0.182454354,0.029041933,0.004628057,0.029041933,1425.894432,77.02,22.98,1.15,80.57,4.03,40.28,4.03,3.695855068,0.369769015,5.5719,4.0229,1.0497,0.3133,0.2418,0.0108,0.0109,100.8,3712.228887,74.17879973,7766.606331,1397.98914,9084.977882,1181.047125,1442.000824,201.8801154,88.46094721,10.61531367,6242.966621,1123.733992,4.068857773,0.284820044,5.960197779,3.218506801,36.59073739,5.122703235,261.6355831,23.54720248,8.072382999,0.070931291,30.36236272,4.857978035,168.0404108,3.360808216,30.42377281,1.521188641,4.487970407,0.077593013,2.556674805,0.045766663
