"Rank","Model","R2","Adj_R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","RMSEP_ppm","RMSEP_source","AIC","BIC","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
1,"Bayes",0.757847910218222,NA,0.605643649083077,0.617880211717454,2132.72586760655,2262.20178182331,2412.22127315577,784.252798937385,NA,NA,503.766615819022,525.312537702087,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
2,"PLS_LOO",0.756227776634957,NA,0.607666319730726,0.620336808479536,1919.97750377683,2043.38471456324,2203.41115300355,705.256127489748,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
3,"PLS_kfold",0.756227776634957,NA,0.607666319730726,0.620336808479536,1919.97750377683,2043.38471456324,2203.41115300355,705.256127489748,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
4,"RF",0.737894395399044,NA,0.630102511365047,0.624680929647959,1632.63607193601,1644.28446880636,1724.6808687449,214.240203644258,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
5,"OLS",0.729930592021033,0.728915293494796,0.639603384224678,0.644447515724916,2035.54425020404,2123.67445314434,2183.23509730289,418.899208076447,NA,NA,527.008898110934,537.781859052467,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
6,"WLS_weighted",0.72919658362992,0.884226012082443,0.640471967780676,NA,1893.08238585334,NA,2183.23509730289,418.899208076447,NA,NA,487.996188481353,498.769149422886,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
7,"WLS",0.728935134347202,0.892054889555106,0.640781067535794,NA,1882.89538666468,NA,2183.23509730289,418.899208076447,NA,NA,487.487982869888,498.26094381142,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
8,"OLS_weighted",0.718555763474536,0.660818187246219,0.652933928562262,NA,2173.73266969499,NA,2183.23509730289,418.899208076447,NA,NA,558.906329039579,569.679289981112,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
