"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.37872007858635,-0.0689360039293176,1.3049526576182,0.06524763288091,1.55376229296375,0.630173116880715,2.47735146904678
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-1.20646118331133,-0.0603230591655663,1.0281289082459,0.0514064454122948,1.66015601768815,0.737342315714493,2.5829697196618
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.26291733911768,-0.063145866955884,1.97090735948023,0.0985453679740117,1.62528652261639,0.702230607350201,2.54834243788258
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-1.21581570383403,-0.0607907851917013,2.18038714473554,0.109019357236777,1.65437830571669,0.731525275504295,2.57723133592908
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.81944771201243,-0.0409723856006215,2.05065592068389,0.102532796034195,1.89919043541309,0.977722898843961,2.82065797198221
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.181732006591,-0.0590866003295498,2.00602850843823,0.100301425421912,1.6754297091654,0.752718432313705,2.5981409860171
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.48318241596533,-0.0741591207982665,2.20240610833466,0.110120305416733,1.48924233218366,0.565130150514682,2.41335451385264
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-1.73129755125607,-0.0865648775628036,0.8436445763641,0.042182228818205,1.33599687358524,0.410483329945772,2.2615104172247
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-2.11060390826737,-0.105530195413368,2.17022093152237,0.108511046576119,1.10172266632504,0.173635873862134,2.02980945878795
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.11629450887272,-0.0558147254436362,1.18035775986724,0.0590178879933618,1.71584642673331,0.793395390197636,2.63829746326899
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.33591072304167,-0.0667955361520837,2.03417261627581,0.10170863081379,1.58020299886853,0.65681665945081,2.50358933828625
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.03522996936755,-0.0517614984683775,1.50628944908492,0.0753144724542462,1.76591500686239,0.843764617188131,2.68806539653664
