"Rank","Model","R2","Adj_R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","RMSEP_ppm","RMSEP_source","AIC","BIC","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
1,"RF",0.736190158651039,NA,0.365492700892084,0.371218256028587,4459.98875484185,4627.87384517854,4819.36681179678,448.170273276823,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
2,"Bayes",0.71849446314204,NA,0.377551919451181,0.391342413156401,4920.26934220119,5139.59940097741,5274.72624707994,627.262333363349,NA,NA,254.461762755566,283.189658599653,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
3,"PLS_LOO",0.714591218855023,NA,0.380160401230266,0.391014570914877,5060.00126868248,5182.9958349032,5386.18247930186,671.781235198483,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
4,"PLS_kfold",0.714591218855023,NA,0.380160401230266,0.391014570914877,5060.00126868248,5182.9958349032,5386.18247930186,671.781235198483,NA,NA,NA,NA,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
5,"OLS",0.605349695781694,0.603866048021475,0.447032844459699,0.450923989941031,5504.63271481712,5658.0460435519,5697.48877526591,562.540331846359,NA,NA,335.005013489929,345.777974431461,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
6,"WLS_weighted",0.604732452698864,0.74852591135686,0.447382293228408,NA,5447.03371534874,NA,5697.48877526591,562.540331846359,NA,NA,321.186258039926,331.959218981458,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
7,"WLS",0.604685117514639,0.751488322386138,0.447409080513934,NA,5446.04597912254,NA,5697.48877526591,562.540331846359,NA,NA,321.219522661163,331.992483602695,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
8,"OLS_weighted",0.60078407376705,0.566965225299965,0.449611220751241,NA,5620.88386479327,NA,5697.48877526591,562.540331846359,NA,NA,359.871349044666,370.644309986199,"Models are ranked by decreasing R², then by increasing RMSEP (ppm; bootstrap- or CV-derived), followed by log-space RMSEP, and finally by log-space RMSE.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error (log-space).","RMSEP = 10-fold CV error (log-space)."
