"Model","Shapiro_W","Shapiro_p","Shapiro_expl","BreuschPagan_stat","BreuschPagan_p","BreuschPagan_expl","CV10_RMSE","CV10_expl","AIC","AIC_expl","BIC","BIC_expl"
"OLS",0.930599969699794,6.99615485899015e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",0.0982605435196742,0.753927120132716,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.391554198151312,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",259.701823511304,"AIC is reported but not used for ranking.",270.474784452837,"BIC is reported but not used for ranking."
"OLS_weighted",0.931617065152256,8.66174924832632e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",29185.7994144649,0,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",NA,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",330.646390635536,"AIC is reported but not used for ranking.",341.419351577069,"BIC is reported but not used for ranking."
"WLS_weighted",0.930696647333872,7.13901121148499e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",2695.78921801384,0,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",NA,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",262.010925381086,"AIC is reported but not used for ranking.",272.783886322619,"BIC is reported but not used for ranking."
"Bayes",0.930599141691087,6.99494431405068e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",0.0982605435196742,0.753927120132716,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.39155455936524,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",259.701827598661,"AIC is reported but not used for ranking.",270.474788540193,"BIC is reported but not used for ranking."
"RF",0.956844732744834,3.77869457877644e-07,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.439186426890549,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
"PLS_LOO",0.930599969699794,6.99615485899015e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.391554198151312,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
"PLS_kfold",0.930599969699794,6.99615485899015e-10,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.391554198151312,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
