"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
"RF",0.700578845965582,0.527120736590801,0.542071495425495,NA,NA,1,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"Bayes",0.675458563365958,0.54878715622519,0.563291283780317,454.927144861597,483.655040705684,2,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"PLS_LOO",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,3,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"PLS_kfold",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,4,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"OLS",0.642325781154841,0.576119639333299,0.578466614037536,470.979249882013,481.752210823546,5,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"WLS_weighted",0.642027836746649,0.576359544649593,NA,452.112021258381,462.884982199914,6,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"WLS",0.64171449487873,0.57661174033931,NA,449.383505423298,460.15646636483,7,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"OLS_weighted",0.621575234052913,0.592595892589243,NA,464.263343905446,475.036304846979,8,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
