C:\Data\BAS2023_Mo_batch\MI1K__xrf     2023-09-05  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000000.spe	18.00	8.29	0	0.017517	-0.011353	0.009908	0.089277	4843	1.30	0.000	0.000	0.025	0.029	0.028	0.023	0.716	0.000	0.031	0.000	0.148	0.148	0.000	0.000	0.000	0.058	0.114	0.550	0.246	0.391	0.034	0.011	0.063	0.000	0.099	0.000	0.017	0.000	0.012	0.012	0.076	0.012	0.083	0.046	0.000	0.056	0.000	0.037	0.021	0.063	0.013	0.000	0.000	0.000	0.029	0.000	21.690	4.022	0.215	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000001.spe	19.00	5.14	0	0.017522	-0.011353	0.009984	0.089277	7114	1.09	0.000	0.012	0.000	0.022	0.015	0.019	0.534	0.000	0.047	0.111	1.170	0.185	0.013	0.039	0.000	0.130	0.057	0.995	0.047	0.635	0.024	0.018	0.082	0.000	0.089	0.032	0.021	0.000	0.022	0.091	0.101	0.000	0.010	0.092	0.000	0.035	0.018	0.000	0.017	0.202	0.049	0.035	0.025	0.048	0.082	0.073	29.562	6.164	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000002.spe	20.00	5.14	0	0.017521	-0.011353	0.009966	0.089277	10009	1.17	0.000	0.021	0.000	0.015	0.024	0.000	0.430	0.000	0.343	0.958	5.523	0.287	0.043	0.102	0.000	0.086	0.183	1.672	0.106	0.875	0.025	0.000	0.087	0.000	0.041	0.009	0.022	0.012	0.000	0.216	0.159	0.000	0.097	0.110	0.000	0.255	0.000	0.035	0.059	0.410	0.343	0.000	0.000	0.000	0.000	0.000	38.447	7.046	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000003.spe	21.00	5.14	0	0.017519	-0.011353	0.010003	0.089277	9498	1.16	0.000	0.016	0.023	0.056	0.036	0.000	0.513	0.010	0.556	1.483	5.637	0.154	0.032	0.060	0.101	0.273	0.000	1.296	0.055	0.852	0.018	0.000	0.076	0.000	0.073	0.010	0.079	0.000	0.000	0.068	0.194	0.070	0.155	0.116	0.049	0.000	0.246	0.000	0.133	0.565	0.071	0.100	0.047	0.065	0.175	0.058	36.876	7.939	0.222	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000004.spe	22.00	5.14	0	0.017519	-0.011353	0.009957	0.089277	10626	1.17	0.000	0.000	0.000	0.000	0.019	0.033	0.470	0.000	0.424	0.744	3.852	0.227	0.065	0.025	0.035	0.164	0.000	1.277	0.135	0.892	0.031	0.000	0.050	0.000	0.059	0.019	0.071	0.029	0.000	0.068	0.228	0.039	0.169	0.072	0.125	0.034	0.137	0.000	0.128	0.460	0.174	0.279	0.035	0.022	0.000	0.072	42.463	8.498	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000005.spe	23.00	5.16	0	0.017521	-0.011353	0.009957	0.089277	17602	1.34	0.011	0.052	0.049	0.047	0.016	0.037	0.369	0.027	0.713	2.960	13.835	0.288	0.254	0.373	0.184	0.466	0.221	2.716	0.291	1.451	0.000	0.000	0.034	0.000	0.000	0.000	0.062	0.000	0.000	0.341	0.395	0.123	0.205	0.229	0.112	0.128	0.000	0.064	0.244	1.083	0.519	0.078	0.000	0.320	0.166	0.091	62.353	12.149	0.232	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000006.spe	24.00	5.16	1	0.017519	-0.011353	0.009952	0.089277	23041	1.74	0.000	0.074	0.000	0.045	0.019	0.047	0.215	0.018	1.393	8.499	31.155	0.628	0.249	0.434	0.192	0.885	0.075	3.033	0.019	1.612	0.033	0.000	0.045	0.024	0.000	0.000	0.152	0.000	0.000	0.326	0.736	0.000	0.315	0.370	0.000	0.172	0.261	0.087	0.341	2.254	0.561	0.215	0.034	0.094	0.243	0.225	76.174	14.908	0.245	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000007.spe	25.00	5.23	1	0.017519	-0.011353	0.009952	0.089277	26721	1.76	0.000	0.016	0.053	0.013	0.046	0.022	0.287	0.000	1.166	8.338	39.841	0.751	0.239	0.700	0.192	1.085	0.375	3.317	0.217	1.762	0.000	0.011	0.000	0.000	0.000	0.013	0.073	0.087	0.000	0.620	0.872	0.000	0.161	0.443	0.011	0.124	0.000	0.076	0.269	2.523	0.996	0.218	0.072	0.296	0.200	0.033	88.859	17.469	0.260	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000008.spe	26.00	5.28	1	0.017519	-0.011353	0.010408	0.089277	28108	1.63	0.000	0.000	0.046	0.027	0.096	0.000	0.337	0.086	1.990	9.500	43.824	0.595	0.352	0.733	0.090	1.014	0.124	3.234	0.121	2.331	0.000	0.000	0.032	0.000	0.000	0.000	0.240	0.110	0.000	0.832	0.343	0.000	0.030	0.215	0.136	0.119	0.439	0.000	0.409	2.525	0.624	0.455	0.045	0.436	0.022	0.346	89.672	17.783	0.262	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000009.spe	27.00	5.30	1	0.017518	-0.011353	0.010401	0.089277	28100	1.71	0.000	0.055	0.022	0.054	0.054	0.013	0.150	0.213	1.763	8.513	40.686	0.594	0.448	0.463	0.257	1.290	0.122	3.713	0.338	2.208	0.000	0.000	0.029	0.122	0.000	0.000	0.099	0.000	0.000	0.657	0.540	0.000	0.176	0.342	0.128	0.275	0.286	0.058	0.224	2.253	0.719	0.412	0.116	0.574	0.136	0.371	93.456	18.611	0.267	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000010.spe	28.00	5.33	1	0.017519	-0.011353	0.010401	0.089277	27267	1.84	0.015	0.073	0.072	0.000	0.053	0.000	0.487	0.126	1.991	8.584	40.516	0.758	0.110	0.522	0.315	0.892	0.538	3.641	0.294	2.428	0.000	0.024	0.000	0.000	0.046	0.000	0.128	0.077	0.000	0.424	0.819	0.000	0.000	0.239	0.179	0.225	0.000	0.000	0.264	2.337	0.828	0.216	0.024	0.323	0.316	0.000	88.623	18.371	0.264	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000011.spe	29.00	5.36	1	0.017519	-0.011353	0.010844	0.089277	28148	1.71	0.000	0.000	0.065	0.000	0.118	0.000	0.213	0.144	2.027	9.831	47.957	0.487	0.129	0.857	0.158	0.977	0.724	3.867	0.000	2.850	0.033	0.033	0.057	0.059	0.025	0.000	0.222	0.096	0.000	0.034	0.931	0.000	0.079	0.038	0.000	0.469	0.000	0.000	0.207	2.863	0.353	0.213	0.000	0.036	0.253	0.160	89.498	19.393	0.266	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000012.spe	30.00	5.37	1	0.017518	-0.011353	0.010941	0.089277	28292	1.77	0.000	0.033	0.015	0.034	0.064	0.000	0.472	0.095	2.304	10.269	49.495	0.821	0.156	0.564	0.000	0.759	0.531	4.366	0.551	2.694	0.000	0.000	0.000	0.000	0.084	0.000	0.102	0.082	0.000	0.283	0.813	0.000	0.104	0.259	0.000	0.000	0.000	0.000	0.275	3.140	0.718	0.257	0.037	0.268	0.185	0.000	91.868	19.651	0.266	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000013.spe	31.00	5.38	1	0.017516	-0.011353	0.010979	0.089277	28461	1.59	0.000	0.043	0.029	0.057	0.053	0.000	0.370	0.028	2.108	8.818	45.275	0.719	0.271	0.665	0.060	1.104	0.265	4.337	0.218	2.753	0.011	0.033	0.077	0.000	0.066	0.012	0.133	0.000	0.000	0.060	1.281	0.000	0.217	0.344	0.000	0.350	0.043	0.000	0.339	3.054	0.770	0.672	0.000	0.035	0.354	0.218	93.489	19.859	0.268	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000014.spe	32.00	5.40	1	0.017516	-0.011353	0.011278	0.089277	29492	1.54	0.000	0.099	0.052	0.054	0.060	0.000	0.152	0.210	2.136	10.149	52.845	0.582	0.260	0.653	0.000	1.296	0.000	4.298	0.376	3.232	0.000	0.000	0.012	0.173	0.000	0.000	0.178	0.000	0.000	0.239	1.081	0.163	0.436	0.319	0.000	0.206	0.021	0.124	0.361	2.988	0.633	0.527	0.000	0.126	0.251	0.147	93.576	20.067	0.272	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000015.spe	33.00	5.40	1	0.017514	-0.011353	0.011302	0.089277	30677	1.92	0.000	0.021	0.058	0.039	0.060	0.000	0.158	0.201	2.709	14.957	54.554	0.798	0.118	0.985	0.000	1.600	0.561	4.512	0.502	3.657	0.000	0.000	0.045	0.108	0.000	0.000	0.243	0.035	0.000	0.092	1.076	0.000	0.406	0.520	0.000	0.640	0.000	0.072	0.309	3.055	0.735	0.359	0.299	0.631	0.185	0.199	94.336	20.490	0.270	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000016.spe	34.00	5.42	1	0.017520	-0.011353	0.011491	0.089277	29599	1.55	0.000	0.052	0.016	0.032	0.082	0.011	0.206	0.220	2.962	14.832	50.999	0.436	0.352	0.805	0.000	1.001	0.314	4.232	0.240	3.336	0.000	0.000	0.042	0.062	0.000	0.000	0.232	0.000	0.000	0.154	0.897	0.000	0.095	0.136	0.000	0.149	0.000	0.170	0.161	2.528	0.529	0.205	0.000	0.376	0.125	0.206	88.318	19.567	0.264	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000017.spe	35.00	5.41	1	0.017519	-0.011353	0.011478	0.089277	30323	1.59	0.000	0.000	0.000	0.000	0.092	0.000	0.168	0.114	2.606	12.414	52.676	0.571	0.411	0.495	0.260	1.252	0.000	4.322	0.310	3.893	0.024	0.011	0.072	0.065	0.000	0.000	0.164	0.087	0.000	0.407	0.783	0.089	0.315	0.257	0.220	0.264	0.555	0.000	0.454	2.678	0.607	0.358	0.051	0.415	0.311	0.250	92.741	20.213	0.269	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000018.spe	36.00	5.43	1	0.017520	-0.011353	0.011467	0.089277	30181	1.66	0.000	0.097	0.060	0.042	0.034	0.035	0.319	0.058	2.318	11.142	51.989	0.712	0.417	0.797	0.267	1.071	0.216	3.393	0.037	3.154	0.000	0.000	0.035	0.000	0.027	0.022	0.151	0.053	0.000	0.078	1.084	0.061	0.507	0.429	0.000	0.405	0.000	0.127	0.371	2.455	0.670	0.342	0.000	0.391	0.706	0.429	95.404	20.485	0.269	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000019.spe	37.00	5.43	1	0.017522	-0.011353	0.011452	0.089277	29500	1.61	0.000	0.026	0.051	0.015	0.110	0.000	0.405	0.130	1.944	9.278	50.210	0.812	0.160	0.562	0.243	1.396	0.169	3.789	0.661	3.161	0.000	0.000	0.014	0.000	0.032	0.000	0.100	0.000	0.000	0.153	1.198	0.000	0.457	0.472	0.021	0.209	0.000	0.013	0.372	2.756	0.722	0.105	0.080	0.394	0.297	0.346	92.857	19.621	0.266	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000020.spe	38.00	5.45	1	0.017521	-0.011353	0.011564	0.089277	29939	1.64	0.000	0.032	0.051	0.000	0.038	0.036	0.294	0.298	2.653	11.289	58.883	0.770	0.186	0.579	0.000	1.203	0.064	4.103	0.307	3.320	0.000	0.000	0.022	0.051	0.000	0.000	0.224	0.155	0.000	0.197	0.883	0.000	0.121	0.191	0.039	0.482	0.000	0.000	0.365	2.898	0.463	0.534	0.136	0.183	0.238	0.135	91.833	20.134	0.267	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000021.spe	39.00	5.46	1	0.017518	-0.011353	0.011546	0.089277	30016	1.52	0.022	0.106	0.101	0.051	0.140	0.081	0.338	0.200	3.323	12.914	65.558	0.650	0.212	0.636	0.158	1.059	0.000	4.508	0.198	3.357	0.000	0.000	0.032	0.091	0.000	0.000	0.187	0.000	0.000	0.000	1.199	0.000	0.203	0.240	0.000	0.614	0.291	0.047	0.388	3.257	0.648	0.602	0.233	0.000	0.468	0.253	89.977	19.883	0.267	
