"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.143224007928989,0.0250797494449321,13959.03161,176.5369365,13759.0520153045,-21033.5953868344,48551.6994174434
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.112262933580288,0.0146082797390089,9355.988249,27.23893955,12937.7894440822,-21857.5644600642,47733.1433482285
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.027866194043187,0.00482223307186242,3942.206507,48.5012016,10699.1112078428,-24105.3538240407,45503.5762397264
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0367120829530544,0.00347254981734576,4568.280308,27.82191253,10933.754146555,-23869.6369628409,45737.1452559509
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.207073049052006,0.0224597692355202,18556.10587,33.23324312,15452.6892286712,-19335.4550645557,50240.833521898
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.260874255511813,0.0213628112335968,34440.81517,173.6494448,16879.8011129169,-17905.6765849085,51665.2788107423
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.158431904362763,0.0280132085724999,25853.87296,38.38777974,14162.4513285008,-20628.99171564,48953.8943726416
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0234294688928508,0.00408125436497116,26327.35852,199.5705658,10581.4241966063,-24223.5899559244,45386.4383491369
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0187467853549968,0.0018317160303132,20544.92897,1107.050592,10457.2129796696,-24348.3883333108,45262.81429265
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0654340247240989,0.0082405940373459,2355.109726,9.689444316,11695.6222743765,-23104.4739199864,46495.7184687395
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0479451649732148,0.00829791341692664,6242.966621,15.13819392,11231.7189302937,-23570.3485809447,46033.7864415321
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0484892211763393,0.00553297101087372,3694.801697,28.74082309,11246.1503738294,-23555.8541713975,46048.1549190563
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0407344743540223,0.0069105661856116,6284.597012,38.94604963,11040.4506864495,-23762.4613013515,45843.3626742504
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.027342055328303,0.00258579398420262,3753.765384,11.81590071,10685.2080885966,-24119.3214495195,45489.7376267126
