"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,0.00023594538466685,0.00110535866171565,0.00041653041441507,0.00044004448021209,0.143224007928989,0.0017958156076962,0.00450893053277884,0.00229252596836742,0.00024401963353151,0.00067837812382589,0.00078855167872104,0.0207235344220733,0.146376584805626,0.146376584727273,0.00024817350123192,0.00043457682270521,0.00045840985313136,0.00029251173761998,0.0250797494449321,0.00148537201647492,0.00057683499573627,0.00117329511992161,0.00045116253432748,0.00098384214631748,0.00121440553124714,0.0031436758451738,0.00388698441670387,0.00388698448403857,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,0.00023606376341589,0.00095256488493045,0.00030033138284418,0.0007889819860147,0.112262933580288,0.00180656912858322,0.0052802979488925,0.00219736046546878,0.00004362050163576,0.00125478721247432,0.00010219452499716,0.0198667950647667,0.145989151530002,0.145989151583333,0.00018904686269951,0.00026751862317572,0.00027470288969218,0.00041948737222195,0.0146082797390089,0.0009164712553725,0.00077036411883903,0.00107569167352401,0.000006878167364215,0.00157406592915168,0.00014002027351542,0.00251798842335565,0.00361351535070225,0.00361351532498803,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,0.00024253764714235,0.00134011621405697,0.00030030613478015,0.00032007473886846,0.027866194043187,0.00080282918698467,0.00455771913945018,0.00169041984828573,0.00014128058408004,0.00067863095394623,0.00028110458139735,0.0218738747633854,0.143955505051114,0.143955505083333,0.00019265105664075,0.00035908885288464,0.00017708828837934,0.00027116306283344,0.00482223307186242,0.00079015914802645,0.000553072701599,0.00126260876109787,0.00029561425733865,0.00102676396023656,0.00054482359629033,0.00279817612946009,0.00301099952131642,0.00301099939000146,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,0.00028135198395983,0.00306932834846386,0.00077995570707258,0.00069769077008949,0.0367120829530544,0.00122733108785056,0.00498750715164763,0.0021387287078224,0.00224088177878004,0.00180790020741154,0.00607563015240897,0.0205823929338991,0.148022999208843,0.148022999166667,0.00021898165886552,0.00053467863323521,0.00032750172106656,0.00020679486872906,0.00347254981734576,0.00081534826727306,0.00045375518489297,0.00113880418059022,0.00150243372306399,0.00189982572892467,0.00144861792285657,0.00205139120448903,0.00320273437829333,0.00320273418525427,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,0.00068103188149218,0.00565597208931385,0.00195539237477893,0.00114142606842347,0.207073049052006,0.00375654206877946,0.0055429821731947,0.0035626072518333,0.00192206755237007,0.00121410997786556,0.00910065661283586,0.0205606998233317,0.160262791645752,0.1602627916,0.00058632330988239,0.00078855174274732,0.0007082663310902,0.00044697701469753,0.0224597692355202,0.00143005122708389,0.00110850588104214,0.00131684425317882,0.00068825437485045,0.00094191729062857,0.00287301850356145,0.00254864061161851,0.00242683017014434,0.00242683010150897,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,0.00028031161422581,0.0042312418661029,0.00081673095153514,0.00089763485981989,0.260874255511813,0.00635096122658507,0.00560108761163499,0.00350416954692752,0.0004543934025156,0.00016009805262178,0.00365702627736381,0.0204096454950824,0.154934023509529,0.154934023454545,0.00020114828208427,0.00062832502099639,0.00032789001516759,0.00042724057728966,0.0213628112335968,0.00148931843424536,0.00102107837763092,0.00121968241481239,0.00046273970855714,0.00024504476163347,0.00244098234533608,0.00217980674334461,0.00334895064341693,0.00334895066566226,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,0.00034782295449194,0.00580533454358538,0.00091998934506041,0.00075111073628034,0.158431904362763,0.00445073599960169,0.00513846187609305,0.00332763059532878,0.0062215480519825,0.00112457749745338,0.00864283094916737,0.0202851105438363,0.156005654274823,0.1560056543,0.00017397576328753,0.00065012494776174,0.00033533871981271,0.00036208413351678,0.0280132085724999,0.00173262137658507,0.00087782711037007,0.00068777027520653,0.00120715081507262,0.00119524499324467,0.00189286225187321,0.00278938306944397,0.00207374812168867,0.00207374814577925,66668.75515,10818.31417,3006.601666,498.7089785,25853.87296,6.375776882,9.325702706,12.41602198,63.36397587,138.1998527,165.8736664,60.55383697,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,0.00023478400268371,0.00445213008691055,0.00031948411466599,0.00077325563572897,0.0234294688928508,0.0013626356277762,0.00520192819177737,0.00276245389657951,0.00011133573549777,0.00071068974479859,0.00666861313434669,0.020488227966732,0.148821987606856,0.148821987636364,0.00017451398321709,0.00034665746965793,0.00029810848917945,0.00036586133345268,0.00408125436497116,0.00076663242340733,0.00068536987485255,0.00080323321523016,0.00022458602331145,0.00133504573187963,0.0022233365336204,0.00209743619031123,0.00355121704157873,0.00355121707675302,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,0.00014861022333656,0.00386383929928701,0.00020734774597755,0.00072917980435657,0.0187467853549968,0.000777527720442,0.00535975865958691,0.00286137141101953,0.00031482941527166,0.00064041183072641,0.00313659776892014,0.0203663131234172,0.147191485797968,0.147191485818182,0.00016005206239594,0.00036955030931482,0.00018731283635767,0.00034409958517801,0.0018317160303132,0.00075188145558966,0.00069913629304489,0.00120958476195412,0.00047245232307339,0.00079179274702171,0.00211668290739313,0.00139385024106858,0.00357246421421571,0.00357246424196973,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,0.00066798055637961,0.00686036694843217,0.00167222491946768,0.00133688695807181,0.0654340247240989,0.00184351304018888,0.00495008360595763,0.00330982116677418,0.0125335571880242,0.00349137664482692,0.0146458337441863,0.0216814847324344,0.158576433816762,0.158576433909091,0.00053966594535417,0.00134488837236492,0.00121836830504181,0.00086180447888385,0.0082405940373459,0.00044324819944041,0.00063291643461578,0.00153719887543428,0.00217606390566168,0.00292057572691324,0.0046217152022715,0.00262976996605996,0.00478949803270161,0.00478949806078012,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
