"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Location*",1,274,2.34671532846715,0.983493891025051,2,2.30909090909091,1.4826,1,4,3,-0.0195015437165497,-1.12121709029443,0.0594150388223495,1,3
"Site*",2,274,2.64598540145985,1.34063101421294,2,2.55909090909091,1.4826,1,5,4,0.306359233353162,-1.13561213439011,0.0809904814689679,1,4
"Section*",3,274,20.4197080291971,10.4061713122379,21,20.6772727272727,11.8608,1,37,36,-0.166226580168466,-1.0246462944214,0.628659799670157,13,29
"sample",4,274,154.021897810219,131.513113994115,120.5,136.704545454546,111.9363,1,529,528,1.02500511657579,0.222421730359234,7.94499777264949,50.25,212.5
"min_depth",5,274,166.277372262774,129.796788478363,139.05,152.617272727273,126.61404,0,503.9,503.9,0.805462158907555,-0.301679123273921,7.84131075630826,58.55,237.3
"max_depth",6,274,167.436496350365,129.765178381106,140.2,153.773636363636,126.68817,1.1,505.1,504,0.80570796050956,-0.302175022323679,7.83940112049575,59.775,238.55
"midpoint",7,274,166.857299270073,129.777743092578,139.6,153.195454545455,126.61404,0.6,504.5,503.9,0.805633956974691,-0.301805669555713,7.84016018247541,59.15,237.9
"SH20_age",8,274,3677.38358066514,2714.08949136984,3191.685,3461.12567135301,2972.3350125,-55.4909090909091,10924.02,10979.5109090909,0.601355335694682,-0.540852689242648,163.964142501179,1404.26923076923,5479.30894230769
"kcps",9,274,20883.9085905611,2461.75386551866,21505.9230769231,21100.9556256963,2365.89264545458,13682.1,25273.7692307692,11591.6692307692,-0.722934074905457,-0.407136777752714,148.719989850079,19054.4278846154,22851.5242424242
"cps",10,274,56782.0993932193,7165.57799977035,55431.625,56130.550002223,5085.66217499994,38366.3,90008.25,51641.95,1.06327986947398,2.02100262915152,432.888398114193,52466.5769230769,59817.8541666666
"MSE",11,274,1.34643492692665,0.0510481652338035,1.34145454545455,1.34362646259483,0.0492472027971979,1.24090909090909,1.515,0.27409090909091,0.551704493003698,0.0250818404453272,0.00308393244417101,1.30942307692308,1.37829545429545
"K",12,274,0.00164075641192884,0.00290865731708715,0.00079345081193631,0.00108721810495958,0.000792272159662519,0.00007359095428634,0.0317162968744858,0.0316427059201995,6.24804954286098,52.3747628968367,0.000175718414717882,0.000324904217148617,0.00191145899660204
"Ca",13,274,0.01492392316644,0.0268112718411618,0.00714318514096634,0.00864684231367309,0.00455958820666605,0.00095256488493045,0.238335236,0.23738267111507,4.61945433518904,25.7175963152757,0.00161972816695271,0.00461657718152557,0.0118427002572306
"Ti",14,274,0.0187123709326276,0.051668909691905,0.002424527316784,0.00441085420554417,0.00215153033079341,0.00020734774597755,0.297498019,0.297290671254022,3.62510754352275,12.5177409509528,0.00312143298831615,0.00129822053586303,0.00560261474948992
"Mn",15,274,0.00303073749729738,0.00423033900530637,0.00137065747193603,0.00207083204667676,0.000911713958891684,0.0003190986326583,0.035347571,0.0350284723673417,3.56932952156218,16.9206770477754,0.000255564125538198,0.00089907581474719,0.00339188229882732
"Fe",16,274,0.397948214554127,0.589514060132532,0.152157791394343,0.261951733780373,0.164526040818979,0.0137872564168588,4.04110672,4.02731946358314,2.81730839573952,9.61438547815892,0.0356138468054837,0.061407261786834,0.485924356514725
"Co",17,274,0.00411507563457584,0.00363510903666503,0.00253664351812794,0.00340122740840978,0.00185213670325976,0.00068106565579697,0.017114944,0.016433878344203,1.64496230313432,2.06556105003924,0.000219604968071352,0.001671407512988,0.00544522907813946
"Ni",18,274,0.00587550401795784,0.00121808636299464,0.00551876377103187,0.00564200602978769,0.000564264154053643,0.00450893053277884,0.013956505,0.00944757446722116,2.94129416686478,11.7532486870326,0.0000735872883469261,0.00519770306633924,0.00601574734074352
"Cu",19,274,0.0037749287787625,0.00171686504383574,0.00330820330758767,0.00353548447530282,0.00116162223031277,0.00169041984828573,0.0167657545377973,0.0150753346895116,2.7152675541077,13.59399551952,0.000103719610424745,0.00266800246329372,0.0044610183049421
"Zn",20,274,0.00141908379194802,0.00296258026800764,0.000222708349386555,0.000617891968075463,0.000262544365677051,0.00004362050163576,0.0170641200582839,0.0170204995566481,3.19202749012581,10.7053341671208,0.000178976019316746,0.000065920640293965,0.00111303349862841
"Rb",21,274,0.00229141011284631,0.0026099148381539,0.00138414151610546,0.00182818043614701,0.00114362478764459,0.00010824666440101,0.0231348968352454,0.0230266501708444,3.9918670403166,23.5722075207302,0.000157670721543902,0.000830007718845595,0.00304387326468267
"Sr",22,274,0.0222900908870585,0.0311195832246135,0.0108203946598939,0.0149147217409754,0.01058253393198,0.00010219452499716,0.170626368,0.170524173475003,2.79570538164412,8.01069900370321,0.00188000277612162,0.0053400635200519,0.0242197670284783
"Zr",23,274,0.0255559351986766,0.00901568444286571,0.0225758887766049,0.0234966290090936,0.00228774199465952,0.0170412488524218,0.071098164,0.0540569151475782,2.77810033631945,8.35530905792169,0.000544657415842834,0.0212238982073696,0.0247166902227548
"Mo_coh",24,274,0.168228686506331,0.0268962560059772,0.159609503145242,0.162813676290919,0.0158718518744088,0.143955505051114,0.294419522,0.150464016948886,1.97258713334085,3.96975947652221,0.00162486224810753,0.149391877213327,0.175126573008604
"coh_inc",25,274,0.168228686511116,0.0268962559913942,0.159609503195804,0.162813676294049,0.0158718519855,0.143955505083333,0.294419522,0.150464016916667,1.97258713209435,3.96975946556602,0.00162486224722654,0.149391877286364,0.175126573014881
