Element,R2,RMSE,Type,CV,adjCV,CI_lower,CI_upper,label_R2,label_RMSE,label_RMSEP_CV,label_RMSEP_adjCV
Ti,0.758,0.606,Ti_ICP,0.616,0.615,-0.939,1.018,R^2:0.76,RMSE: 0.606,RMSEP_CV[4]:0.616,RMSEP_adjCV[4]:0.615
Ca,0.637,0.429,Ca_ICP,0.436,0.435,-0.684,0.634,R^2:0.64,RMSE: 0.429,RMSEP_CV[4]:0.436,RMSEP_adjCV[4]:0.435
Sr,0.635,0.374,Sr_ICP,0.379,0.379,-0.615,0.488,R^2:0.64,RMSE: 0.374,RMSEP_CV[4]:0.379,RMSEP_adjCV[4]:0.379
Zr,0.722,0.693,Zr_ICP,0.705,0.704,-1.024,1.109,R^2:0.72,RMSE: 0.693,RMSEP_CV[4]:0.705,RMSEP_adjCV[4]:0.704
