"Site","depth","SH20_age","Ti","Ca","Sr","Ti_pred_cps","Ti_ppm_PLS_cps","Ti_upper_PLS_cps","Ti_lower_PLS_cps"
"HER42PB",1.1,-51.51,75,329,450,1470.04369555545,1470.04369555545,3283.97216860271,-343.884777491804
"HER42PB",1.2,-50.47,110,410,680,2083.73327473926,2083.73327473926,3897.66174778652,269.804801692005
"HER42PB",1.3,-49.42,122,369,592,1999.11685459063,1999.11685459063,3813.04532763788,185.188381543369
"HER42PB",1.4,-48.38,84,436,668,1870.30971632017,1870.30971632017,3684.23818936743,56.3812432729151
"HER42PB",1.5,-47.34,102,350,855,2596.95050492611,2596.95050492611,4410.87897797337,783.022031878858
"HER42PB",1.6,-46.29,100,367,954,2805.81375390182,2805.81375390182,4619.74222694907,991.885280854561
"HER42PB",1.7,-45.25,96,330,827,2532.04691552178,2532.04691552178,4345.97538856904,718.118442474526
"HER42PB",1.8,-44.2,136,418,900,2760.94798991322,2760.94798991322,4574.87646296048,947.019516865965
"HER42PB",1.9,-43.16,76,511,787,1991.07550882136,1991.07550882136,3805.00398186862,177.147035774103
"HER42PB",2,-42.11,298,262,460,2775.59544323484,2775.59544323484,4589.5239162821,961.666970187588
"HER42PB",2.1,-41.07,88,292,596,1975.95184510582,1975.95184510582,3789.88031815307,162.02337205856
"HER42PB",2.3,-38.98,75,356,698,2048.15613571318,2048.15613571318,3862.08460876044,234.227662665922
"HER42PB",2.4,-37.94,105,400,798,2375.29611704816,2375.29611704816,4189.22459009541,561.3676440009
"HER42PB",2.5,-36.89,309,414,751,3287.61974061392,3287.61974061392,5101.54821366118,1473.69126756666
"HER42PB",2.6,-35.85,156,446,772,2488.38873867364,2488.38873867364,4302.31721172089,674.460265626379
"HER42PB",2.7,-34.8,182,436,729,2532.78698240681,2532.78698240681,4346.71545545406,718.85850935955
"HER42PB",2.8,-33.76,97,451,577,1679.32730267746,1679.32730267746,3493.25577572472,-134.601170369795
"HER42PB",2.9,-32.72,92,389,494,1558.24369147284,1558.24369147284,3372.1721645201,-255.684781574416
"HER42PB",3,-31.67,101,443,725,2089.82206253639,2089.82206253639,3903.75053558365,275.893589489134
"HER42PB",3.1,-30.63,100,514,681,1841.38526927435,1841.38526927435,3655.31374232161,27.4567962270971
