"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","Ti_fit_OLS","Ti_lwr_OLS","Ti_upr_OLS","Ti_fit_WLS","Ti_lwr_WLS","Ti_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.824881376,9.173926142,4.904951743,0.686693244,5.71070865031161,4.4391565605926,6.98226074003063,5.77604174925843,4.10442110671373,7.44766239180314
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-8.167386997,8.162940115,4.379359838,0.613110377,5.46889932738983,4.19562928929696,6.74216936548271,5.54287836289014,3.80232675474154,7.28342997103874
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.121927888,5.059594253,5.83054549,0.816276369,5.50099350539434,4.22796560342201,6.77402140736667,5.57382500769199,3.84242334756095,7.30522666782304
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.153374378,3.079687286,6.976038906,0.976645447,6.18479328591419,4.91589477129322,7.45369180053516,6.2331754020334,4.69663778539779,7.76971301866901
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.238249402,2.268155837,7.582225674,1.061511594,6.83087246613112,5.56405798867021,8.09768694359203,6.85615390303255,5.50353878832914,8.20876901773596
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.114653298,2.780873372,7.338388565,1.027374399,6.21213040847078,4.94335594772916,7.4809048692124,6.25953508077466,4.73078394105386,7.78828622049547
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,-6.739180111,2.93846992,5.707166979,0.799003377,6.47721486711023,5.2094791035265,7.74495063069396,6.51514139612741,5.06187641429861,7.96840637795621
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,-7.268801195,4.362281868,7.551719286,1.0572407,6.1033018336446,4.83401475053957,7.37258891674963,6.15459769153961,4.59484678410965,7.71434859896957
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,-7.858562551,4.954240169,5.418983672,0.758657714,5.68692970590136,4.41521956595364,6.95863984584907,5.75311302535331,4.07471473281478,7.43151131789183
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,-6.618698154,5.767456933,7.273786889,1.018330164,6.56227525345193,5.29480961154965,7.8297408953542,6.59716043280302,5.1681099225572,8.02621094304883
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,-6.985331533,3.337843254,6.135380783,0.85895331,6.30343170840974,5.03504862951257,7.57181478730692,6.34757188604077,4.84482377354473,7.85031999853682
"Bird Island","BI10","BI10.3",84,80,81,80.5,-6.562776797,3.731806272,7.694996571,1.07729952,6.60175578937293,5.33440508305512,7.86910649569074,6.63522933494355,5.21741655854754,8.05304211133956
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.448044871,5.668755323,6.354009221,0.889561291,5.97675561287011,4.70680947362374,7.24670175211647,6.03257615402662,4.43677231507354,7.6283799929797
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.938596762,4.257568804,6.406919338,0.896968707,7.04242754011376,5.77590991892726,8.30894516130026,7.06014478666421,5.76769971111654,8.35258986221188
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.115450024,1.866598436,6.332786952,0.886590173,6.91756895409736,5.65089916213527,8.18423874605945,6.93975054221997,5.61179720943828,8.26770387500166
