Location,Site,Section,Sample_ID,Core_section,Sample,Radius_1_cm,Radius_2_cm,Thickness_cm,section_cut_loss,section_depth_top,section_depth_bottom,section_depth_mid,field_depth_top,field_depth_bottom,field_depth_mid,strat_depth_top,strat_depth_bottom,strat_depth_mid,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,Bag_mass,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Water_Content_pc,Dry_mass,Dry_mass_err,Ash_Mass,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr,DMAR_err_pc
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_1,A,1,2.1,1.5,1,0.20778,0,1,0.5,0,1,0.5,0,1.0,0.5,0.5,0.5,-67,-61,-65,-65,3,0.39341,NA,1.147626667,4.1761,1.8575,2.3186,0.7099,76.56,0.140319386,1.17,0.2489,-0.534094072,1.91,-0.541013406,1.92,2.5434,0.117,0.9116,-0.236510377,0.0268,0.1098,NA,NA
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_2,A,2,2.2,2.5,1.1,0.20778,1.2,2.3,1.8,1.2,2.3,1.8,1.2,2.3,1.8,1.8,0.6,-66,-53,-62,-62,7,0.4077,0.14201,1.147626667,6.6902,2.3847,4.3055,1.2371,77.68,0.007378676,1.12,0.3944,-0.695948855,1.77,-0.695511038,1.77,4.7687,0.3195,0.9029,-0.370511886,0.0304,0.1058,0.0492,46.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_3,A,3,2.4,2.3,1.2,0.20778,2.5,3.7,3.1,2.5,3.7,3.1,2.5,3.7,3.1,3.1,0.6,-65,-42,-60,-58,12,0.4116,0.01546,1.147626667,7.2317,2.3962,4.8355,1.2486,79.48,-0.206276036,1.03,0.2571,-0.336392257,2.1,-0.335952913,2.1,5.0921,0.3895,0.9496,-0.467101806,0.031,0.1009,0.0166,16.4
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_4,A,4,2.5,2.6,1.2,0.20778,3.9,5.1,4.5,3.9,5.1,4.5,3.9,5.1,4.5,4.5,0.6,-65,-30,-57,-55,17,0.4092,-0.06608,1.147626667,7.6345,2.6223,5.0122,1.4747,77.27,0.056044472,1.14,0.417,-0.580803842,1.87,-0.581276425,1.87,5.8875,0.5299,0.8513,-0.431050639,0.0351,0.1025,-0.0022,-2.1
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_5,A,5,2.7,2.3,1.2,0.20778,5.3,6.5,5.9,5.3,6.5,5.9,5.3,6.5,5.9,5.9,0.6,-64,-19,-55,-51,23,0.4081,-0.1335,1.147626667,8.4731,3.2295,5.2436,2.0819,71.58,0.731430757,1.42,0.74,-1.368895419,1.15,-1.368746173,1.15,5.7703,0.5741,0.9087,0.319221769,0.0539,0.1472,-0.0262,-17.8
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_6,A,6,2.1,2.7,1.2,0.20778,6.7,7.9,7.3,6.7,7.9,7.3,6.7,7.9,7.3,7.3,0.6,-64,-8,-52,-48,28,0.4103,-0.20377,1.147626667,7.9727,3.2161,4.7566,2.0685,69.69,0.955768206,1.52,0.9437,-1.057678001,1.43,-1.057878211,1.43,5.4259,0.586,0.8766,0.457984752,0.0602,0.1564,-0.053,-33.9
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_7,A,7,2.2,2.6,1.2,0.20778,8.1,9.3,8.7,8.1,9.3,8.7,8.1,9.3,8.7,8.7,0.6,-64,3,-50,-44,33,0.3223,-0.21976,1.147626667,8.6255,6.4113,2.2142,5.2637,29.61,5.713146469,3.52,1.0035,-1.361291503,1.15,-1.361255379,1.16,5.1998,0.6136,0.4258,4.750794508,0.1701,0.3263,-0.1676,-51.4
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_8,A,8,2.8,2.1,1.2,0.20778,9.5,10.7,10.1,9.5,10.7,10.1,9.5,10.7,10.1,10.1,0.6,-62,15,-46,-40,39,0.0853,-0.07685,1.147626667,7.7589,3.2228,4.5361,2.0752,68.61,1.083961033,1.57,0.8284,-0.927325155,1.55,-0.92772566,1.55,5.6544,0.7294,0.8022,0.361394832,0.0657,0.0313,-0.0226,-72.2
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_9,A,9,2.8,2.2,1.2,0.20778,10.9,12.1,11.5,10.9,12.1,11.5,10.9,12.1,11.5,11.5,0.6,-56,33,-29,-24,45,0.0853,-0.15703,1.147626667,8.0985,2.8334,5.2651,1.6858,75.75,0.236464007,1.21,0.661,-0.850199722,1.62,-0.85000867,1.63,5.7703,0.805,0.9124,-0.148082985,0.0554,0.0249,-0.0412,-165.1
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_10,A,10,2.7,2.3,1.1,0.20778,12.3,13.4,12.9,12.3,13.4,12.9,12.3,13.4,12.9,12.9,0.6,-53,66,-14,-8,60,0.0853,-0.65065,1.147626667,8.2046,3.1004,5.1042,1.9528,72.33,0.642407961,1.38,0.3536,-0.547129357,1.9,-0.546631502,1.9,5.3969,0.8095,0.9458,0.326023876,0.0724,0.0309,-0.2293,-742.8
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_11,A,11,2.7,2.2,1.1,0.20778,13.6,14.7,14.2,13.6,14.7,14.2,13.6,14.7,14.2,14.2,0.6,-50,107,0,8,78,0.0853,0.88905,1.147626667,7.7239,3.2141,4.5098,2.0665,68.58,1.087521945,1.57,0.864,-1.354773861,1.16,-1.354700934,1.16,5.1832,0.8241,0.8701,0.577021626,0.0833,0.034,0.3616,1063.2
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_12,A,12,2.5,2.1,1.2,0.20778,14.9,16.1,15.5,14.9,16.1,15.5,14.9,16.1,15.5,15.5,0.6,-48,149,14,23,99,0.0859,0.36456,1.147626667,8.1105,3.1547,4.9558,2.0071,71.17,0.780096553,1.44,0.5594,-1.042470169,1.45,-1.042896622,1.45,4.9832,0.8272,0.9945,0.604910264,0.087,0.0346,0.1543,446
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_13,A,13,2.5,2.2,1.2,0.20778,16.3,17.5,16.9,16.3,17.5,16.9,16.3,17.5,16.9,16.9,0.6,-46,192,27,40,119,0.0853,0.25802,1.147626667,7.5396,2.9431,4.5965,1.7955,71.91,0.692260727,1.4,0.6187,-1.003364315,1.48,-1.003569952,1.48,5.2022,0.9208,0.8836,0.212428688,0.0783,0.0294,0.0957,325.2
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_14,A,14,2.6,2.2,1.2,0.20778,17.8,19,18.4,17.8,19,18.4,17.8,19.0,18.4,18.4,0.6,-44,240,41,56,142,0.0856,0.21815,1.147626667,7.9927,2.8803,5.1124,1.7327,74.69,0.362282893,1.27,0.4564,-0.88170166,1.59,-0.881844546,1.6,5.3135,0.9963,0.9622,0.083188654,0.0774,0.0279,0.0778,278.6
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_15,A,15,2.5,2.1,1.2,0.20778,19.2,20.3,19.7,19.2,20.3,19.7,19.2,20.3,19.8,19.8,0.6,-42,286,55,73,164,0.0869,0.19915,1.147626667,7.6837,3.0596,4.6241,1.912,70.75,0.829949319,1.46,0.7394,-1.18042693,1.32,-1.180539967,1.32,4.6723,0.9134,0.9897,0.64844375,0.1005,0.0356,0.0902,253.7
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_16,A,16,2.1,2.2,1.1,0.20778,20.5,21.6,21.1,20.5,21.6,21.1,20.5,21.6,21.1,21.1,0.6,-29,300,70,88,164,0.0885,0.16786,1.147626667,8.4329,3.5419,4.891,2.3943,67.14,1.258445715,1.64,0.7212,-1.262440595,1.24,-1.262938704,1.25,3.9701,0.804,1.2319,1.967372306,0.1523,0.0534,0.1147,214.9
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_17,A,17,2.5,2.1,1.2,0.20778,21.8,23,22.4,21.8,23,22.4,21.8,23.0,22.4,22.4,0.6,-18,311,87,103,165,0.0878,0.14204,1.147626667,8.4495,3.5275,4.922,2.3799,67.41,1.226397508,1.63,0.5265,-1.065281917,1.43,-1.065369005,1.43,4.9832,1.0764,0.9877,1.113707871,0.127,0.0419,0.079,188.4
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_18,A,18,2.4,2.2,1.2,0.20778,23.3,24.5,23.9,23.3,24.5,23.9,23.3,24.5,23.9,23.9,0.6,-10,323,105,119,167,0.0878,0.12481,1.147626667,8.3395,3.5202,4.8193,2.3726,67.01,1.273876333,1.65,0.559,-1.109276002,1.38,-1.109377422,1.39,4.8754,1.0994,0.9885,1.174926835,0.1341,0.0427,0.0725,169.7
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_19,A,19,2.5,2.1,1.2,0.20778,24.7,25.9,25.3,24.7,25.9,25.3,24.7,25.9,25.3,25.3,0.6,-3,339,125,136,171,0.0881,0.11307,1.147626667,8.0766,3.242,4.8346,2.0944,69.77,0.946272441,1.51,0.5293,-1.107646591,1.39,-1.107504723,1.39,4.7689,1.1207,1.0138,0.852506961,0.1252,0.0387,0.0607,156.8
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_20,A,20,2.3,2.1,1.3,0.20778,26.1,27.3,26.7,26.1,27.3,26.7,26.1,27.3,26.7,26.7,0.6,2,355,144,152,177,0.0875,0.10392,1.147626667,7.701,3.2106,4.4904,2.063,68.52,1.094643769,1.57,0.4764,-1.107646591,1.39,-1.107504723,1.39,4.7493,1.1588,0.9455,0.819856847,0.1277,0.038,0.0563,148.2
