"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter","cps_sum2"
"Bird Island","BI10","BI10.06","ACE_ITRAX_2002",4.1,204.1,200.1,3037.8,7.12,1,TRUE,20784,64303,1.49,0.0233270609458346,0.430773058799745,0.0684260454411147,0.0653157706483368,35.4478018132902,0.0326578853241684,0.051319534080836,0.517860752997527,0.880207766356158,49.6757538528529,8.36508405517628,0.00923512806336734,0.000261875342177513,37322,95.5680245993187
"Bird Island","BI10","BI10.06","ACE_ITRAX_2003",4.2,204.2,200.2,3039.3,7.13,1,TRUE,19829,58897,1.52,0.0254681902304022,0.407491043686436,0.0814982087372871,0.0543321391581914,31.8657996162793,0.0356554663225631,0.0662172945990458,0.392210129548194,1.0153318505187,52.5154082550894,8.75596380121229,0.0101833252385281,0.000283089679961601,36087,95.2258424103003
"Bird Island","BI10","BI10.06","ACE_ITRAX_2004",4.3,204.3,200.3,3040.8,7.15,1,TRUE,20033,58283,1.49,0.0154418955784706,0.384331623286379,0.0823567764185097,0.0995144381723659,29.6827548341712,0.0257364926307843,0.212755005747817,0.487277593809516,1.07578539196678,53.9642777482285,9.40239864111319,0.00984749593945775,0.000298944380043025,36932,95.442776881443
"Bird Island","BI10","BI10.06","ACE_ITRAX_2005",4.4,204.4,200.4,3042,7.17,1,TRUE,20471,59859,1.5,0.0267294809468919,0.449389398419619,0.0785178502814949,0.123623849379375,31.1732571543126,0.0200471107101689,0.0150353330326267,0.474448286807331,0.987320202475818,53.2167259727025,8.81738752735595,0.0100827445950554,0.000276797599351937,37133,95.3928417086188
"Bird Island","BI10","BI10.06","ACE_ITRAX_2006",4.5,204.5,200.5,3043.4,7.2,1,TRUE,20974,62005,1.53,0.0177405047980002,0.456414805257641,0.12740907991291,0.0532215143940005,33.1037819530683,0.0370937827594549,0,0.522538504959278,0.903152971534554,51.5022982017579,8.81541811144263,0.00942230117119611,0.00027605117152385,37400,95.5487677822274
"Bird Island","BI10","BI10.06","ACE_ITRAX_2007",4.6,204.6,200.6,3044.9,7.22,1,TRUE,20724,63262,1.45,0.00474218330119187,0.485283424488635,0.113812399228605,0.0663905662166862,36.257152793146,0.0505832885460466,0.205494609718314,0.570642723910088,0.777718061395467,48.9456545793683,8.46321646486042,0.00914188542759962,0.000273324391708449,36318,95.9501063039991
"Bird Island","BI10","BI10.06","ACE_ITRAX_2008",4.7,204.7,200.7,3046.3,7.23,1,TRUE,20763,67476,1.46,0.0103740589246547,0.450530559013575,0.0459422609520422,0.0518702946232735,40.4351176714684,0,0.0933665303218922,0.536487047246428,0.949967395814808,45.5065504772067,7.88280277431976,0.00855547104290407,0.000256718646984946,36025,95.9718212595814
"Bird Island","BI10","BI10.06","ACE_ITRAX_2009",4.8,204.8,200.8,3047.8,7.24,1,TRUE,20830,71136,1.48,0.00702878992352677,0.423133153396311,0.0843454790823212,0.0590418353576248,45.1740328385065,0.0365497076023392,0.158850652271705,0.35706252811516,0.851889338731444,41.8058367071525,7.29307242465137,0.0080581797816408,0.000245235967068542,34927,96.2591468705395
"Bird Island","BI10","BI10.06","ACE_ITRAX_2010",4.9,204.9,200.9,3049.3,7.25,1,TRUE,20192,66456,1.4,0.0165523052846997,0.451426507764536,0.049656915854099,0.0270855904658722,41.5402672444926,0.0391236306729265,0,0.434874202479836,0.786986878536174,44.5061394005056,7.64265077645359,0.0087627760190009,0.00025839844394136,34656,95.5037846269729
"Bird Island","BI10","BI10.06","ACE_ITRAX_2011",5,205,201,3050.8,7.26,1,TRUE,20633,69887,1.44,0.020032337916923,0.301915950033626,0.0629587763103295,0.0300485068753846,44.9640133358135,0,0,0.346273269706812,0.808447923075822,41.8861877030063,7.20734900625295,0.00831570135060676,0.000246211492032007,34310,95.6357887218343
