depth	min	max	median	mean
149	3091.23	3625.05	3348.88	3351.01
150	3097.04	3631.85	3359.89	3361.69
151	3104.08	3641.34	3371.14	3372.38
152	3110.74	3652.56	3383.96	3383.07
153	3117.49	3661.29	3397.35	3393.75
154	3122.94	3670.36	3408.8	3404.44
155	3128.64	3680.27	3421.83	3415.13
156	3136.13	3690.26	3433.64	3425.81
157	3141.25	3703.64	3444.1	3436.5
158	3147.81	3716.53	3455.06	3447.18
159	3154.12	3730.74	3466.11	3457.87
160	3157.5	3744.5	3476.91	3468.56
161	3180.74	3748.27	3486.58	3478.83
162	3200.2	3753.45	3496.18	3489.11
163	3219.94	3756.82	3505.4	3499.38
164	3237.55	3758.94	3514.21	3509.66
165	3256.61	3765.52	3523.44	3519.94
166	3274.4	3768.85	3533.7	3530.21
167	3289.88	3775.8	3543.74	3540.49
168	3299.62	3780.15	3554.39	3550.77
169	3312.48	3784.42	3565	3561.04
170	3326.72	3788.07	3575.47	3571.32
171	3335.93	3793.33	3586.7	3581.59
172	3347.29	3797.35	3596.96	3591.87
173	3355	3806.65	3607.78	3602.15
174	3362.9	3811.96	3618.06	3612.42
175	3372.31	3819.02	3628.88	3622.7
176	3383.67	3828.78	3639.22	3632.98
177	3394.2	3839.74	3649.95	3643.25
178	3404.52	3849.65	3661.98	3653.53
179	3408.92	3861.12	3673.21	3663.81
180	3414.18	3873.62	3683.19	3674.08
181	3424.81	3875.59	3687.59	3679.35
182	3432.04	3878.31	3692.39	3684.63
183	3439.15	3882.33	3696.84	3689.9
184	3449.27	3883.6	3701.84	3695.17
185	3460.27	3886.39	3706.56	3700.45
186	3468.16	3889.51	3710.64	3705.72
187	3477.24	3894.17	3716.01	3710.99
188	3485.14	3896.94	3720.71	3716.26
189	3491.6	3901.35	3724.99	3721.54
190	3498.96	3906.46	3729.35	3726.81
191	3512.31	3911.21	3733.69	3732.08
192	3522.38	3914.25	3739.24	3737.36
193	3528.56	3919.93	3743.9	3742.63
194	3538.24	3924.49	3748.02	3747.9
195	3543.94	3930.41	3752.36	3753.17
196	3551.76	3935.59	3756.98	3758.45
197	3560.55	3942.32	3761.69	3763.72
198	3568.79	3950.25	3767.13	3768.99
199	3575.6	3958.73	3772.09	3774.27
200	3578.65	3968.96	3776.61	3779.54
201	3582.87	3971.42	3779.61	3782.67
202	3589.11	3973.73	3782.54	3785.8
203	3595.23	3976.26	3785.3	3788.93
204	3600.5	3978.6	3788.13	3792.06
205	3606.47	3981.63	3791.22	3795.19
206	3611.18	3984.61	3794.06	3798.32
207	3615.97	3987.48	3796.67	3801.45
208	3619.69	3990.36	3799.12	3804.58
209	3624.09	3993.23	3801.94	3807.71
210	3627.53	3997.24	3805.32	3810.83
211	3632.34	4001.11	3808.59	3813.96
212	3634.72	4004.98	3811.3	3817.09
213	3638.78	4009.09	3814.62	3820.22
214	3643.19	4014.5	3817.4	3823.35
215	3648.31	4018.82	3819.85	3826.48
216	3651.62	4024.2	3822.69	3829.61
217	3656.3	4029.35	3825.43	3832.74
218	3659.93	4034.03	3828.26	3835.87
219	3663.39	4038.11	3831.35	3839
220	3665.35	4042.3	3834.13	3842.13
221	3672.02	4044.2	3837.31	3845.24
222	3677.4	4047.99	3839.82	3848.36
223	3684.71	4050.87	3842.77	3851.47
224	3690.28	4052.34	3845.1	3854.58
225	3696.24	4053.63	3847.56	3857.69
226	3700.82	4055.65	3850.31	3860.8
227	3705.84	4057.7	3852.33	3863.92
228	3710.86	4059.62	3855.48	3867.03
229	3715.68	4062.34	3858.02	3870.14
230	3721.9	4062.67	3860.73	3873.25
231	3725.65	4066.03	3863.61	3876.36
232	3728.66	4068.95	3865.99	3879.48
233	3733.08	4071.68	3868.64	3882.59
234	3734.7	4075.54	3871.13	3885.7
235	3738.05	4079.64	3873.94	3888.81
236	3742.42	4081.89	3877.04	3891.92
237	3745.07	4085.97	3880.03	3895.04
238	3748.38	4089.55	3882.66	3898.15
239	3751.04	4095.48	3885.94	3901.26
240	3753.6	4098.63	3888.84	3904.37
241	3761.64	4105.82	3896.49	3912.16
242	3772.67	4110.44	3905.55	3919.95
243	3777.74	4121.3	3914.6	3927.75
244	3785.8	4130.21	3922.7	3935.54
245	3791.58	4138.3	3931.57	3943.33
246	3796	4147.32	3939.91	3951.12
247	3800.67	4154.22	3947.73	3958.91
248	3806.83	4166.49	3955.61	3966.7
249	3810.42	4179.66	3964.22	3974.49
250	3813.76	4190.15	3973.41	3982.29
251	3816.81	4203.07	3980.67	3990.08
252	3821.42	4216.12	3988.63	3997.87
253	3825.71	4228.57	3996.42	4005.66
254	3828.01	4242.29	4003.69	4013.45
255	3830.79	4255.36	4010.74	4021.24
256	3833.34	4271.34	4018.96	4029.03
257	3836.82	4290.4	4026.85	4036.83
258	3838.69	4309.55	4034.58	4044.62
259	3840.86	4328.97	4042.83	4052.41
260	3843.13	4344.65	4050.53	4060.2
261	3854.78	4351.97	4057.75	4068.24
262	3865.12	4358.4	4065.77	4076.29
263	3875.53	4364.41	4073.77	4084.33
264	3883.02	4373.28	4082.2	4092.38
265	3891.48	4379.95	4090.7	4100.42
266	3898.71	4387.39	4098.85	4108.47
267	3906.2	4397.3	4106.52	4116.51
268	3913.52	4408.96	4115.23	4124.55
269	3922.13	4422.54	4123.67	4132.6
270	3928.11	4433.58	4132.23	4140.64
271	3934.48	4446.81	4140.54	4148.69
272	3938.02	4460.1	4149.05	4156.73
273	3942.37	4477.35	4157.6	4164.78
274	3948.4	4486.27	4166.57	4172.82
275	3954.3	4499.47	4175.32	4180.86
276	3959.08	4509.78	4183.1	4188.91
277	3964.11	4522.63	4190.18	4196.95
278	3968.05	4537.34	4198.32	4205
279	3972.94	4556.38	4206.18	4213.04
280	3977.38	4574.27	4213.27	4221.09
281	4003.85	4587.3	4225	4234
282	4026.3	4600.96	4236.37	4246.91
283	4047.44	4612.54	4247.33	4259.83
284	4066.79	4630.31	4259.13	4272.74
285	4084.55	4643.4	4270.78	4285.66
286	4101.01	4658.17	4283.65	4298.57
287	4118.21	4669.23	4296.2	4311.48
288	4129.16	4685.38	4309.33	4324.4
289	4142.33	4706.98	4322.88	4337.31
290	4149.88	4727.31	4336.51	4350.23
291	4160.49	4746.64	4348.96	4363.14
292	4170	4773.16	4362.4	4376.05
293	4177.45	4791.63	4374.57	4388.97
294	4184.37	4810.21	4388.08	4401.88
295	4190.67	4828.14	4399.59	4414.8
296	4195.75	4847.49	4409.38	4427.71
297	4199.43	4868.22	4420	4440.62
298	4204.09	4885.78	4431.33	4453.54
299	4209.39	4907.12	4442.26	4466.45
300	4212.75	4929.02	4453.35	4479.37
301	4379.06	5056.47	4605.19	4629.57
302	4547.67	5184.13	4757.05	4779.77
303	4711.69	5307.06	4910.24	4929.98
304	4873.76	5430.39	5062.67	5080.18
305	5036.21	5564.8	5213.72	5230.38
306	5196.88	5692.84	5364.54	5380.58
307	5356.31	5820.98	5516.16	5530.79
308	5513.9	5945.33	5667.75	5680.99
309	5670.99	6075.2	5819.89	5831.19
310	5825.99	6212.99	5969.6	5981.39
311	5981.17	6342.93	6120.06	6131.6
312	6131.07	6480.01	6268.72	6281.8
313	6278.83	6621.92	6417.67	6432
314	6423.44	6768.37	6566.82	6582.2
315	6565.41	6913.68	6715.9	6732.41
316	6709.77	7052.23	6865.08	6882.61
317	6851.47	7205.06	7014.61	7032.81
318	6993.02	7373.6	7163.74	7183.02
319	7132.3	7544.23	7314.03	7333.22
320	7265.4	7713.78	7464.32	7483.42
321	7344.17	7764.17	7531	7549.42
322	7420.26	7816.38	7598.6	7615.42
323	7497.26	7872.06	7667.22	7681.42
324	7571.89	7928.23	7735.22	7747.43
325	7648.61	7983.78	7802.89	7813.43
326	7713.51	8039.56	7871.86	7879.43
327	7782.78	8094.45	7939.99	7945.43
328	7844.09	8152.1	8008.88	8011.43
329	7901.97	8210.64	8077.72	8077.43
330	7957.52	8270.4	8147.29	8143.43
331	8014.62	8332.66	8215.69	8209.44
332	8073.68	8394.85	8282.02	8275.44
333	8128.41	8461.12	8347.5	8341.44
334	8180.44	8530.22	8413.59	8407.44
335	8236.42	8603.76	8480.68	8473.44
336	8291.51	8678.14	8547.02	8539.44
337	8339.49	8755.28	8613.13	8605.44
338	8393.26	8832.41	8680.11	8671.45
339	8447.32	8909.42	8747.63	8737.45
340	8498.43	8987.61	8815.11	8803.45
341	8509.11	8993.19	8821.87	8810.71
342	8524.03	8998.56	8829.34	8817.97
343	8534.51	9005.88	8836.67	8825.24
344	8543.99	9014.3	8844.11	8832.5
345	8555.7	9020.86	8851.92	8839.76
346	8566.6	9028.29	8859.06	8847.02
347	8574.33	9037.59	8865.67	8854.29
348	8579.97	9045.26	8873.05	8861.55
349	8592.21	9054.81	8879.62	8868.81
350	8600.61	9065.72	8886.03	8876.08
351	8610.97	9076.94	8893.03	8883.34
352	8620.06	9089.3	8900.18	8890.6
353	8631.52	9102.76	8906.41	8897.86
354	8636.71	9115.19	8912.61	8905.13
355	8645.9	9131.2	8919.44	8912.39
356	8654.52	9146.31	8926.08	8919.65
357	8663.42	9159.91	8931.96	8926.91
358	8671.6	9172.83	8938.09	8934.18
359	8677.95	9192.39	8945.03	8941.44
360	8681.19	9206.77	8951.1	8948.7
361	8694.56	9208.77	8958.45	8956.07
362	8706.17	9211.22	8965.53	8963.44
363	8719.13	9217.13	8970.7	8970.81
364	8730.61	9221.1	8976.88	8978.18
365	8740.86	9225.28	8983.14	8985.55
366	8753.46	9229.22	8989.74	8992.92
367	8764.69	9235.8	8996.8	9000.29
368	8771.16	9243.91	9002.98	9007.66
369	8780.67	9250.94	9009.54	9015.02
370	8791.74	9258.76	9016.13	9022.39
371	8802.42	9268.47	9022.86	9029.76
372	8810.43	9280.17	9029.99	9037.13
373	8818.08	9289.95	9036.92	9044.5
374	8826.4	9302.44	9043.19	9051.87
375	8835.64	9316.36	9049.61	9059.24
376	8843.03	9333.61	9056	9066.61
377	8851.5	9346.94	9062.3	9073.98
378	8857.71	9358.74	9069.87	9081.35
379	8864.01	9369.96	9075.73	9088.72
380	8867.93	9382.86	9082.36	9096.08
381	8880.38	9398.33	9102.25	9115.93
382	8893.86	9415.58	9121.66	9135.77
383	8909.1	9442.45	9141.25	9155.61
384	8917.75	9477.51	9159.12	9175.46
385	8927.32	9519.68	9176.48	9195.3
386	8938.29	9563.77	9194.61	9215.14
387	8947.48	9605.97	9212.36	9234.98
388	8955.1	9656.69	9233.12	9254.83
389	8964.49	9710.89	9251.83	9274.67
390	8970.52	9766.62	9269.25	9294.51
391	8974.36	9822.47	9287.79	9314.35
392	8981.83	9874.42	9301.27	9334.2
393	8986.67	9926.48	9317.34	9354.04
394	8992.65	9978.03	9331.8	9373.88
395	8997.8	10035.59	9346.1	9393.73
396	9004.46	10088.82	9361.16	9413.57
397	9010.33	10151.28	9375.26	9433.41
398	9015.14	10214.24	9391.21	9453.25
399	9020.69	10274.1	9407.13	9473.1
400	9022.79	10325.39	9421.87	9492.94
