"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.146376584727273,0.00388698448403857,12.51434728,1.251434728,15.0475467476092,0.46076125107861,29.6343322441398
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.145989151583333,0.00361351532498803,10.48614151,1.048614151,14.8873805865628,0.299440022636761,29.4753211504888
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.143955505083333,0.00301099939000146,13.6157151,1.36157151,14.0466643031851,-0.547772728754277,28.6411013351244
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.148022999166667,0.00320273418525427,19.65584023,1.965584023,15.7281799984651,1.14600794932976,30.3103520476004
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.1602627916,0.00242683010150897,21.79052633,2.179052633,20.7881512392219,6.22526640468695,35.3510360737569
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.154934023454545,0.00334895066566226,19.47346052,1.947346052,18.5852206167031,4.01719475710559,33.1532464763006
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.1560056543,0.00207374814577925,26.28431951,2.628431951,19.0282364021623,4.46164807875905,33.5948247255655
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.148821987636364,0.00355121707675302,15.13709242,1.513709242,16.0584845114201,1.4783790627367,30.6385899601036
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.147191485818182,0.00357246424196973,22.36604891,2.236604891,15.3844295915398,0.799987265856958,29.9688719172226
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.158576433909091,0.00478949806078012,12.20914471,1.220914471,20.0910053142314,5.52703712213425,34.6549735063285
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.15165269475,0.00294108742220876,22.9846784,2.29846784,17.2287083255918,2.65501787713505,31.8023987740485
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.149898092416667,0.00220136997425113,23.15568582,2.315568582,16.5033498365498,1.92584974585566,31.0808499272439
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.149104332818182,0.00491852631995791,24.17673458,2.417673458,16.1752069564899,1.595804868873,30.7546090441069
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.149911105272727,0.00417489477233992,16.6231038,1.66231038,16.5087293948865,1.93125955893122,31.0861992308417
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.156443694363636,0.00636353661000703,15.49312409,1.549312409,19.2093236335324,4.64326442171826,33.7753828453466
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.163261797363636,0.00479762607996572,27.34117399,2.734117399,22.0279502797298,7.46574808925874,36.5901524702009
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.148378059454545,0.00275218434102406,16.82974775,1.682974775,15.8749631122461,1.29372333565783,30.4562028888343
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.149992786727273,0.00288275232976997,13.84436494,1.384436494,16.5424967821324,1.96521617190166,31.1197773923631
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.1465574293,0.00383288756320129,12.21081609,1.221081609,15.1223085004763,0.536053108817034,29.7085638921356
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.157428365818182,0.00265751453321166,16.79692387,1.679692387,19.6163901151525,5.05139634985273,34.1813838804523
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.149073162363636,0.00338222226804198,14.8081316,1.48081316,16.1623209860437,1.58284193921996,30.7418000328674
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.1552225165,0.00399124332567506,16.33050513,1.633050513,18.7044846092186,4.1368657305979,33.2721034878393
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.153574041181818,0.00323746214087364,15.40632226,1.540632226,18.0229993841602,3.45285673816699,32.5931420301534
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.152447821823529,0.00479382750227348,18.59519446,1.859519446,17.557416524421,2.98527342198081,32.1295596268611
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.156416456,0.0024892101922773,14.38022471,1.438022471,19.1980632026555,4.63197207935314,33.7641543259578
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.157757844181818,0.00519446057025618,20.19056256,2.019056256,19.7525975756573,5.18792200341076,34.3172731479038
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.162441651545455,0.0043808928271725,35.50400774,3.550400774,21.6888992479557,7.12666859110073,36.2511299048107
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.160814896090909,0.00373356482300537,15.3832195,1.53832195,21.0163930873667,6.45375353317841,35.579032641555
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.169655697777778,0.00483066058991285,16.86311015,1.686311015,24.6712101542776,10.1051463393196,39.2372739692356
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.161179197636364,0.00494045158364572,20.94043551,2.094043551,21.1669965680226,6.60448930341691,35.7295038326283
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.154880260363636,0.00210805187647702,15.01857475,1.501857475,18.562994774615,3.99489144339439,33.1310981058357
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.162813335272727,0.004598312536024,18.8198384,1.88198384,21.8425545473325,7.28035154986385,36.4047575448011
