"Element","Model","R2","RMSE_ppm","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","Robustness_Score","Robust_Rank","Robustness_Class","Unstable_flag","Is_Production_Model"
"Ca","Bayes",0.71849446314204,4920.26934220119,11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,1831.36426414733,0.896690711130043,1,"Preferred 1",FALSE,TRUE
"Ca","PLS_LOO",0.714591218855023,5060.00126868248,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.844238800579022,2,"Acceptable 2",FALSE,FALSE
"Ca","PLS_kfold",0.714591218855023,5060.00126868248,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.844238800579022,3,"Acceptable 3",FALSE,FALSE
"Ca","RF",0.739917657487935,4494.24074410923,11019.1735655698,17031.2147711843,2.4518431906464,0.460699483745146,3.47757420022183,2256.24858044347,0.7,4,"Unstable",TRUE,FALSE
"Ca","OLS_weighted",0.60078407376705,5620.88386479327,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,0.686217104348513,5,"Unstable",FALSE,FALSE
"Ca","OLS",0.605349695781694,5504.63271481712,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.614712849837464,6,"Unstable",FALSE,FALSE
"Ca","WLS_weighted",0.604732452698864,5447.03371534874,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.310699785951878,7,"Unstable",FALSE,FALSE
"Ca","WLS",0.604685117514639,5446.04597912254,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0.308411435204778,8,"Unstable",FALSE,FALSE
"Fe","OLS_weighted",0.705011398870254,19165.0781241486,15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,3273.68555088834,0.685444332420445,1,"Preferred 1",FALSE,TRUE
"Fe","Bayes",0.782666025570093,13054.643263387,20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,7181.67439484506,0.572429668974928,2,"Acceptable 2",FALSE,FALSE
"Fe","PLS_LOO",0.769588412151896,12699.4253247054,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,8003.73120223755,0.546389430596061,3,"Acceptable 3",FALSE,FALSE
"Fe","PLS_kfold",0.769588412151896,12699.4253247054,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,8003.73120223755,0.546389430596061,4,"Acceptable 4",FALSE,FALSE
"Fe","RF",0.80053438105373,18195.5344182785,19038.7873190732,44672.5263112962,1.04634394799351,0.379788517338457,1.60182559954185,10591.7351666642,0.499064642366188,5,"Unstable",TRUE,FALSE
"Fe","OLS",0.711860213839782,19046.317786508,16489.7914089335,50727.5899499971,0.865773195310985,0.344535473675517,5.55041643777789,3148.85458195219,0.491687557504796,6,"Unstable",FALSE,FALSE
"Fe","WLS_weighted",0.711404682307114,19121.2837499281,16225.1661371414,181108.83229552,0.848539582872014,0.0919576206545299,5.61540489327032,2965.83017858167,0.322954677724393,7,"Unstable",FALSE,FALSE
"Fe","WLS",0.711426381771426,19118.97376675,16230.5950256377,190028.62119965,0.84892605762473,0.0877383574304587,5.61386747112591,2969.93101005432,0.320032013825989,8,"Unstable",FALSE,FALSE
"Mn","PLS_LOO",0.652472643614871,106.37886834467,153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,43.9494629143216,0.783503727486487,1,"Preferred 1",FALSE,TRUE
"Mn","PLS_kfold",0.652472643614871,106.37886834467,153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,43.9494629143216,0.783503727486487,2,"Acceptable 2",FALSE,FALSE
"Mn","RF",0.698151148146781,99.3730994626993,158.540243527883,391.165446040875,1.59540403172584,0.342358931086013,2.98962696273155,44.7945464948506,0.783467322864128,3,"Acceptable 3",FALSE,FALSE
"Mn","Bayes",0.675458563365959,106.167683499791,154.258493992566,399.642585261461,1.45297032870525,0.37990694015858,2.70644362850449,56.0983388402004,0.627324574007288,4,"Unstable",TRUE,FALSE
"Mn","OLS",0.642325781154841,111.776118917736,147.072578783174,415.131351621857,1.31577818417022,0.382807692258575,2.68496604453211,59.1871450375229,0.492493817971179,5,"Unstable",TRUE,FALSE
"Mn","OLS_weighted",0.621575234052913,115.442539169045,132.023911331763,939.928330609961,1.14363312070291,0.162722974321814,2.72146261670173,56.2006373585815,0.124699404865295,6,"Unstable",TRUE,FALSE
"Mn","WLS_weighted",0.642027836746649,109.653909631702,145.664884077566,1673.03766670793,1.32840575011703,0.0911137799574559,2.66652806633924,57.1667659340393,0.0835960908408035,7,"Unstable",TRUE,FALSE
"Mn","WLS",0.64171449487873,108.962939644912,145.168076687072,1630.88827087206,1.3322701935185,0.0918686258440677,2.65825338500898,56.3631236943644,0.0799343190390066,8,"Unstable",TRUE,FALSE
"Sr","RF",0.721982836872426,43.1095883838837,142.526111115813,194.969921851702,3.30613481730889,0.412059763773966,3.2152432347577,24.9869929194627,1,1,"Preferred 1",FALSE,TRUE
"Sr","Bayes",0.719033486991341,49.7050467588939,150.562909245336,207.199353185979,3.02912720262949,0.362486494626766,2.5330514701478,29.650786061973,0.64524600900619,2,"Unstable",TRUE,FALSE
"Sr","PLS_LOO",0.681443929954195,60.5526521980026,149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,25.6738014291286,0.557809381767079,3,"Acceptable 3",FALSE,FALSE
"Sr","PLS_kfold",0.681443929954195,60.5526521980026,149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,25.6738014291286,0.557809381767079,4,"Acceptable 4",FALSE,FALSE
"Sr","OLS",0.605940022011523,59.7735590156883,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.512561564098634,5,"Unstable",FALSE,FALSE
"Sr","WLS",0.605899324973479,59.3656290640811,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,0.298231825789007,6,"Unstable",FALSE,FALSE
"Sr","WLS_weighted",0.605197017350042,61.616501941787,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,0.27528069342351,7,"Unstable",FALSE,FALSE
"Sr","OLS_weighted",0.588442221601662,68.563181097856,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,0.189735050280746,8,"Unstable",FALSE,FALSE
"Ti","OLS",0.729930592021033,2035.54425020404,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,0.740802902134819,1,"Preferred 1",FALSE,TRUE
"Ti","PLS_LOO",0.754035431978301,2029.36926987965,2133.88133038419,6414.01219915502,1.05149977485898,0.64176020813951,5.76961477414703,713.437199028184,0.714647702901392,2,"Acceptable 2",FALSE,FALSE
"Ti","PLS_kfold",0.754035431978301,2029.36926987965,2133.88133038419,6414.01219915502,1.05149977485898,0.64176020813951,5.76961477414703,713.437199028184,0.714647702901392,3,"Acceptable 3",FALSE,FALSE
"Ti","Bayes",0.769067236846491,1783.30513592537,2136.84030349143,6140.791272153,1.19824715380669,0.658891574121819,5.250857290592,770.562863117966,0.7,4,"Unstable",TRUE,FALSE
"Ti","OLS_weighted",0.718555763474536,2173.73266969499,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,0.68076519024861,5,"Unstable",FALSE,FALSE
"Ti","RF",0.758515868218349,1540.05877513209,2183.03729035238,6475.88079006252,1.41750258211096,0.623890101702994,5.3808485575339,750.855163740243,0.63818356258533,6,"Unstable",TRUE,FALSE
"Ti","WLS_weighted",0.72919658362992,1893.08238585334,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,0.34425967066866,7,"Unstable",FALSE,FALSE
"Ti","WLS",0.728935134347202,1882.89538666468,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,0.332506166076154,8,"Unstable",FALSE,FALSE
"Zr","OLS",0.608456680906178,148.16046066862,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,85.6250432960216,0.796212817342735,1,"Preferred 1",FALSE,TRUE
"Zr","WLS_weighted",0.608229412035276,162.575252795128,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,94.081024048633,0.706817608866925,2,"Unstable",TRUE,FALSE
"Zr","Bayes",0.723503699572672,78.0488237943269,45.8211039551669,165.709469031005,0.587082568674116,0.791525325010495,1.94500886907361,67.4358062925207,0.664348352678188,3,"Acceptable 3",FALSE,FALSE
