"Site","Element","Model","Global_Rank","Robust_Rank","Robustness_Score","Robustness_Class","Confidence_Flag","R2","RMSE","RMSE_ppm","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","Unstable_flag","Is_Production_Model"
"HER42PB","Sr","OLS_weighted",8,8,0.189735050280746,"Unstable","Low confidence (uncertainty-dominated)",0.588442221601662,0.396971381054182,68.563181097856,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,FALSE,FALSE
"HER42PB","Ti","OLS",1,1,0.740802902134819,"Preferred 1","Moderate confidence",0.729930592021033,0.639603384224678,2035.54425020404,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,FALSE,TRUE
"HER42PB","Ti","PLS_LOO",2,2,0.714647702901392,"Acceptable 2","Moderate confidence",0.754035431978301,0.610392701137588,2029.36926987965,2133.88133038419,6414.01219915502,1.05149977485898,0.64176020813951,5.76961477414703,713.437199028184,FALSE,FALSE
"HER42PB","Ti","PLS_kfold",3,3,0.714647702901392,"Acceptable 3","Moderate confidence",0.754035431978301,0.610392701137588,2029.36926987965,2133.88133038419,6414.01219915502,1.05149977485898,0.64176020813951,5.76961477414703,713.437199028184,FALSE,FALSE
"HER42PB","Ti","Bayes",4,4,0.7,"Unstable","Low confidence (noise-dominated)",0.769067236846491,0.591446999353038,1783.30513592537,2136.84030349143,6140.791272153,1.19824715380669,0.658891574121819,5.250857290592,770.562863117966,TRUE,FALSE
"HER42PB","Ti","OLS_weighted",5,5,0.68076519024861,"Unstable","Moderate confidence",0.718555763474536,0.652933928562262,2173.73266969499,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,FALSE,FALSE
"HER42PB","Ti","RF",6,6,0.63818356258533,"Unstable","Low confidence (noise-dominated)",0.758515868218349,0.604807761433501,1540.05877513209,2183.03729035238,6475.88079006252,1.41750258211096,0.623890101702994,5.3808485575339,750.855163740243,TRUE,FALSE
"HER42PB","Ti","WLS_weighted",7,7,0.34425967066866,"Unstable","Low confidence (uncertainty-dominated)",0.72919658362992,0.640471967780676,1893.08238585334,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,FALSE,FALSE
"HER42PB","Ti","WLS",8,8,0.332506166076154,"Unstable","Low confidence (uncertainty-dominated)",0.728935134347202,0.640781067535794,1882.89538666468,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,FALSE,FALSE
"HER42PB","Zr","OLS",1,1,0.796212817342735,"Preferred 1","High confidence (signal-dominated)",0.608456680906178,0.822327315016661,148.16046066862,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,85.6250432960216,FALSE,TRUE
"HER42PB","Zr","WLS_weighted",2,2,0.706817608866925,"Unstable","Low confidence (noise-dominated)",0.608229412035276,0.822565937768544,162.575252795128,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,94.081024048633,TRUE,FALSE
"HER42PB","Zr","Bayes",3,3,0.664348352678188,"Acceptable 3","Moderate confidence",0.723503699572672,0.691034085621477,78.0488237943269,45.8211039551669,165.709469031005,0.587082568674116,0.791525325010495,1.94500886907361,67.4358062925207,FALSE,FALSE
"HER42PB","Zr","RF",4,4,0.65861781916011,"Acceptable 4","Moderate confidence",0.76427923472626,0.638048553639218,43.5303797063521,42.934399437592,137.648156952623,0.986308865836218,0.45812743776784,2.1984764216278,28.683681497698,FALSE,FALSE
"HER42PB","Zr","PLS_LOO",5,5,0.644651628337933,"Unstable","Low confidence (noise-dominated)",0.697291605179832,0.723047851394819,93.2499291193699,49.4304268796348,191.940643757118,0.530085409677454,1.02360406163947,1.69749170708413,115.742080932442,TRUE,FALSE
"HER42PB","Zr","PLS_kfold",6,6,0.644651628337933,"Unstable","Low confidence (noise-dominated)",0.697291605179832,0.723047851394819,93.2499291193699,49.4304268796348,191.940643757118,0.530085409677454,1.02360406163947,1.69749170708413,115.742080932442,TRUE,FALSE
"HER42PB","Zr","WLS",7,7,0.624538595478553,"Unstable","Low confidence (noise-dominated)",0.608323185716187,0.822467487738816,159.077231156446,53.6040944885685,577.090663848485,0.336968993606954,0.402422891988473,2.52358951610789,92.025463096561,TRUE,FALSE
"HER42PB","Zr","OLS_weighted",8,8,0.260564765296239,"Unstable","Low confidence (uncertainty-dominated)",0.401191970178938,1.01694769214115,153.784821913486,42.0668288564161,34663157.0601033,0.273543437726784,7.0672435446541e-06,2.42434726515991,101.046981383745,TRUE,FALSE
