"Site","Element","Model","Global_Rank","Robust_Rank","Robustness_Score","Robustness_Class","Confidence_Flag","R2","RMSE","RMSE_ppm","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","Unstable_flag","Is_Production_Model"
"HER42PB","Ca","Bayes",1,1,0.896690711130043,"Preferred 1","High confidence (signal-dominated)",0.71849446314204,0.377551919451181,4920.26934220119,11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,1831.36426414733,FALSE,TRUE
"HER42PB","Ca","PLS_LOO",2,2,0.844238800579022,"Acceptable 2","High confidence (signal-dominated)",0.714591218855023,0.380160401230266,5060.00126868248,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,FALSE,FALSE
"HER42PB","Ca","PLS_kfold",3,3,0.844238800579022,"Acceptable 3","High confidence (signal-dominated)",0.714591218855023,0.380160401230266,5060.00126868248,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,FALSE,FALSE
"HER42PB","Ca","RF",4,4,0.7,"Unstable","Low confidence (noise-dominated)",0.739917657487935,0.362901401940352,4494.24074410923,11019.1735655698,17031.2147711843,2.4518431906464,0.460699483745146,3.47757420022183,2256.24858044347,TRUE,FALSE
"HER42PB","Ca","OLS_weighted",5,5,0.686217104348513,"Unstable","Moderate confidence",0.60078407376705,0.449611220751241,5620.88386479327,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,FALSE,FALSE
"HER42PB","Ca","OLS",6,6,0.614712849837464,"Unstable","Moderate confidence",0.605349695781694,0.447032844459699,5504.63271481712,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,FALSE,FALSE
"HER42PB","Ca","WLS_weighted",7,7,0.310699785951878,"Unstable","Low confidence (uncertainty-dominated)",0.604732452698864,0.447382293228408,5447.03371534874,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,FALSE,FALSE
"HER42PB","Ca","WLS",8,8,0.308411435204778,"Unstable","Low confidence (uncertainty-dominated)",0.604685117514639,0.447409080513934,5446.04597912254,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,FALSE,FALSE
"HER42PB","Fe","OLS_weighted",1,1,0.685444332420445,"Preferred 1","Moderate confidence",0.705011398870254,0.619652240442579,19165.0781241486,15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,3273.68555088834,FALSE,TRUE
"HER42PB","Fe","Bayes",2,2,0.572429668974928,"Acceptable 2","Low confidence",0.782666025570093,0.531874559979908,13054.643263387,20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,7181.67439484506,FALSE,FALSE
"HER42PB","Fe","PLS_LOO",3,3,0.546389430596061,"Acceptable 3","Low confidence",0.769588412151896,0.547643031052147,12699.4253247054,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,8003.73120223755,FALSE,FALSE
"HER42PB","Fe","PLS_kfold",4,4,0.546389430596061,"Acceptable 4","Low confidence",0.769588412151896,0.547643031052147,12699.4253247054,19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,8003.73120223755,FALSE,FALSE
"HER42PB","Fe","RF",5,5,0.499064642366188,"Unstable","Low confidence (noise-dominated)",0.80053438105373,0.509541347860933,18195.5344182785,19038.7873190732,44672.5263112962,1.04634394799351,0.379788517338457,1.60182559954185,10591.7351666642,TRUE,FALSE
"HER42PB","Fe","OLS",6,6,0.491687557504796,"Unstable","Low confidence",0.711860213839782,0.612416695598065,19046.317786508,16489.7914089335,50727.5899499971,0.865773195310985,0.344535473675517,5.55041643777789,3148.85458195219,FALSE,FALSE
"HER42PB","Fe","WLS_weighted",7,7,0.322954677724393,"Unstable","Low confidence (uncertainty-dominated)",0.711404682307114,0.612900601250386,19121.2837499281,16225.1661371414,181108.83229552,0.848539582872014,0.0919576206545299,5.61540489327032,2965.83017858167,FALSE,FALSE
"HER42PB","Fe","WLS",8,8,0.320032013825989,"Unstable","Low confidence (uncertainty-dominated)",0.711426381771426,0.612877558837851,19118.97376675,16230.5950256377,190028.62119965,0.84892605762473,0.0877383574304587,5.61386747112591,2969.93101005432,FALSE,FALSE
"HER42PB","Mn","PLS_LOO",1,1,0.783503727486487,"Preferred 1","High confidence (signal-dominated)",0.652472643614871,0.567888873609633,106.37886834467,153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,43.9494629143216,FALSE,TRUE
"HER42PB","Mn","PLS_kfold",2,2,0.783503727486487,"Acceptable 2","High confidence (signal-dominated)",0.652472643614871,0.567888873609633,106.37886834467,153.648507852804,417.173075343394,1.44435178004506,0.355430420726812,3.3737841569136,43.9494629143216,FALSE,FALSE
"HER42PB","Mn","RF",3,3,0.783467322864128,"Acceptable 3","High confidence (signal-dominated)",0.698151148146781,0.529253362135368,99.3730994626993,158.540243527883,391.165446040875,1.59540403172584,0.342358931086013,2.98962696273155,44.7945464948506,FALSE,FALSE
"HER42PB","Mn","Bayes",4,4,0.627324574007288,"Unstable","Low confidence (noise-dominated)",0.675458563365959,0.54878715622519,106.167683499791,154.258493992566,399.642585261461,1.45297032870525,0.37990694015858,2.70644362850449,56.0983388402004,TRUE,FALSE
"HER42PB","Mn","OLS",5,5,0.492493817971179,"Unstable","Low confidence (noise-dominated)",0.642325781154841,0.576119639333299,111.776118917736,147.072578783174,415.131351621857,1.31577818417022,0.382807692258575,2.68496604453211,59.1871450375229,TRUE,FALSE
"HER42PB","Mn","OLS_weighted",6,6,0.124699404865295,"Unstable","Low confidence (uncertainty-dominated)",0.621575234052913,0.592595892589243,115.442539169045,132.023911331763,939.928330609961,1.14363312070291,0.162722974321814,2.72146261670173,56.2006373585815,TRUE,FALSE
"HER42PB","Mn","WLS_weighted",7,7,0.0835960908408035,"Unstable","Low confidence (uncertainty-dominated)",0.642027836746649,0.576359544649593,109.653909631702,145.664884077566,1673.03766670793,1.32840575011703,0.0911137799574559,2.66652806633924,57.1667659340393,TRUE,FALSE
"HER42PB","Mn","WLS",8,8,0.0799343190390066,"Unstable","Low confidence (uncertainty-dominated)",0.64171449487873,0.57661174033931,108.962939644912,145.168076687072,1630.88827087206,1.3322701935185,0.0918686258440677,2.65825338500898,56.3631236943644,TRUE,FALSE
"HER42PB","Sr","RF",1,1,1,"Preferred 1","High confidence (signal-dominated)",0.721982836872426,0.326271842029504,43.1095883838837,142.526111115813,194.969921851702,3.30613481730889,0.412059763773966,3.2152432347577,24.9869929194627,FALSE,TRUE
"HER42PB","Sr","Bayes",2,2,0.64524600900619,"Unstable","Low confidence (noise-dominated)",0.719033486991341,0.327997906598047,49.7050467588939,150.562909245336,207.199353185979,3.02912720262949,0.362486494626766,2.5330514701478,29.650786061973,TRUE,FALSE
"HER42PB","Sr","PLS_LOO",3,3,0.557809381767079,"Acceptable 3","Low confidence",0.681443929954195,0.349250256346248,60.5526521980026,149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,25.6738014291286,FALSE,FALSE
"HER42PB","Sr","PLS_kfold",4,4,0.557809381767079,"Acceptable 4","Low confidence",0.681443929954195,0.349250256346248,60.5526521980026,149.744279624008,221.398972488903,2.47295988182904,0.307121886291843,2.64847690131003,25.6738014291286,FALSE,FALSE
"HER42PB","Sr","OLS",5,5,0.512561564098634,"Unstable","Low confidence",0.605940022011523,0.388440903375382,59.7735590156883,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,FALSE,FALSE
"HER42PB","Sr","WLS",6,6,0.298231825789007,"Unstable","Low confidence (uncertainty-dominated)",0.605899324973479,0.388460961218056,59.3656290640811,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,FALSE,FALSE
"HER42PB","Sr","WLS_weighted",7,7,0.27528069342351,"Unstable","Low confidence (uncertainty-dominated)",0.605197017350042,0.38880693583257,61.616501941787,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,FALSE,FALSE
