"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1A",6,7.9,9.7,8.8,8.8,0.9,-60.2,55.4,-27.8,-20.3,58,0.09206,-0.25314,23184.4736842105,56034.4736842105,1.29578947368421,33.9473684210526,118.526315789474,48.6315789473684,34.4736842105263,2276.36842105263,69.2631578947368,206.526315789474,121.684210526316,0.210526315789474,19.0526315789474,95.8421052631579,947.052631578947,42758.6842105263,6355.73684210526,6.72844910536126,1.90609969806466,0.148695540094504,-1.90609969806466,49114.4210526316,1001.84753599543,2213.34087268849,0.151008306963325,9.66364138988408,31.0776239994355,24.8421919911262,21.8539811299468,635.212318881238,50.0941803065465,31.9884847702222,56.5253656252158,0.917662935482247,33.4406168274625,76.0630317258104,91.4636987396339,1587.37946358251,215.521033287876,0.152927561441837,0.0227486397642423,0.00338594888004757,0.0227486397642425,1763.59769019624,90.79,9.21,0.46,0,0,0,0,4.7062,0.4541,0.7619,0.0702,0.0103,0.0065,-0.0168,-260.3
"Marion Island","PB1","PB1.1A",7,9.8,11.1,10.4,10.4,0.7,-55.1,96.7,-11.7,-2.1,76,0.08802,-3.17392,23303.7142857143,57021.5714285714,1.26428571428571,34.4285714285714,138.571428571429,72.7857142857143,25.7857142857143,3249.71428571429,86.8571428571429,233.928571428571,141.285714285714,2.28571428571429,22.2857142857143,187.571428571429,968.857142857143,42628.8571428571,6302.28571428571,6.76544611957738,1.9115914283062,0.147880167010355,-1.9115914283062,48931.1428571429,321.701588569146,730.973293659868,0.0648921336603214,10.6750196232159,27.6925824162197,19.5297743948077,15.6803579797665,411.849753891173,52.7313323043654,24.020709929028,63.068251883213,6.60336244684446,48.4838253305298,110.376080383746,135.693578524362,847.782070794399,115.629666522998,0.15225707490972,0.0226220792228119,0.00336261400474064,0.0226220792228109,888.498894604988,88.48,11.52,0.58,0,0,0,0,3.9806,0.4359,0.9867,0.1136,0.0181,0.01,-0.3591,-3590
"Marion Island","PB1","PB1.1A",8,11.2,12.5,11.8,11.8,0.6,-46.5,110.6,6.4,13.8,79,0.08487,0.48874,22777.6428571429,55935.7142857143,1.33571428571429,24.6428571428571,126.142857142857,75.7857142857143,34.7142857142857,3456,91.2142857142857,204,128.5,0.105263157894737,15.0714285714286,154.642857142857,897.642857142857,41557.3571428571,6204.5,6.70064360407097,1.90187692665603,0.149336797338477,-1.90187692665603,47761.8571428571,655.341555942437,1881.10852868815,0.0822486180117038,12.0869105479195,26.8438709316188,24.9928561221573,20.1128683316794,835.019207517454,48.2400704353175,32.4108244026828,43.560303029249,0.458831467741123,34.2085555778854,103.827228637739,124.839963487324,1191.11515991353,195.168467661225,0.177963226699423,0.0265080558693685,0.00395046139345991,0.0265080558693685,1319.94527026067,89.34,10.66,0.53,0,0,0,0,3.8275,0.4574,1.0647,0.1135,0.0192,0.0096,0.0571,592.8
"Marion Island","PB1","PB1.1A",9,12.6,13.8,13.2,13.2,0.6,-40.6,127,24.1,29.6,84,0.09307,0.26736,22344.4615384615,54220.7692307692,1.32230769230769,19.7692307692308,115.692307692308,56.6153846153846,25.1538461538462,2784.92307692308,63.8461538461538,211.769230769231,100.538461538462,1.07692307692308,5.23076923076923,133.538461538462,883.307692307692,41067.1538461538,6062.53846153846,6.77507839719695,1.91313349059014,0.14763455560404,-1.91313349059014,47129.6923076923,995.59894999481,2402.61899302428,0.122144303056797,11.9802187386392,20.1551673084291,24.2539978200793,14.7413599205668,460.23625482616,43.1969253416763,33.6876679863563,44.6964118332695,3.8829013735766,13.1855593115717,80.280358104806,103.573954750044,1708.77626027877,259.769967273809,0.107722672340282,0.0159782712324863,0.00237034572726587,0.0159782712324863,1952.5027266142,89.37,10.63,0.53,0,0,0,0,2.9679,0.3725,1.1774,0.1252,0.022,0.0116,0.0355,304.8
"Marion Island","PB1","PB1.1A",10,13.9,15.2,14.5,14.5,0.7,-36.6,152.5,38.2,44.4,95,0.0834,0.18137,22222.4285714286,54481.5714285714,1.33428571428571,9.92857142857143,90.6428571428571,76.5714285714286,23.2857142857143,2854.71428571429,75.7142857142857,215.214285714286,104.571428571429,4.57142857142857,5.57142857142857,104,929.214285714286,41316.6428571429,6119.21428571429,6.75577690920246,1.91016894333008,0.148089377292994,-1.91016894333008,47435.8571428571,342.920200245281,1346.12233495301,0.101353477851169,9.10168442326251,18.2866371676451,26.1378425503486,14.2743911169003,1509.90271864787,45.7542407810527,41.0818668054384,62.3139869293642,8.30860800814234,20.8463768691691,61.1064644698088,109.221848033771,516.678833012846,182.32143153125,0.149860515855463,0.0222255643940309,0.00329841068381748,0.022225564394031,662.039838116066,88.89,11.11,0.56,0,0,0,0,4.2887,0.6047,0.9624,0.1069,0.0204,0.0089,0.0211,236.6
"Marion Island","PB1","PB1.1A",11,15.3,16.6,15.9,15.9,0.6,-25.5,170.8,56.3,61.1,98,0.07958,0.13089,22530.5714285714,56422.5,1.31714285714286,17.4285714285714,122.785714285714,99.5714285714286,28.8571428571429,4101.78571428571,74.8571428571429,212.142857142857,80.3571428571429,0.105263157894737,48.8571428571429,143.357142857143,942.357142857143,41739.7857142857,6171.92857142857,6.76633875636431,1.91166295771865,0.147878874129135,-1.91166295771865,47911.7142857143,323.570397591934,2813.25614109071,0.0820345678947011,9.20463332921387,13.446066461858,35.0224417848246,16.566217445137,3064.38316489937,43.3054573623537,14.4267760824055,33.5527303551546,0.458831467741123,59.7055043756206,54.8671222035665,96.247762925337,814.837140742901,181.260740492684,0.170046782443201,0.0253852728735369,0.00379205176001369,0.0253852728735371,920.908700775943,88.65,11.35,0.57,0,0,0,0,4.1237,0.6227,1.0868,0.1233,0.0248,0.0098,0.0181,184.6
"Marion Island","PB1","PB1.1A",12,16.7,17.9,17.3,17.3,0.6,-14.9,186.2,76.1,78.4,101,0.07958,0.10498,22404.8461538462,56545.3076923077,1.33153846153846,23,126,120.846153846154,24.4615384615385,4319.92307692308,45.2307692307692,217.692307692308,107.384615384615,1.15384615384615,30.0769230769231,77.4615384615385,939,41802.2307692308,6105.23076923077,6.84811372383155,1.92385920563214,0.146058810686632,-1.92385920563214,47907.4615384615,566.123491556664,1530.2554462472,0.080295927028934,11.060440015358,26.0704174624548,33.3162776878564,15.5757042891345,663.935295735267,39.7075850146078,39.1607469612634,35.8272207070231,2.82389075113733,38.6920782987542,53.5795598224662,93.0770290315142,803.899988995952,135.825963304857,0.108011079142603,0.0156927456828139,0.00228071205081856,0.0156927456828134,906.925724208311,89.33,10.67,0.53,0,0,0,0,3.5423,0.5597,1.1515,0.1228,0.0255,0.0098,0.0149,152.7
"Marion Island","PB1","PB1.1A",13,18.1,19.3,18.7,18.7,0.6,-5.3,200.4,94.6,95.6,103,0.08136,0.09025,21737.7692307692,54490.4615384615,1.34461538461538,15.5384615384615,127.692307692308,133.076923076923,27,3714.61538461538,49.2307692307692,194.153846153846,103.384615384615,4.69230769230769,51.5384615384615,82.6923076923077,978.461538461538,40645.7692307692,5882.61538461538,6.91557689652427,1.93329214713894,0.144740073673789,-1.93329214713894,46528.3846153846,343.128293268022,764.171186687971,0.109362957212469,10.4292488113589,30.9929685987661,40.6067759913325,14.7252617407411,490.374098429206,38.7710240732987,35.5571046671083,48.7571165088381,12.4992307455607,59.1024751097834,87.2939331753975,84.967263680996,587.190507678464,190.840482454823,0.225911370861791,0.0322587398582951,0.00461395447380786,0.0322587398582956,663.530398507551,89.07,10.93,0.55,0,0,0,0,3.6361,0.6127,1.0363,0.1133,0.0248,0.0092,0.0122,132.8
"Marion Island","PB1","PB1.1A",14,19.4,20.7,20.1,20.1,0.7,2.8,221.1,112.8,112.8,109,0.08745,0.08746,21344,55060.5,1.25214285714286,15.7142857142857,126,143.285714285714,18.1428571428571,6043.85714285714,62.5,194.357142857143,109.285714285714,7.5,31.0714285714286,116,892.357142857143,39068.7857142857,5818.5,6.7163379726948,1.90435347893349,0.148946779368051,-1.90435347893349,44887.2857142857,349.450997995427,2449.86799487395,0.063751750676242,10.5933837946041,30.6368305249643,28.4940711010569,14.265920352942,2430.9084676355,52.335823883249,27.5725815394071,48.2659755480442,12.4143217541429,49.0705368058836,87.1709196393455,89.0743916776716,373.901093168404,91.2256289899685,0.136564765590413,0.0201450560073968,0.00297300506872309,0.020145056007397,364.748264839323,89.67,10.33,0.52,0,0,0,0,4.082,0.7348,0.9981,0.1031,0.0237,0.009,0.0111,123
"Marion Island","PB1","PB1.1A",15,20.9,22.2,21.5,21.5,0.7,21.8,228.2,130.9,129,103,0.08591,0.07129,20875.7142857143,51402.3571428571,1.26071428571429,10.2142857142857,99.7142857142857,145.714285714286,28.7857142857143,2800.57142857143,81,197.071428571429,105.285714285714,7.92857142857143,31.4285714285714,122.428571428571,880.214285714286,38831.9285714286,5751.07142857143,6.75750055868603,1.91023759966956,0.148107029615913,-1.91023759966956,44583,212.14524363182,1219.9719168989,0.0701058853794399,7.14873384624128,35.1051794807209,40.5508770111526,17.5901133569994,1240.48921579573,43.5801648600687,22.3244063947761,39.5657749759884,19.6917174533796,38.5979558759554,69.9271206171268,112.192950945049,515.435658043191,180.367344940483,0.201680747945245,0.0299514429097217,0.00445265336772919,0.0299514429097222,599.585369555175,88.41,11.59,0.58,0,0,0,0,3.9806,0.7543,1.1213,0.1299,0.0311,0.0112,0.0119,106.9
