"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.07361343789549,-8.37619722814946,1.47468289857608,-3.7831798039682,2.11686386974375,0.787111691517832,3.44661604796967,2.15413371553663,0.734799583116095,3.57346784795717
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.12515503810226,-8.42774104552792,1.18032422455858,-4.59026354410022,2.01504363453312,0.684503671747122,3.34558359731911,2.05679117636194,0.625015123225578,3.48856722949831
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.3814617031828,-8.6840450238065,1.76274342417884,-3.90820335957217,1.50871079232695,0.172900153079836,2.84452143157406,1.57272507274389,0.0781714754019907,3.0672786700858
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.14581691393936,-8.44839967313215,2.93429859087982,-1.73473839781915,1.97422617738809,0.643344742438404,3.30510761233778,2.01776872750459,0.580987168517169,3.45455028649201
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.63610550859315,-7.93869116232474,3.23458375089402,-2.37743602876921,2.98115912036389,1.65439629971304,4.30792194101473,2.98042029912135,1.66390686556135,4.29693373268135
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.65106716680921,-7.95365368277934,3.2228939294629,-1.60738806979778,2.95160242145293,1.62484691816521,4.27835792474065,2.95216339993366,1.6322232266776,4.27210357318971
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.7042722945984,-8.00685768773948,2.51898773373569,-2.57524266727526,2.84649589382915,1.51970350138117,4.17328828627712,2.8516790879345,1.51949845731405,4.18385971855494
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.89095952028053,-8.19354569853185,3.42432388757179,-2.09545280050523,2.47769598941185,1.14999765265447,3.80539432616922,2.49909770694381,1.12332179127815,3.87487362260946
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.85731309675899,-8.15989644083933,2.50411667342474,-0.994968632570582,2.544164371131,1.21671853608823,3.87161020617377,2.56264304287816,1.19479589184459,3.93049019391174
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.70869693083804,-8.0112826267882,3.79810302271528,-1.88306784036054,2.83775504176337,1.51095515865227,4.16455492487447,2.84332262781757,1.51012026520731,4.17652499042784
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.62119589767132,-7.92378071444589,3.59979513160203,-1.10543315095016,3.010613000043,1.68383516224342,4.33739083784258,3.0085789007056,1.69547347987474,4.32168432153646
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.37710497885006,-7.67969028823903,3.52824534193737,-3.68312066780009,3.49281368196694,2.16469407999375,4.82093328394013,3.46957409162361,2.21124867975257,4.72789950349465
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.48034512650451,-7.78293045942808,3.67910143420938,-1.8658710066189,3.28886316286812,1.96156301416716,4.61616331156908,3.27459259944766,1.99333715110373,4.55584804779159
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.74400183829493,-8.04658661897729,3.61123068399644,-0.852913741302107,2.76801033133668,1.44112635224269,4.09489431043067,2.77664504459561,1.43526958160865,4.11802050758257
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.95587773627956,-8.2584624432581,3.22696331755683,-2.48722183977325,2.34945030057105,1.02115404965701,3.67774655148509,2.37649181270142,0.985332714745584,3.76765091065725
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.95207807846213,-8.25466355600789,2.93461448330624,-2.4649569627174,2.35695651014037,1.02869927138035,3.68521374890039,2.38366792555898,0.993412247516937,3.77392360360103
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.04062958153249,-8.34321467452653,2.96497237086501,-2.60486929957842,2.18202335256074,0.852727290358136,3.51131941476335,2.21642771334163,0.805021845329415,3.62783358135385
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.75491430839501,-8.05749876991228,3.74010134376473,-2.28440222778488,2.74645278815094,1.41953406937216,4.07337150692972,2.75603552638219,1.4121265042461,4.09994454851829
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.56469493355151,-7.86727976550003,4.1409556466192,-0.566629701016258,3.12223043980479,1.79532571387059,4.44913516573898,3.11528779781347,1.81503467226897,4.41554092335796
