"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.1931027454152,7.52e-05,3.28047752852584,0.463509298,4.33221371372029,3.52920928937371,5.13521813806686
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-9.98469760796167,4.61e-06,3.22105825962403,0.186955871,3.76857584322026,2.9537408271739,4.58341085926662
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.32037718847183,2.44e-05,3.83739375220028,0.519109914,4.10461099991748,3.29791926956637,4.9113027302686
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.10273808308219,0.000608008,4.80370016784794,0.839622095,4.75426947211609,3.9541198649486,5.55441907928359
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-4.70351216706077,0.000906339,5.01434956763412,2.59385652,4.83487531079767,4.0346781890103,5.63507243258504
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.61547191696741,0.000364109,4.97818920065822,2.397227724,4.65074578028613,3.8503779117113,5.45111364886096
"Bird Island","BI10","BI10.2",45,44,45,44.5,-4.74881494675564,0.000866195,5.11122645283105,2.61051165,4.82572843829925,4.02554628546767,5.62591059113083
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.0107779042646,0.000666572,4.70858561298687,2.069414432,4.77283672198998,3.97269304858603,5.57298039539392
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.76481578622492,0.000313597,5.03673035693971,1.949345735,4.62059245769269,3.82010198590057,5.42108292948481
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.22913196615583,0.001456503,4.58307553783376,1.178390202,4.93065519986135,4.13015413781931,5.73115626190339
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.56188983969226,0.001044231,5.12420449095423,1.955006557,4.86346961295956,4.06320988657555,5.66372933934358
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-4.62860105740874,0.000976841,4.74493052053587,1.529219743,4.85000026280541,4.04977301062944,5.65022751498138
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-4.64607760082322,0.000959918,5.34661758690507,2.629036009,4.84647165561172,4.04625203220915,5.64669127901429
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-4.66365591561615,0.000943192,4.87490594640391,0.711514938,4.8429225002347,4.04271018204146,5.64313481842795
"Bird Island","BI10","BI10.3",95,93,94,93.5,-4.06326330784868,0.001719282,4.78638501391686,2.07053159,4.96414496537326,4.1634742585598,5.76481567218672
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-3.96387303371062,0.001898942,4.7221214785087,0.932757371,4.98421239106428,4.18342431225218,5.78500046987638
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-4.37393545671752,0.001260155,4.84528705056754,0.326624311,4.9014186039082,4.10103880590059,5.7017984019158
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.26172298379858,0.000518636,4.54763367627891,1.478332239,4.72216957392395,3.92198587675761,5.52235327109029
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.73035152665836,0.000324594,4.51904296521713,0.40610632,4.62755097525234,3.82709115921821,5.42801079128647
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-4.99552276578682,0.000676818,4.61311637523697,1.025597866,4.77591681569596,3.9757731496135,5.57606048177843
"Bird Island","BI10","BI10.4",145,141,142,141.5,-4.71030517152419,0.000900203,4.51362383871107,0.699750267,4.83350376701765,4.03330904601514,5.63369848802016
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.28466774789124,0.000506872,4.79591699049481,1.039947828,4.71753690385215,3.91734579350645,5.51772801419786
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-4.75065028088052,0.000864607,4.44731158954328,1.57965392,4.82535787456463,4.02517627649324,5.62553947263603
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-4.91814039165079,0.000731272,4.79753296389401,1.417347214,4.79154072916473,3.99139281808257,5.59168864024689
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-4.8341239589969,0.000795365,4.5572450961939,1.284724348,4.80850409438057,4.00834347429548,5.60866471446566
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-4.50104371144589,0.001109741,4.78042419724919,2.957478603,4.87575477031283,4.07546079048361,5.67604875014205
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.16106465662167,0.000573559,4.80019144329258,2.37450858,4.74249302627704,3.94233441942374,5.54265163313034
"Bird Island","BI10","BI10.5",197,194,195,194.5,-4.92932829367003,0.000723136,4.77825533569965,1.10170535,4.78928183216141,3.98913497720367,5.58942868711915
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-4.65094515542932,0.000955257,4.45197816032173,1.323999276,4.84548887041265,4.04527130682058,5.64570643400472
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.64044737307161,0.000965338,4.71158837101642,1.368956728,4.84760842858079,4.04738638732959,5.647830469832
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-4.64550396637093,0.000960469,4.91382516980409,2.420949669,4.84658747546276,4.04636760745045,5.64680734347507
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-4.51031510972768,0.0010995,4.76039101129108,1.35786783,4.87388282562121,4.07359435063453,5.67417130060789
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-5.28121150952517,0.000508626,4.55468304015441,0.69914278,4.71823473678584,3.91804478333884,5.51842469023284
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-4.86145708510789,0.00077392,4.6180169814012,0.811859205,4.8029853906453,4.0028298306548,5.6031409506358
"Bird Island","BI10","BI10.7",271,265,266,265.5,-5.2215050401731,0.00053992,4.78497007688671,1.823339563,4.73028979093864,3.93011757048131,5.53046201139596
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-4.8838874956076,0.000756754,4.60353110603016,1.333664845,4.79845657130331,3.99830449703577,5.59860864557085
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-4.7326466893648,0.000880314,4.70471429278773,1.25507819,4.82899289557697,4.02880568176523,5.62918010938871
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-4.62300732612028,0.000982321,4.55442858181256,0.168162163,4.85112966694419,4.05089989595616,5.65135943793222
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-4.08928162056865,0.001675126,4.69965995389204,0.96047458,4.9588917294642,4.15824980313516,5.75953365579323
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-4.43204646657488,0.001189013,4.53250398956068,0.763475857,4.88968568152463,4.08934751101018,5.69002385203909
