"Site","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"BI10",1,0,1.1,0.6,0.55,-61,7,1.1,4.5,0.55,3.9,0.777817459305202
"BI10",4,3.9,5,4.5,0.55,-20,52,1.1,12.3,0.55,7.8,0.777817459305202
"BI10",10,11.7,12.8,12.3,0.55,60,111,1.1,27.2,0.525,14.9,0.760345316287277
"BI10",22,26.7,27.8,27.2,0.525,214,145,1.1,36.7,0.475,9.5,0.707990112925315
"BI10",30,36.3,37.2,36.7,0.475,340,143,0.900000000000006,41.4,0.5,4.7,0.689655711206686
"BI10",34,40.9,41.9,41.4,0.5,404,138,1,46.4,0.5,5,0.707106781186548
"BI10",51,45.9,46.9,46.4,0.5,467,85,1,49.8,0.5,3.4,0.707106781186548
"BI10",54,49.3,50.3,49.8,0.5,509,91,1,58.9,0.5,9.1,0.707106781186548
"BI10",62,58.4,59.4,58.9,0.5,731,242,1,64.6,0.525,5.7,0.725
"BI10",67,64.1,65.2,64.6,0.525,891,203,1.10000000000001,69.2,0.55,4.60000000000001,0.760345316287277
"BI10",71,68.7,69.8,69.2,0.55,1024,184,1.09999999999999,80.5,0.5,11.3,0.743303437365925
"BI10",84,80,81,80.5,0.5,1228,153,1,85.3,0.525,4.8,0.725
"BI10",88,84.8,85.8,85.3,0.525,1270,137,1,93.5,0.5,8.2,0.725
"BI10",95,93,94,93.5,0.5,1342,127,1,96.8,0.5,3.3,0.707106781186548
"BI10",98,96.3,97.3,96.8,0.5,1371,114,1,103.7,0.475,6.90000000000001,0.689655711206686
"BI10",104,103.2,104.2,103.7,0.475,1487,145,1,115.4,0.5,11.7,0.689655711206686
"BI10",114,114.9,115.9,115.4,0.5,1768,310,1,121.2,0.475,5.8,0.689655711206686
"BI10",119,120.7,121.7,121.2,0.475,1912,318,1,122.3,0.45,1.09999999999999,0.65431261641512
"BI10",120,121.8,122.7,122.3,0.45,1943,288,0.900000000000006,132.5,0.5,10.2,0.672681202353686
"BI10",145,132,133,132.5,0.5,2196,139,1,144.2,0.55,11.7,0.743303437365925
"BI10",155,143.7,144.8,144.2,0.55,2368,161,1.10000000000002,156.6,0.525,12.4,0.760345316287277
"BI10",172,156.1,157.2,156.6,0.525,2501,159,1.09999999999999,160.5,0.55,3.90000000000001,0.760345316287277
"BI10",175,159.9,161,160.5,0.55,2532,181,1.09999999999999,167.6,0.5,7.09999999999999,0.743303437365925
"BI10",181,167.1,168.1,167.6,0.5,2579,203,1,179.6,0.5,12,0.707106781186548
"BI10",191,179.1,180.1,179.6,0.5,2658,253,1,183.3,0.5,3.70000000000002,0.707106781186548
"BI10",194,182.8,183.8,183.3,0.5,2693,245,1,187,0.5,3.69999999999999,0.707106781186548
