"Site","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"KER3",6,7.9,9.1,8.5,0.6,65,165,1.2,12.9,0.6,4.4,0.848528137423857
"KER3",9,12.3,13.5,12.9,0.6,144,196,1.2,18.7,0.625,5.8,0.866386172558173
"KER3",13,18.1,19.3,18.7,0.625,258,245,1.2,21.6,0.55,2.9,0.832541290267336
"KER3",15,21,22.1,21.6,0.55,312,253,1.1,28.8,0.6,7.2,0.813941029804985
"KER3",20,28.2,29.4,28.8,0.6,440,266,1.2,30.2,0.55,1.4,0.813941029804985
"KER3",21,29.6,30.7,30.2,0.55,465,268,1.1,31.6,0.575,1.4,0.795691523141977
"KER3",22,31,32.1,31.6,0.575,491,254,1.1,38.7,0.55,7.1,0.795691523141977
"KER3",27,38.2,39.3,38.7,0.55,621,249,1.09999999999999,40.1,0.6,1.4,0.813941029804985
"KER3",28,39.5,40.7,40.1,0.6,646,253,1.2,45.6,0.65,5.5,0.884590300647707
"KER3",37,45,46.3,45.6,0.65,756,120,1.3,47,0.575,1.4,0.867827747885489
"KER3",38,46.4,47.6,47,0.575,784,95,1.2,52.2,0.55,5.2,0.795691523141977
"KER3",42,51.6,52.7,52.2,0.55,917,144,1.1,55.9,0.575,3.7,0.795691523141977
"KER3",45,55.3,56.5,55.9,0.575,1041,259,1.2,58.7,0.6,2.8,0.831038506929733
"KER3",47,58.1,59.3,58.7,0.6,1135,370,1.2,65.1,0.55,6.39999999999999,0.813941029804985
"KER3",52,64.6,65.7,65.1,0.55,1299,426,1.10000000000001,68.9,0.55,3.80000000000001,0.777817459305202
"KER3",55,68.3,69.4,68.9,0.55,1389,457,1.10000000000001,70.1,0.6,1.19999999999999,0.813941029804985
"KER3",56,69.5,70.7,70.1,0.6,1420,462,1.2,77.7,0.5,7.60000000000001,0.781024967590665
"KER3",62,77.2,78.2,77.7,0.5,1744,384,1,81.4,0.55,3.7,0.743303437365925
"KER3",65,80.8,81.9,81.4,0.55,1911,341,1.10000000000001,85.1,0.55,3.69999999999999,0.777817459305202
"KER3",68,84.5,85.6,85.1,0.55,2094,161,1.09999999999999,89.7,0.5,4.60000000000001,0.743303437365925
"KER3",78,89.2,90.2,89.7,0.5,2321,325,1,96.2,0.55,6.5,0.743303437365925
"KER3",83,95.7,96.8,96.2,0.55,2870,705,1.09999999999999,98.8,0.5,2.59999999999999,0.743303437365925
"KER3",85,98.3,99.3,98.8,0.5,3094,959,1,104.1,0.575,5.3,0.761987532706409
"KER3",89,103.5,104.7,104.1,0.575,3515,1076,1.2,106.7,0.55,2.60000000000001,0.795691523141977
"KER3",91,106.1,107.2,106.7,0.55,3716,1167,1.10000000000001,113.3,0.55,6.59999999999999,0.777817459305202
"KER3",96,112.8,113.9,113.3,0.55,4273,1258,1.10000000000001,119.4,0.5,6.10000000000001,0.743303437365925
"KER3",101,118.9,119.9,119.4,0.5,4831,1330,1,123,0.55,3.59999999999999,0.743303437365925
"KER3",110,122.4,123.5,123,0.55,5221,971,1.09999999999999,129.5,0.525,6.5,0.760345316287277
"KER3",115,128.9,130,129.5,0.525,5948,196,1.09999999999999,131.9,0.5,2.40000000000001,0.725
"KER3",117,131.4,132.4,131.9,0.5,6135,168,1,137.1,0.55,5.19999999999999,0.743303437365925
