"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"HER42PB","HER42PB1A",3,2.5,3.7,3.1,0.6,-58,12,1.2,5.9,0.6,2.8,0.848528137423857
"HER42PB","HER42PB1A",5,5.3,6.5,5.9,0.6,-51,23,1.2,8.7,0.6,2.8,0.848528137423857
"HER42PB","HER42PB1A",7,8.1,9.3,8.7,0.6,-44,33,1.2,11.5,0.6,2.8,0.848528137423857
"HER42PB","HER42PB1A",9,10.9,12.1,11.5,0.6,-24,45,1.2,16.9,0.6,5.4,0.848528137423857
"HER42PB","HER42PB1A",13,16.3,17.5,16.9,0.6,40,119,1.2,21.1,0.6,4.2,0.848528137423857
"HER42PB","HER42PB1A",16,20.5,21.6,21.1,0.6,88,164,1.1,26.7,0.6,5.6,0.848528137423857
"HER42PB","HER42PB1A",20,26.1,27.3,26.7,0.6,152,177,1.2,33.6,0.5,6.9,0.781024967590665
"HER42PB","HER42PB1A",25,33.1,34.1,33.6,0.5,231,182,1,37.7,0.6,4.1,0.781024967590665
"HER42PB","HER42PB1A",28,37.1,38.2,37.7,0.6,279,179,1.1,41.7,0.6,4,0.848528137423857
"HER42PB","HER42PB1A",31,41.2,42.3,41.7,0.6,328,164,1.09999999999999,54.5,0.6,12.8,0.848528137423857
"HER42PB","HER42PB1B",48,54,55.1,54.5,0.6,477,127,1.1,57.2,0.6,2.7,0.848528137423857
"HER42PB","HER42PB1B",50,56.7,57.8,57.2,0.6,503,153,1.09999999999999,65.2,0.6,8,0.848528137423857
"HER42PB","HER42PB1B",56,64.7,65.8,65.2,0.6,587,194,1.09999999999999,70.4,0.5,5.2,0.781024967590665
"HER42PB","HER42PB1B",60,69.9,70.9,70.4,0.5,644,243,1,74.3,0.6,3.89999999999999,0.781024967590665
"HER42PB","HER42PB1B",63,73.7,74.8,74.3,0.6,683,238,1.09999999999999,82,0.5,7.7,0.781024967590665
"HER42PB","HER42PB1B",69,81.5,82.5,82,0.5,761,250,1,87.2,0.6,5.2,0.781024967590665
"HER42PB","HER42PB1C",80,86.5,87.8,87.2,0.6,813,250,1.3,95.4,0.6,8.2,0.848528137423857
