"Site","sample","min_depth","max_depth","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","max_95CI_range_yrs","age_next","age_next_err","interval_yrs","interval_yrs_err"
"PB1",4,5,6.3,5.7,0.7,-64.3,-40.8,-55.5,12,0.08948,-0.0087,23.5,-2.1,76,53.4,64
"PB1",7,9.8,11.1,10.4,0.7,-55.1,96.7,-2.1,76,0.08802,-3.17392,151.8,29.6,84,31.7,8
"PB1",9,12.6,13.8,13.2,0.6,-40.6,127,29.6,84,0.09307,0.26736,167.6,112.8,109,83.2,25
"PB1",14,19.4,20.7,20.1,0.7,2.8,221.1,112.8,109,0.08745,0.08746,218.3,145.3,102,32.5,7
"PB1",16,22.3,23.5,22.9,0.6,33.1,237.9,145.3,102,0.08437,0.06175,204.8,161.6,105,16.3,3
"PB1",17,23.7,24.9,24.3,0.6,41.3,250.5,161.6,105,0.08595,0.05786,209.2,256.4,107,94.8,2
"PB1",22,30.4,31.6,31,0.6,121,335.6,256.4,107,0.03732,0.01637,214.6,472.8,229,216.4,122
"PB1",28,38.5,39.8,39.2,0.6,263,720.9,472.8,229,0.04041,0.02021,457.9,613.7,243,140.9,14
"PB1",32,44,45.3,44.7,0.6,370.7,857.4,613.7,243,0.03973,0.01631,486.7,672.7,226,59,17
"PB1",39,46.4,47.6,47,0.6,446.3,898.8,672.7,226,0.03938,0.01373,452.5,747.3,233,74.5999999999999,7
"PB1",41,49.3,50.5,49.9,0.6,495.5,961,747.3,233,0.04402,0.01424,465.5,778.9,215,31.6,18
"PB1",42,50.6,51.8,51.2,0.6,545.2,975.3,778.9,215,0.03961,0.0114,430.1,844.3,199,65.4,16
"PB1",44,53.3,54.5,53.9,0.6,621.1,1018.5,844.3,199,0.04125,0.01015,397.4,876.3,196,32,3
"PB1",45,54.7,55.8,55.2,0.6,654.6,1045.9,876.3,196,0.03743,0.00873,391.3,918.8,158,42.5,38
"PB1",46,56,57.7,56.8,0.9,757.5,1072.6,918.8,158,0.03744,0.00698,315.1,1274.3,387,355.5,229
"PB1",52,64.3,65.4,64.9,0.5,997.4,1772.2,1274.3,387,0.01876,0.00586,774.8,1411.9,417,137.6,30
"PB1",54,66.9,68.1,67.5,0.6,1078.8,1913.7,1411.9,417,0.01919,0.00584,834.9,1620.1,476,208.2,59
"PB1",57,70.8,72,71.4,0.6,1194.5,2147.1,1620.1,476,0.01864,0.00564,952.6,2008.3,503,388.2,27
"PB1",62,77.7,78.9,78.3,0.6,1482.1,2488.3,2008.3,503,0.01643,0.00424,1006.2,2167.2,475,158.9,28
"PB1",64,80.4,81.5,81,0.5,1658,2607.4,2167.2,475,0.01669,0.00377,949.4,2244.6,431,77.4000000000001,44
"PB1",65,81.7,82.8,82.3,0.5,1773.3,2634.7,2244.6,431,0.01669,0.00332,861.4,2322.1,411,77.5,20
"PB1",66,83,84.1,83.6,0.5,1846.4,2668,2322.1,411,0.01669,0.00306,821.6,2399.5,405,77.4000000000001,6
"PB1",67,84.3,85.4,84.9,0.5,1913.3,2723.1,2399.5,405,0.01972,0.00346,809.8,2462.5,338,63,67
"PB1",68,85.6,86.6,86.1,0.5,2063.4,2740.2,2462.5,338,0.02005,0.00287,676.8,2649.3,226,186.8,112
"PB1",77,89.2,90.3,89.7,0.5,2379,2830.8,2649.3,226,0.03193,0.00292,451.8,2722.3,219,73,7
"PB1",79,91.8,92.9,92.4,0.5,2461.8,2899.8,2722.3,219,0.04297,0.00371,438,2787.1,252,64.7999999999997,33
"PB1",81,94.5,95.6,95.1,0.5,2508.3,3011.9,2787.1,252,0.04233,0.00407,503.6,2884.4,254,97.3000000000002,2
"PB1",84,98.5,99.6,99.1,0.5,2608.4,3115.6,2884.4,254,0.04212,0.00394,507.2,2950.8,242,66.4000000000001,12
"PB1",86,101.2,102.3,101.8,0.5,2686.5,3170.1,2950.8,242,0.04165,0.00364,483.6,2982.9,242,32.0999999999999,0
"PB1",87,102.6,103.7,103.1,0.5,2714,3197.8,2982.9,242,0.04165,0.0036,483.8,3015,244,32.0999999999999,2
"PB1",88,103.9,105,104.4,0.5,2739.2,3227.7,3015,244,0.04041,0.00349,488.5,NA,NA,NA,NA
