"Site","sample","min_depth","max_depth","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","max_95CI_range_yrs","age_next","age_next_err","interval_yrs","interval_yrs_err"
"HER42PB",3,2.5,3.7,3.1,0.6,-65,-42,-58,12,0.4116,0.01546,23,-51,23,7,11
"HER42PB",5,5.3,6.5,5.9,0.6,-64,-19,-51,23,0.4081,-0.1335,45,-44,33,7,10
"HER42PB",7,8.1,9.3,8.7,0.6,-64,3,-44,33,0.3223,-0.21976,67,-24,45,20,12
"HER42PB",9,10.9,12.1,11.5,0.6,-56,33,-24,45,0.0853,-0.15703,89,40,119,64,74
"HER42PB",13,16.3,17.5,16.9,0.6,-46,192,40,119,0.0853,0.25802,238,88,164,48,45
"HER42PB",16,20.5,21.6,21.1,0.6,-29,300,88,164,0.0885,0.16786,329,152,177,64,13
"HER42PB",20,26.1,27.3,26.7,0.6,2,355,152,177,0.0875,0.10392,353,231,182,79,5
"HER42PB",25,33.1,34.1,33.6,0.5,56,419,231,182,0.0859,0.06884,363,279,179,48,3
"HER42PB",28,37.1,38.2,37.7,0.6,89,447,279,179,0.0859,0.05639,358,328,164,49,15
"HER42PB",31,41.2,42.3,41.7,0.6,154,482,328,164,0.0777,0.0399,328,477,127,149,37
"HER42PB",48,54,55.1,54.5,0.6,345,599,477,127,0.1058,0.02929,254,503,153,26,26
"HER42PB",50,56.7,57.8,57.2,0.6,353,658,503,153,0.1062,0.0333,305,587,194,84,41
"HER42PB",56,64.7,65.8,65.2,0.6,401,788,587,194,0.0894,0.03031,387,644,243,57,49
"HER42PB",60,69.9,70.9,70.4,0.5,426,913,644,243,0.0984,0.03793,487,683,238,39,5
"HER42PB",63,73.7,74.8,74.3,0.6,463,939,683,238,0.0985,0.03504,476,761,250,78,12
"HER42PB",69,81.5,82.5,82,0.5,522,1022,761,250,0.1008,0.03369,500,813,250,52,0
"HER42PB",80,86.5,87.8,87.2,0.6,570,1069,813,250,0.101,0.03175,499,895,263,82,13
"HER42PB",86,94.8,96,95.4,0.6,642,1168,895,263,0.1013,0.03045,526,948,267,53,4
"HER42PB",90,100.2,101.4,100.8,0.6,679,1214,948,267,0.098,0.02824,535,964,260,16,7
"HER42PB",91,101.6,103.1,102.3,0.8,703,1223,964,260,0.0977,0.0271,520,1047,256,83,4
"HER42PB",97,109.8,111,110.4,0.6,789,1301,1047,256,0.0862,0.02155,512,1156,236,109,20
"HER42PB",104,119.2,120.3,119.8,0.6,902,1374,1156,236,0.1045,0.02184,472,1230,213,74,23
"HER42PB",118,127.3,128.4,127.8,0.6,995,1422,1230,213,0.1098,0.01951,427,1266,206,36,7
"HER42PB",121,130.9,132.2,131.6,0.7,1038,1449,1266,206,0.1008,0.0169,411,1392,135,126,71
"HER42PB",131,143.2,144.4,143.8,0.6,1244,1514,1392,135,0.0907,0.00917,270,1480,104,88,31
"HER42PB",137,150.7,151.9,151.3,0.6,1378,1586,1480,104,0.0631,0.0047,208,1615,256,135,152
"HER42PB",144,159.2,160.3,159.8,0.6,1424,1936,1615,256,0.0689,0.01115,512,1669,266,54,10
"HER42PB",147,162.9,164.1,163.5,0.6,1458,1990,1669,266,0.0705,0.0115,532,1760,330,91,64
"HER42PB",158,169.3,170.5,169.9,0.6,1498,2157,1760,330,0.077,0.01467,659,1842,342,82,12
"HER42PB",162,175.6,176.8,176.2,0.6,1556,2241,1842,342,0.0767,0.01452,685,1929,349,87,7
"HER42PB",166,181.9,183.1,182.5,0.6,1629,2326,1929,349,0.0665,0.01225,697,2118,367,189,18
"HER42PB",174,194.9,196.1,195.5,0.6,1770,2504,2118,367,0.0712,0.01256,734,2225,379,107,12
"HER42PB",179,202.5,203.6,203,0.6,1850,2609,2225,379,0.0698,0.01209,759,2306,398,81,19
"HER42PB",189,208.1,209.3,208.7,0.6,1905,2702,2306,398,0.0691,0.01213,797,2349,392,43,6
"HER42PB",191,210.9,212.2,211.5,0.7,1953,2736,2349,392,0.064,0.01087,783,2479,379,130,13
"HER42PB",197,219.3,220.5,219.9,0.6,2073,2832,2479,379,0.0547,0.00852,759,2554,338,75,41
"HER42PB",200,223.4,224.6,224,0.6,2190,2867,2554,338,0.0545,0.00736,677,2679,332,125,6
"HER42PB",205,230.3,231.5,230.9,0.6,2304,2968,2679,332,0.0571,0.00723,664,2776,271,97,61
"HER42PB",209,235.8,236.9,236.4,0.6,2465,3006,2776,271,0.0569,0.00568,541,2822,270,46,1
"HER42PB",211,238.4,239.5,239,0.6,2499,3039,2822,270,0.0598,0.00585,540,2863,241,41,29
"HER42PB",213,241.1,242.3,241.7,0.6,2584,3066,2863,241,0.0723,0.00626,482,2868,235,5,6
"HER42PB",220,241.3,242.7,242,0.7,2599,3070,2868,235,0.0702,0.00596,471,3036,164,168,71
"HER42PB",230,255,256.2,255.6,0.6,2877,3206,3036,164,0.1044,0.00589,329,3102,197,66,33
"HER42PB",235,261.8,263,262.4,0.6,2923,3318,3102,197,0.0962,0.00634,395,3159,219,57,22
"HER42PB",239,267.2,268.4,267.8,0.6,2957,3395,3159,219,0.0969,0.00694,438,3318,250,159,31
"HER42PB",259,283.7,284.8,284.3,0.6,3080,3581,3318,250,0.0974,0.00753,501,3332,254,14,4
"HER42PB",260,285,286.2,285.6,0.6,3088,3597,3332,254,0.0982,0.0077,509,3386,270,54,16
"HER42PB",264,290.3,291.5,290.9,0.6,3129,3669,3386,270,0.1015,0.0083,540,3451,266,65,4
"HER42PB",269,297,298.2,297.6,0.6,3202,3735,3451,266,0.101,0.00799,533,3505,253,54,13
"HER42PB",273,302.3,303.5,302.9,0.6,3267,3773,3505,253,0.0974,0.00722,506,3576,249,71,4
"HER42PB",278,309.3,310.6,309.9,0.6,3339,3837,3576,249,0.1135,0.00813,498,3613,238,37,11
"HER42PB",281,313.5,314.8,314.2,0.6,3387,3864,3613,238,0.1145,0.00779,477,3680,243,67,5
"HER42PB",293,321,322.2,321.6,0.6,3451,3936,3680,243,0.1032,0.007,485,3789,214,109,29
"HER42PB",301,332.1,333.3,332.7,0.6,3603,4031,3789,214,0.0974,0.00567,428,3819,197,30,17
"HER42PB",303,334.9,336.2,335.6,0.7,3659,4052,3819,197,0.0974,0.0052,393,4013,262,194,65
"HER42PB",312,347.6,348.8,348.2,0.6,3787,4310,4013,262,0.055,0.00368,523,4150,298,137,36
"HER42PB",317,354.3,355.4,354.9,0.6,3880,4476,4150,298,0.0466,0.00342,596,4236,339,86,41
"HER42PB",320,358.3,359.6,358.9,0.7,3920,4598,4236,339,0.0474,0.00387,678,4297,340,61,1
"HER42PB",329,361.3,362.5,361.9,0.6,3981,4660,4297,340,0.0511,0.00412,679,4460,372,163,32
"HER42PB",335,369.7,370.8,370.2,0.6,4092,4837,4460,372,0.0516,0.00438,745,4596,353,136,19
"HER42PB",340,376.7,377.9,377.3,0.6,4223,4930,4596,353,0.0518,0.00407,707,4654,362,58,9
"HER42PB",342,379.6,380.9,380.3,0.6,4267,4992,4654,362,0.0557,0.00443,725,4755,306,101,56
"HER42PB",346,385.3,386.5,385.9,0.6,4432,5044,4755,306,0.0555,0.00366,612,4833,302,78,4
"HER42PB",349,389.6,390.9,390.3,0.6,4505,5110,4833,302,0.0566,0.00363,605,4910,237,77,65
"HER42PB",352,394,395.2,394.6,0.6,4674,5148,4910,237,0.0562,0.0028,474,4935,221,25,16
