"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","max_95CI_range_yrs","age_next","age_next_err","interval_yrs","interval_yrs_err"
"KER3","CAT2.3A",6,7.9,9.1,8.5,0.6,-55,274,65,165,0.06315,0.16546,329,144,196,79,31
"KER3","CAT2.3A",9,12.3,13.5,12.9,0.6,-8,384,144,196,0.05291,0.07412,392,258,245,114,49
"KER3","CAT2.3A",13,18.1,19.3,18.7,0.625,32,522,258,245,0.05085,0.04989,490,312,253,54,8
"KER3","CAT2.3A",15,21,22.1,21.6,0.55,80,587,312,253,0.05623,0.04707,507,440,266,128,13
"KER3","CAT2.3A",20,28.2,29.4,28.8,0.6,175,706,440,266,0.05601,0.03495,531,465,268,25,2
"KER3","CAT2.3A",21,29.6,30.7,30.2,0.55,194,731,465,268,0.05376,0.03199,537,491,254,26,14
"KER3","CAT2.3A",22,31,32.1,31.6,0.575,230,737,491,254,0.05569,0.02981,507,621,249,130,5
"KER3","CAT2.3A",27,38.2,39.3,38.7,0.55,322,819,621,249,0.0544,0.02258,497,646,253,25,4
"KER3","CAT2.3A",28,39.5,40.7,40.1,0.6,338,844,646,253,0.05037,0.02046,506,756,120,110,133
"KER3","CAT2.3B",37,45,46.3,45.6,0.65,637,877,756,120,0.04894,0.00846,240,784,95,28,25
"KER3","CAT2.3B",38,46.4,47.6,47,0.575,698,889,784,95,0.05077,0.0068,191,917,144,133,49
"KER3","CAT2.3B",42,51.6,52.7,52.2,0.55,794,1082,917,144,0.03077,0.00516,288,1041,259,124,115
"KER3","CAT2.3B",45,55.3,56.5,55.9,0.575,826,1345,1041,259,0.02904,0.00753,519,1135,370,94,111
"KER3","CAT2.3B",47,58.1,59.3,58.7,0.6,843,1584,1135,370,0.03069,0.01033,741,1299,426,164,56
"KER3","CAT2.3B",52,64.6,65.7,65.1,0.55,926,1779,1299,426,0.04012,0.01351,853,1389,457,90,31
"KER3","CAT2.3B",55,68.3,69.4,68.9,0.55,957,1871,1389,457,0.04239,0.01427,914,1420,462,31,5
"KER3","CAT2.3B",56,69.5,70.7,70.1,0.6,978,1901,1420,462,0.02196,0.00733,923,1744,384,324,78
"KER3","CAT2.3B",62,77.2,78.2,77.7,0.5,1319,2088,1744,384,0.02318,0.00526,769,1911,341,167,43
"KER3","CAT2.3B",65,80.8,81.9,81.4,0.55,1546,2228,1911,341,0.02087,0.00387,682,2094,161,183,180
"KER3","CAT2.3B",68,84.5,85.6,85.1,0.55,1952,2275,2094,161,0.02087,0.00174,323,2321,325,227,164
"KER3","CAT2.3C",78,89.2,90.2,89.7,0.5,2078,2728,2321,325,0.01332,0.00194,650,2870,705,549,380
"KER3","CAT2.3C",83,95.7,96.8,96.2,0.55,2279,3689,2870,705,0.01165,0.00293,1410,3094,959,224,254
"KER3","CAT2.3C",85,98.3,99.3,98.8,0.5,2326,4243,3094,959,0.01152,0.00363,1917,3515,1076,421,117
"KER3","CAT2.3C",89,103.5,104.7,104.1,0.575,2574,4726,3515,1076,0.01298,0.00404,2152,3716,1167,201,91
"KER3","CAT2.3C",91,106.1,107.2,106.7,0.55,2682,5015,3716,1167,0.01372,0.00438,2333,4273,1258,557,91
"KER3","CAT2.3C",96,112.8,113.9,113.3,0.55,2998,5513,4273,1258,0.01122,0.00336,2515,4831,1330,558,72
"KER3","CAT2.3C",101,118.9,119.9,119.4,0.5,3180,5840,4831,1330,0.00962,0.00269,2660,5221,971,390,359
"KER3","CAT2.3D",110,122.4,123.5,123,0.55,4017,5959,5221,971,0.00873,0.00166,1942,5948,196,727,775
"KER3","CAT2.3D",115,128.9,130,129.5,0.525,5736,6128,5948,196,0.01197,0.00044,392,6135,168,187,28
"KER3","CAT2.3D",117,131.4,132.4,131.9,0.5,5973,6309,6135,168,0.01395,0.00043,336,6492,556,357,388
"KER3","CAT2.3D",121,136.5,137.6,137.1,0.55,6053,7165,6492,556,0.01479,0.00133,1112,6775,748,283,192
"KER3","CAT2.3D",124,140.5,141.6,141,0.55,6202,7698,6775,748,0.01199,0.00137,1496,7444,710,669,38
"KER3","CAT2.3D",130,148.3,149.4,148.9,0.55,6577,7997,7444,710,0.0129,0.00128,1420,7693,551,249,159
"KER3","CAT2.3D",133,152.3,153.4,152.8,0.55,7007,8108,7693,551,0.01762,0.00132,1101,7771,453,78,98
"KER3","CAT2.3D",134,153.6,154.8,154.2,0.6,7213,8118,7771,453,0.01827,0.00114,905,7926,262,155,191
"KER3","CAT2.3D",136,156.4,157.6,157,0.575,7616,8141,7926,262,0.01794,0.00066,525,8255,145,329,117
"KER3","CAT2.3D",139,160.4,161.5,160.9,0.55,8097,8386,8255,145,0.00563,0.00012,289,8724,369,469,224
"KER3","CAT2.3D",141,163,164.1,163.5,0.55,8269,9006,8724,369,0.00533,0.00024,737,8976,499,252,130
"KER3","CAT2.3D",142,164.3,165.5,164.9,0.575,8355,9352,8976,499,0.00561,0.00033,997,9355,696,379,197
"KER3","CAT2.3E",150,166.5,167.5,167,0.5,8486,9878,9355,696,0.00551,0.00043,1392,9823,945,468,249
"KER3","CAT2.3E",152,169.1,170.2,169.6,0.55,8640,10529,9823,945,0.00867,0.00086,1889,10317,485,494,460
"KER3","CAT2.3E",156,174.6,175.7,175.1,0.55,9715,10684,10317,485,0.01159,0.00058,969,10540,261,223,224
"KER3","CAT2.3E",158,177.2,178.3,177.8,0.55,10207,10729,10540,261,0.01202,0.00033,522,10648,205,108,56
"KER3","CAT2.3E",159,178.6,179.6,179.1,0.5,10375,10784,10648,205,0.01627,0.00036,409,10776,205,128,0
"KER3","CAT2.3E",163,183.8,184.9,184.3,0.55,10536,10945,10776,205,0.08283,0.00182,409,10810,204,34,1
"KER3","CAT2.3E",165,186.4,187.5,187,0.55,10579,10988,10810,204,0.08283,0.00181,409,10859,218,49,14
"KER3","CAT2.3E",168,190.4,191.5,190.9,0.55,10624,11061,10859,218,0.07455,0.00171,437,10907,197,48,21
"KER3","CAT2.3E",171,194,195,194.5,0.5,10687,11080,10907,197,0.07606,0.00157,393,10955,190,48,7
"KER3","CAT2.3E",174,197.7,198.6,198.1,0.45,10734,11115,10955,190,0.0717,0.00141,381,11010,179,55,11
"KER3","CAT2.3E",177,201.6,202.7,202.1,0.55,10796,11153,11010,179,0.07106,0.00135,357,11085,155,75,24
"KER3","CAT2.3E",181,207,208.1,207.5,0.55,10875,11185,11085,155,0.06905,0.00115,310,NA,NA,NA,NA
