"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","max_95CI_range_yrs","age_next","age_next_err","interval_yrs","interval_yrs_err"
"BI10","BI10.8",300,293.7,294.8,294.3,0.525,3864,4267,4041,202,0.1194,0.00617,403,4071,212,30,10
"BI10","BI10.8",303,297.4,298.4,297.9,0.5,3881,4306,4071,212,0.1194,0.00643,425,4149,236,78,24
"BI10","BI10.8",311,307.1,308,307.6,0.475,3938,4410,4149,236,0.12543,0.00734,472,4222,248,73,12
"BI10","BI10.8",318,315.7,316.8,316.2,0.55,3995,4491,4222,248,0.11586,0.00701,496,4329,265,107,17
"BI10","BI10.9",337,326,327.1,326.5,0.525,4086,4617,4329,265,0.08832,0.00555,531,4397,285,68,20
"BI10","BI10.9",342,332.1,333.1,332.6,0.5,4137,4707,4397,285,0.08975,0.00596,570,4480,310,83,25
"BI10","BI10.9",348,339.5,340.5,340,0.5,4191,4812,4480,310,0.0916,0.00648,621,4547,304,67,6
"BI10","BI10.9",353,345.7,346.7,346.2,0.525,4263,4871,4547,304,0.0916,0.00626,608,4652,302,105,2
"BI10","BI10.9",361,355.7,356.7,356.2,0.5,4359,4962,4652,302,0.09848,0.00652,603,4703,301,51,1
"BI10","BI10.9",365,360.7,361.7,361.2,0.5,4405,5006,4703,301,0.09404,0.00614,601,4768,292,65,9
"BI10","BI10.9",370,366.8,367.8,367.3,0.5,4473,5056,4768,292,0.09412,0.00588,583,4801,297,33,5
"BI10","BI10.10",382,370,370.9,370.4,0.475,4497,5091,4801,297,0.0921,0.00581,594,4852,283,51,14
"BI10","BI10.10",386,374.7,375.6,375.1,0.475,4557,5123,4852,283,0.09213,0.00549,566,4905,291,53,8
"BI10","BI10.10",390,379.5,380.5,380,0.5,4589,5171,4905,291,0.09132,0.00554,582,4931,274,26,17
"BI10","BI10.10",392,381.9,383,382.4,0.525,4637,5185,4931,274,0.09125,0.00519,548,4984,264,53,10
"BI10","BI10.10",396,386.7,387.8,387.2,0.55,4691,5220,4984,264,0.09129,0.00497,529,5077,237,93,27
"BI10","BI10.10",403,395.3,396.4,395.8,0.525,4812,5285,5077,237,0.09266,0.00444,473,5184,218,107,19
