"Site","n","mean_accrate","sd_accrate","mean_interval_yrs","mean_interval_yrs_err","sd_interval_yrs","se_interval_yrs"
"ACE",268,0.0633849253731343,0.0485810651566504,133,53,130,8
"BI10",68,0.0825813235294118,0.0395311534394327,122,35,106,13
"HER42PB",66,0.094730303030303,0.0664641487389936,77,25,44,5
"KER1",52,0.0408598076923077,0.0160443532905291,153,55,141,20
"KER3",51,0.0326249019607843,0.0243194856337505,220,122,185,26
"PB1",31,0.0429306451612903,0.0245625930953939,102,34,91,16
