"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"BI10","BI10.1",1,0,1.1,0.6,0.55,-61,7,1.1,4.5,0.55,3.9,0.777817459305202
"BI10","BI10.1",4,3.9,5,4.5,0.55,-20,52,1.1,12.3,0.55,7.8,0.777817459305202
"BI10","BI10.1",10,11.7,12.8,12.3,0.55,60,111,1.1,27.2,0.525,14.9,0.760345316287277
"BI10","BI10.1",22,26.7,27.8,27.2,0.525,214,145,1.1,36.7,0.475,9.5,0.707990112925315
"BI10","BI10.1",30,36.3,37.2,36.7,0.475,340,143,0.900000000000006,41.4,0.5,4.7,0.689655711206686
"BI10","BI10.1",34,40.9,41.9,41.4,0.5,404,138,1,46.4,0.5,5,0.707106781186548
"BI10","BI10.2",51,45.9,46.9,46.4,0.5,467,85,1,49.8,0.5,3.4,0.707106781186548
"BI10","BI10.2",54,49.3,50.3,49.8,0.5,509,91,1,58.9,0.5,9.1,0.707106781186548
"BI10","BI10.2",62,58.4,59.4,58.9,0.5,731,242,1,64.6,0.525,5.7,0.725
"BI10","BI10.2",67,64.1,65.2,64.6,0.525,891,203,1.10000000000001,69.2,0.55,4.60000000000001,0.760345316287277
"BI10","BI10.2",71,68.7,69.8,69.2,0.55,1024,184,1.09999999999999,80.5,0.5,11.3,0.743303437365925
"BI10","BI10.3",84,80,81,80.5,0.5,1228,153,1,85.3,0.525,4.8,0.725
"BI10","BI10.3",88,84.8,85.8,85.3,0.525,1270,137,1,93.5,0.5,8.2,0.725
"BI10","BI10.3",95,93,94,93.5,0.5,1342,127,1,96.8,0.5,3.3,0.707106781186548
"BI10","BI10.3",98,96.3,97.3,96.8,0.5,1371,114,1,103.7,0.475,6.90000000000001,0.689655711206686
"BI10","BI10.3",104,103.2,104.2,103.7,0.475,1487,145,1,115.4,0.5,11.7,0.689655711206686
"BI10","BI10.3",114,114.9,115.9,115.4,0.5,1768,310,1,121.2,0.475,5.8,0.689655711206686
"BI10","BI10.3",119,120.7,121.7,121.2,0.475,1912,318,1,122.3,0.45,1.09999999999999,0.65431261641512
"BI10","BI10.3",120,121.8,122.7,122.3,0.45,1943,288,0.900000000000006,132.5,0.5,10.2,0.672681202353686
"BI10","BI10.4",145,132,133,132.5,0.5,2196,139,1,144.2,0.55,11.7,0.743303437365925
"BI10","BI10.4",155,143.7,144.8,144.2,0.55,2368,161,1.10000000000002,156.6,0.525,12.4,0.760345316287277
"BI10","BI10.5",172,156.1,157.2,156.6,0.525,2501,159,1.09999999999999,160.5,0.55,3.90000000000001,0.760345316287277
"BI10","BI10.5",175,159.9,161,160.5,0.55,2532,181,1.09999999999999,167.6,0.5,7.09999999999999,0.743303437365925
"BI10","BI10.5",181,167.1,168.1,167.6,0.5,2579,203,1,179.6,0.5,12,0.707106781186548
"BI10","BI10.5",191,179.1,180.1,179.6,0.5,2658,253,1,183.3,0.5,3.70000000000002,0.707106781186548
"BI10","BI10.5",194,182.8,183.8,183.3,0.5,2693,245,1,187,0.5,3.69999999999999,0.707106781186548
"BI10","BI10.5",197,186.5,187.5,187,0.5,2729,248,1,192.8,0.475,5.80000000000001,0.689655711206686
"BI10","BI10.5",202,192.4,193.3,192.8,0.475,2816,256,0.900000000000006,206,0.525,13.2,0.707990112925315
"BI10","BI10.6",221,205.5,206.6,206,0.525,3085,299,1.09999999999999,217.5,0.5,11.5,0.725
"BI10","BI10.6",231,217,218,217.5,0.5,3305,291,1,230.9,0.525,13.4,0.725
"BI10","BI10.6",242,230.4,231.5,230.9,0.525,3561,213,1.09999999999999,241.1,0.925,10.2,1.06360236930913
"BI10","BI10.6",250,240.2,242,241.1,0.925,3684,163,1.80000000000001,253.2,0.5,12.1,1.05148704224065
"BI10","BI10.7",259,252.7,253.7,253.2,0.5,3756,160,1,267.5,0.5,14.3,0.707106781186548
"BI10","BI10.7",271,267,268,267.5,0.5,3839,157,1,278.4,0.5,10.9,0.707106781186548
"BI10","BI10.7",280,277.9,278.9,278.4,0.5,3910,155,1,294.3,0.525,15.9,0.725
"BI10","BI10.8",300,293.7,294.8,294.3,0.525,4041,202,1.10000000000002,297.9,0.5,3.59999999999997,0.725
"BI10","BI10.8",303,297.4,298.4,297.9,0.5,4071,212,1,307.6,0.475,9.70000000000005,0.689655711206686
"BI10","BI10.8",311,307.1,308,307.6,0.475,4149,236,0.899999999999977,316.2,0.55,8.59999999999997,0.726722092687432
"BI10","BI10.8",318,315.7,316.8,316.2,0.55,4222,248,1.10000000000002,326.5,0.525,10.3,0.760345316287277
"BI10","BI10.9",337,326,327.1,326.5,0.525,4329,265,1.10000000000002,332.6,0.5,6.10000000000002,0.725
"BI10","BI10.9",342,332.1,333.1,332.6,0.5,4397,285,1,340,0.5,7.39999999999998,0.707106781186548
"BI10","BI10.9",348,339.5,340.5,340,0.5,4480,310,1,346.2,0.525,6.19999999999999,0.725
"BI10","BI10.9",353,345.7,346.7,346.2,0.525,4547,304,1,356.2,0.5,10,0.725
"BI10","BI10.9",361,355.7,356.7,356.2,0.5,4652,302,1,361.2,0.5,5,0.707106781186548
"BI10","BI10.9",365,360.7,361.7,361.2,0.5,4703,301,1,367.3,0.5,6.10000000000002,0.707106781186548
"BI10","BI10.9",370,366.8,367.8,367.3,0.5,4768,292,1,370.4,0.475,3.09999999999997,0.689655711206686
"BI10","BI10.10",382,370,370.9,370.4,0.475,4801,297,0.899999999999977,375.1,0.475,4.70000000000005,0.67175144212722
"BI10","BI10.10",386,374.7,375.6,375.1,0.475,4852,283,0.900000000000034,380,0.5,4.89999999999998,0.689655711206686
"BI10","BI10.10",390,379.5,380.5,380,0.5,4905,291,1,382.4,0.525,2.39999999999998,0.725
"BI10","BI10.10",392,381.9,383,382.4,0.525,4931,274,1.10000000000002,387.2,0.55,4.80000000000001,0.760345316287277
"BI10","BI10.10",396,386.7,387.8,387.2,0.55,4984,264,1.10000000000002,395.8,0.525,8.60000000000002,0.760345316287277
"BI10","BI10.10",403,395.3,396.4,395.8,0.525,5077,237,1.09999999999997,404.1,0.5,8.30000000000001,0.725
"BI10","BI10.10",410,403.6,404.6,404.1,0.5,5184,218,1,413.4,0.5,9.29999999999995,0.707106781186548
"BI10","BI10.11",422,412.9,413.9,413.4,0.5,5402,234,1,415.7,0.5,2.30000000000001,0.707106781186548
"BI10","BI10.11",424,415.2,416.2,415.7,0.5,5491,287,1,419.3,0.5,3.60000000000002,0.707106781186548
"BI10","BI10.11",427,418.8,419.8,419.3,0.5,5629,395,1,433.8,0.5,14.5,0.707106781186548
"BI10","BI10.11",439,433.3,434.3,433.8,0.5,6189,221,1,438.7,0.55,4.89999999999998,0.743303437365925
"BI10","BI10.11",443,438.2,439.3,438.7,0.55,6306,199,1.10000000000002,446.3,0.525,7.60000000000002,0.760345316287277
"BI10","BI10.11",449,445.8,446.8,446.3,0.525,6403,202,1,453,0.6,6.69999999999999,0.797260935955099
"BI10","BI10.12",461,452.4,453.6,453,0.6,6471,196,1.20000000000005,458.1,0.55,5.10000000000002,0.813941029804985
"BI10","BI10.12",465,457.6,458.7,458.1,0.55,6522,187,1.09999999999997,463.4,0.5,5.29999999999995,0.743303437365925
"BI10","BI10.12",469,462.9,463.9,463.4,0.5,6579,169,1,473.6,0.55,10.2,0.743303437365925
"BI10","BI10.12",477,473.1,474.2,473.6,0.55,6809,257,1.09999999999997,477.5,0.55,3.89999999999998,0.777817459305202
"BI10","BI10.12",480,476.9,478,477.5,0.55,6978,441,1.10000000000002,491.5,0.5,14,0.743303437365925
"BI10","BI10.13",519,491,492,491.5,0.5,7600,600,1,495.3,0.5,3.80000000000001,0.707106781186548
"BI10","BI10.13",522,494.8,495.8,495.3,0.5,7780,589,1,499.2,0.5,3.89999999999998,0.707106781186548
"BI10","BI10.13",525,498.7,499.7,499.2,0.5,7965,603,1,504.5,0.6,5.30000000000001,0.781024967590665
"BI10","BI10.13",529,503.9,505.1,504.5,0.6,8096,608,1.20000000000005,NA,NA,NA,NA
