"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"PB1","PB1.1A",4,5,6.3,5.7,0.7,-55.5,12,1.3,10.4,0.7,4.7,0.989949493661166
"PB1","PB1.1A",7,9.8,11.1,10.4,0.7,-2.1,76,1.3,13.2,0.6,2.8,0.921954445729289
"PB1","PB1.1A",9,12.6,13.8,13.2,0.6,29.6,84,1.2,20.1,0.7,6.9,0.921954445729289
"PB1","PB1.1A",14,19.4,20.7,20.1,0.7,112.8,109,1.3,22.9,0.6,2.8,0.921954445729289
"PB1","PB1.1A",16,22.3,23.5,22.9,0.6,145.3,102,1.2,24.3,0.6,1.4,0.848528137423857
"PB1","PB1.1A",17,23.7,24.9,24.3,0.6,161.6,105,1.2,31,0.6,6.7,0.848528137423857
"PB1","PB1.1A",22,30.4,31.6,31,0.6,256.4,107,1.2,39.2,0.6,8.2,0.848528137423857
"PB1","PB1.1A",28,38.5,39.8,39.2,0.6,472.8,229,1.3,44.7,0.6,5.5,0.848528137423857
"PB1","PB1.1A",32,44,45.3,44.7,0.6,613.7,243,1.3,47,0.6,2.3,0.848528137423857
"PB1","PB1.1B",39,46.4,47.6,47,0.6,672.7,226,1.2,49.9,0.6,2.9,0.848528137423857
"PB1","PB1.1B",41,49.3,50.5,49.9,0.6,747.3,233,1.2,51.2,0.6,1.3,0.848528137423857
"PB1","PB1.1B",42,50.6,51.8,51.2,0.6,778.9,215,1.2,53.9,0.6,2.7,0.848528137423857
"PB1","PB1.1B",44,53.3,54.5,53.9,0.6,844.3,199,1.2,55.2,0.6,1.3,0.848528137423857
"PB1","PB1.1B",45,54.7,55.8,55.2,0.6,876.3,196,1.09999999999999,56.8,0.9,1.59999999999999,1.0816653826392
"PB1","PB1.1B",46,56,57.7,56.8,0.9,918.8,158,1.7,64.9,0.5,8.10000000000001,1.0295630140987
"PB1","PB1.1B",52,64.3,65.4,64.9,0.5,1274.3,387,1.10000000000001,67.5,0.6,2.59999999999999,0.781024967590665
"PB1","PB1.1B",54,66.9,68.1,67.5,0.6,1411.9,417,1.19999999999999,71.4,0.6,3.90000000000001,0.848528137423857
"PB1","PB1.1B",57,70.8,72,71.4,0.6,1620.1,476,1.2,78.3,0.6,6.89999999999999,0.848528137423857
"PB1","PB1.1B",62,77.7,78.9,78.3,0.6,2008.3,503,1.2,81,0.5,2.7,0.781024967590665
"PB1","PB1.1B",64,80.4,81.5,81,0.5,2167.2,475,1.09999999999999,82.3,0.5,1.3,0.707106781186548
"PB1","PB1.1B",65,81.7,82.8,82.3,0.5,2244.6,431,1.09999999999999,83.6,0.5,1.3,0.707106781186548
"PB1","PB1.1B",66,83,84.1,83.6,0.5,2322.1,411,1.09999999999999,84.9,0.5,1.30000000000001,0.707106781186548
"PB1","PB1.1B",67,84.3,85.4,84.9,0.5,2399.5,405,1.10000000000001,86.1,0.5,1.19999999999999,0.707106781186548
"PB1","PB1.1B",68,85.6,86.6,86.1,0.5,2462.5,338,1,89.7,0.5,3.60000000000001,0.707106781186548
"PB1","PB1.1C",77,89.2,90.3,89.7,0.5,2649.3,226,1.09999999999999,92.4,0.5,2.7,0.707106781186548
"PB1","PB1.1C",79,91.8,92.9,92.4,0.5,2722.3,219,1.10000000000001,95.1,0.5,2.69999999999999,0.707106781186548
"PB1","PB1.1C",81,94.5,95.6,95.1,0.5,2787.1,252,1.09999999999999,99.1,0.5,4,0.707106781186548
"PB1","PB1.1C",84,98.5,99.6,99.1,0.5,2884.4,254,1.09999999999999,101.8,0.5,2.7,0.707106781186548
"PB1","PB1.1C",86,101.2,102.3,101.8,0.5,2950.8,242,1.09999999999999,103.1,0.5,1.3,0.707106781186548
"PB1","PB1.1C",87,102.6,103.7,103.1,0.5,2982.9,242,1.10000000000001,104.4,0.5,1.30000000000001,0.707106781186548
"PB1","PB1.1C",88,103.9,105,104.4,0.5,3015,244,1.09999999999999,NA,NA,NA,NA
