"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-8.39496670917362,2.26e-05,7.48560726800855,520.9093274,7.39289016279782,5.39293431417941,9.39284601141623
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-8.37602788638916,2.3e-05,7.19403248256761,522.7119355,7.40263893986021,5.40280416808864,9.40247371163177
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.36187890312968,2.34e-05,7.34292552813836,589.8765904,7.40992214246609,5.41017645251749,9.40966783241469
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-8.18875312649229,2.78e-05,8.51167617120909,1373.757336,7.49903880084546,5.50028793923044,9.49778966246047
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-7.29016130310354,6.82e-05,9.70852820561717,3980.600316,7.96158979759944,5.9651688256717,9.95801076952718
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-8.20778754375304,2.73e-05,9.28808227205149,2190.076237,7.48924081643537,5.49038919144942,9.48809244142133
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.97366032888239,3.44e-05,11.1074916836214,13007.37375,7.60975802323262,5.61199776627428,9.60751828019095
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-8.39939682251541,2.25e-05,7.8159441609251,632.4407929,7.39060975773666,5.39062528352167,9.39059423195164
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-8.91384227511996,1.35e-05,10.0604577084739,3611.164788,7.12579847113891,5.12170841740319,9.12988852487464
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-7.33904139858332,6.5e-05,6.76619014300013,403.6307052,7.93642872190621,5.94000340610709,9.93285403770533
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-7.4600871590999,5.76e-05,8.95758858231473,2010.436754,7.87412030141709,5.87762358058289,9.87061702225129
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-7.7589303125675,4.27e-05,7.58747244830713,728.4065428,7.72029050360272,5.72324759248635,9.71733341471908
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-8.10310867073715,3.03e-05,9.57217944611186,3663.807136,7.54312436599849,5.54480053747053,9.54144819452646
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-9.31237309754133,9.03e-06,8.03772748025162,982.5430133,6.92065435080516,4.91232278750234,8.92898591410797
"Bird Island","BI10","BI10.3",95,93,94,93.5,-7.26963804583493,6.96e-05,8.05006593280735,945.8757012,7.97215416382128,5.97573081580678,9.96857751183578
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.8120161003019,0.000110047,8.02113085077993,864.5444411,8.20771549604501,6.21059410505204,10.204836887038
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-7.70149878643565,4.52e-05,7.26163413962075,617.0473108,7.74985343636701,5.75295635146581,9.74675052126822
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-8.50870928176793,2.02e-05,7.44814768922964,574.2556523,7.334341065246,5.33361380506351,9.33506832542848
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-8.65337380441395,1.75e-05,6.52682657511811,330.288126,7.2598748644603,5.25805697521125,9.26169275370934
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-8.66461489500334,1.73e-05,7.40329878069465,595.6836327,7.25408850237532,5.25218073774549,9.25599626700514
"Bird Island","BI10","BI10.4",145,141,142,141.5,-8.58750836533126,1.86e-05,8.59651663617452,1133.053064,7.29377916194705,5.29247302628588,9.29508529760821
