Marion Island,PB1,PB1.1C,PB1.1C_92,C,92,1.9,2.2,1,0.2386,29.4,30.4,29.9,109.4,110.4,109.9,109.4,110.4,109.9,109.9,0.5,2924.2,3313.6,3157.7,3149.3,195,0.02403,0.00159,1.1476,5.9388,3.358,4.7912,2.2104,53.87,46.13,2.31,NA,NA,NA,NA,NA,3.134,3.0118,1.5288,0.7053,0.713,0.0169,0.0183,107.7
Marion Island,PB1,PB1.1C,PB1.1C_93,C,93,1.9,2.1,1.2,0.2386,30.6,31.8,31.2,110.6,111.8,111.2,110.6,111.8,111.2,111.2,0.6,3029.7,3333.3,3207.8,3202.9,152,0.02283,0.0012,1.1476,6.0074,3.5856,4.8598,2.438,49.83,50.17,2.51,NA,NA,NA,NA,NA,3.611,3.5027,1.3458,0.6752,0.6887,0.0154,0.0165,107.3
Marion Island,PB1,PB1.1C,PB1.1C_94,C,94,1.9,2.1,1.1,0.2386,32,33.1,32.6,112,113.1,112.6,112,113.1,112.6,112.6,0.5,3109.8,3369.4,3280,3262.6,130,0.02414,0.00108,1.1476,5.779,3.5514,4.6314,2.4038,48.1,51.9,2.6,NA,NA,NA,NA,NA,3.454,3.3849,1.3409,0.6959,0.7168,0.0168,0.0181,107.5
Marion Island,PB1,PB1.1C,PB1.1C_95,C,95,1.9,2,1.1,0.2386,33.4,34.5,33.9,113.4,114.5,113.9,113.4,114.5,113.9,113.9,0.5,3152.6,3467,3327.1,3318.1,157,0.02069,0.00108,1.1476,5.117,3.9592,3.9694,2.8116,29.17,70.83,3.54,NA,NA,NA,NA,NA,3.1172,3.0798,1.2734,0.9019,0.9362,0.0187,0.0203,109
Marion Island,PB1,PB1.1C,PB1.1C_96,C,96,1.9,1.8,0.9,0.2386,34.7,35.6,35.2,114.7,115.6,115.2,114.7,115.6,115.2,115.2,0.5,3194.4,3582.5,3375.5,3377.9,194,0.01598,0.00098,1.1476,5.7554,3.4107,4.6078,2.2631,50.89,49.11,2.46,NA,NA,NA,NA,NA,2.418,2.4107,1.9056,0.9359,0.9799,0.015,0.0166,110.8
Marion Island,PB1,PB1.1C,PB1.1C_97,C,97,2.1,2,1.1,0.2386,35.8,36.9,36.4,115.8,116.9,116.4,115.8,116.9,116.4,116.4,0.5,3306.3,3620.8,3454.3,3455.5,157,0.01594,0.0008,1.1476,5.1095,4.2383,3.9619,3.0907,21.99,78.01,3.9,NA,NA,NA,NA,NA,3.6289,3.6688,1.0918,0.8517,0.9036,0.0136,0.0151,111.1
Marion Island,PB1,PB1.1C,PB1.1C_98,C,98,1.9,1.8,1.1,0.2386,37.2,38.3,37.7,117.2,118.3,117.7,117.2,118.3,117.7,117.7,0.5,3409.5,3679,3536,3539.4,135,0.0148,0.00063,1.1476,5.5342,3.4364,4.3866,2.2888,47.82,52.18,2.61,NA,NA,NA,NA,NA,2.876,2.9234,1.5252,0.7958,0.8487,0.0118,0.0131,110.9
Marion Island,PB1,PB1.1C,PB1.1C_99,C,99,2,1.9,1.1,0.2386,38.5,39.6,39.1,118.5,119.6,119.1,118.5,119.6,119.1,119.1,0.5,3492.1,3775.9,3627.8,3629.9,142,0.01084,0.00047,1.1476,5.8531,3.4937,4.7055,2.3461,50.14,49.86,2.49,NA,NA,NA,NA,NA,3.1998,3.291,1.4705,0.7332,0.7907,0.008,0.0089,112.2
Marion Island,PB1,PB1.1C,PB1.1C_100,C,100,1.9,2,1.2,0.2386,39.9,41.1,40.5,119.9,121.1,120.5,119.9,121.1,120.5,120.5,0.6,3624.5,3910.4,3756.5,3757.9,143,0.00764,0.00033,1.1476,6.9734,4.2645,5.8258,3.1169,46.5,53.5,2.68,NA,NA,NA,NA,NA,3.582,3.7217,1.6264,0.8702,0.9476,0.0066,0.0075,113.2
Marion Island,PB1,PB1.1C,PB1.1C_101,C,101,2,2.2,1.1,0.2386,41.3,42.4,41.8,121.3,122.4,121.8,121.3,122.4,121.8,121.8,0.5,3771.1,4090,3943.1,3939.7,159,0.00697,0.00031,1.1476,7.765,4.7104,6.6174,3.5628,46.16,53.84,2.69,NA,NA,NA,NA,NA,3.808,4.0061,1.7377,0.9356,1.031,0.0065,0.0075,114.7
Marion Island,PB1,PB1.1C,PB1.1C_102,C,102,2,2.1,1.2,0.2386,42.6,43.8,43.2,122.6,123.8,123.2,122.6,123.8,123.2,123.2,0.6,3857.4,4338.5,4149.9,4135.4,241,0.00737,0.00046,1.1476,6.6666,4.1639,5.519,3.0163,45.35,54.65,2.73,NA,NA,NA,NA,NA,3.7018,3.9258,1.4909,0.8148,0.9048,0.006,0.007,117.3
Marion Island,PB1,PB1.1C,PB1.1C_103,C,103,1.8,2,1.1,0.2386,44,45.1,44.5,124,125.1,124.5,124,125.1,124.5,124.5,0.5,3924.7,4605.2,4340.3,4317.1,340,0.00944,0.00078,1.1476,6.1663,4.1525,5.0187,3.0049,40.13,59.87,2.99,NA,NA,NA,NA,NA,2.8978,3.0934,1.7319,1.037,1.1588,0.0098,0.0118,120.1
Marion Island,PB1,PB1.1C,PB1.1C_104,C,104,2.2,2.2,2,0.2386,45.3,47.3,46.3,125.3,127.3,126.3,125.3,127.3,126.3,126.3,1,4217.6,4741.8,4511.8,4501.3,262,0.01121,0.00074,1.1476,11.6291,8.1805,10.4815,7.0329,32.9,67.1,3.35,NA,NA,NA,NA,NA,7.4088,8.0312,1.4147,0.9493,1.0765,0.0106,0.0128,120
Marion Island,PB1,PB1.1C,PB1.1C_105,C,105,2.1,1.7,2.5,0.2386,47.5,50,48.8,127.5,130,128.8,127.5,130,128.8,128.8,1.3,4508.9,4925,4718.5,4721,208,NA,NA,1.1476,11.8195,7.37,10.6719,6.2224,41.69,58.31,2.92,NA,NA,NA,NA,NA,6.8994,7.5031,1.5468,0.9019,1.0259,NA,NA,NA
