"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,88,47.1826239202527,4.369649931,0.022750235,24.9012995339895,-27.7599594580383,77.5625585260174
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,98.9166666666667,46.7555700781557,3.255429522,0.010150183,25.4767007816928,-27.1732603792498,78.1266619426354
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,71.25,53.7623136001081,5.828405269,0.020076539,24.0184319707197,-28.6642017395089,76.7010656809483
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,87.4166666666667,47.7768645672651,18.80830619,0.176446353,24.8705529024329,-27.7913682918064,77.5324740966721
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,137.5,51.6682795447179,25.3957986,0.092788179,27.5103708403691,-25.1163290289844,80.1370707097226
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,143,51.5014562900895,25.1006547,0.200410389,27.800267652189,-24.8252338920355,80.4257691964136
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,142.2,30.1101680869141,12.41602198,0.076135345,27.758100843197,-24.8675421539177,80.3837438403118
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,125.090909090909,36.7190809946397,30.70187991,0.12301453,26.8563061327092,-25.7750387653247,79.487651030743
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,129.454545454545,54.4763501647525,12.23274868,0.369735042,27.0863069090291,-25.5430979125546,79.7157117306129
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,131.818181818182,61.3413696974859,44.61646774,0.152122701,27.2108906628691,-25.4176021703149,79.8393834960531
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,155.666666666667,37.5991618217344,36.59073739,0.331067449,28.4679087945623,-24.1568433914088,81.0926609805333
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,190.333333333333,43.3491812512245,34.06414422,0.025144385,30.2951371842152,-22.3418991631945,82.932173531625
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,171.545454545455,48.6258442319794,39.61078518,0.154761353,29.3048560639488,-23.3229168481286,81.9326289760262
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,128.909090909091,34.9212100175654,37.01157435,0.426171368,27.0575568119892,-25.5720723286359,79.6871859526142
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,99.0909090909091,68.6461281434788,25.20300712,0.083140624,25.4858848404694,-27.1639128509037,78.1356825318426
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,94.0909090909091,41.0596019110136,18.81424853,0.085012501,25.2223422842695,-27.4323567656546,77.8770413341935
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,103.363636363636,42.2475389277831,19.39416739,0.073912797,25.7110939339494,-26.9348609833219,78.3570488512207
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,134.181818181818,45.8493580801698,42.10225675,0.101834918,27.3354744167091,-25.2922040305365,79.9631528639546
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,169,40.0444197804832,62.86286744,0.567434644,29.1706889444288,-23.4563032249516,81.7976811138092
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,161.454545454545,39.9683966062279,77.32937965,0.189230748,28.7729792687088,-23.852363726238,81.3983222636557
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,166.363636363636,39.8227892726583,40.6484082,0.139015902,29.0317301420688,-23.5945727432063,81.6580330273439
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,194.5,48.1106678776793,67.58862806,0.371106986,30.5147559810486,-22.1251699455156,83.1546819076127
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,153.909090909091,62.8258777025113,58.21751812,0.419583377,28.3752695929889,-24.2494190518316,80.9999582378094
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,128.117647058824,45.5643533271092,34.00992075,0.690963856,27.0158409849115,-25.6141228800994,79.6458048499225
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,158.727272727273,33.8203811601552,31.39605337,0.356175262,28.6292287835089,-23.9957628921078,81.2542204591256
