"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,4.49868218112284,0.224934109056142,5.943882920053,0.29719414600265,4.86371094504553,3.76463080643399,5.96279108365706
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,4.77526453674322,0.238763226837161,5.79254094240942,0.289627047120471,5.03338246977448,3.93263286057756,6.1341320789714
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.27611304436587,0.163805652218293,4.41985774210023,0.220992887105011,4.11371671979989,3.01535287594626,5.21208056365351
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.63177321354107,0.131588660677054,3.63124035163831,0.181562017581915,3.71844160800029,2.61608274150607,4.82080047449451
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,3.8456062542936,0.19228031271468,4.29698441782345,0.214849220891173,4.46307660949527,3.36573366297415,5.5604195560164
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,4.589623528963,0.22948117644815,5.11463757134918,0.255731878567459,4.919499598354,3.81993165274419,6.0190675439638
"Bird Island","BI10","BI10.2",45,44,45,44.5,3.66120844190471,0.183060422095236,4.3540560961122,0.21770280480561,4.34995638563093,3.25254152386626,5.44737124739559
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,2.60175507918499,0.13008775395925,5.31484152233614,0.265742076116807,3.70002675787621,2.59740870240725,4.80264481334517
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,2.49853687898812,0.124926843949406,4.54887106984056,0.227443553492028,3.63670677722199,2.53314811885464,4.74026543558934
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,2.56228906851198,0.128114453425599,3.52571668576342,0.176285834288171,3.67581603701934,2.57284736527075,4.77878470876794
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,2.6010977371724,0.13005488685862,3.49959649542173,0.174979824771087,3.69962350647829,2.59699970279266,4.80224731016392
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,2.83388970190524,0.141694485095262,3.58559083008807,0.179279541504403,3.8424314868076,2.74164889641562,4.94321407719958
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,2.57067627256312,0.128533813628156,3.44471116762741,0.17223555838137,3.68096123037913,2.57806800647346,4.78385445428479
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,2.47278641567096,0.123639320783548,3.55376607479954,0.177688303739977,3.6209099619707,2.51710473823597,4.72471518570543
"Bird Island","BI10","BI10.3",95,93,94,93.5,3.14917614794375,0.157458807397187,4.53394780132259,0.226697390066129,4.0358463266868,2.936933293487,5.1347593598866
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,2.94923495342757,0.147461747671378,4.25632323302847,0.212816161651424,3.91319089823911,2.81317574517509,5.01320605130312
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,2.50398560623888,0.125199280311944,3.30950909748898,0.165475454874449,3.64004933990425,2.53654224507128,4.74355643473722
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,4.31464262368915,0.215732131184458,5.23781256754478,0.261890628377239,4.75081049537593,3.65253390824426,5.8490870825076
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,2.74993009688985,0.137496504844492,4.21882452377154,0.210941226188577,3.79092583610675,2.6895242041136,4.8923274680999
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,4.68847694075842,0.234423847037921,3.5098958356037,0.175494791780185,4.98014196675949,3.87997581602127,6.0803081174977
"Bird Island","BI10","BI10.4",145,141,142,141.5,3.06676064908179,0.153338032454089,5.71210394124586,0.285605197062293,3.98528791951061,2.88595569560845,5.08462014341276
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,3.98862357314274,0.199431178657137,3.65131099224666,0.182565549612333,4.55081165859973,3.45335384143092,5.64826947576854
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,3.57331892629457,0.178665946314729,5.89594477258963,0.294797238629482,4.29603990174021,3.19850356042342,5.393576243057
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,3.61772188945697,0.180886094472848,5.2390017419426,0.26195008709713,4.32327923320569,3.22581129967644,5.42074716673495
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,3.72123571298003,0.186061785649002,5.90798074120389,0.295399037060194,4.38678056621115,3.28941632185324,5.48414481056905
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,4.51688684405427,0.225844342202713,5.10963560679435,0.255481780339718,4.8748787323392,3.7757057448107,5.9740517198677
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,5.08663120986381,0.25433156049319,4.66473484136171,0.233236742068085,5.22439269549786,4.12110289429356,6.32768249670215
"Bird Island","BI10","BI10.5",197,194,195,194.5,4.96022117358373,0.248011058679187,5.16760548217929,0.258380274108964,5.14684550869856,4.04467111206162,6.24901990533551
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,4.96117928395469,0.248058964197735,6.41992726597141,0.320996363298571,5.14743326870637,4.04525084987128,6.24961568754146
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,4.62722825241474,0.231361412620737,5.98153519672194,0.299076759836097,4.94256849857634,3.84278132739541,6.04235566975727
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,4.10886282646795,0.205443141323398,5.58924464255764,0.279462232127882,4.62457333221843,3.52690361647772,5.72224304795913
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,4.88245316904384,0.244122658452192,5.47908978535339,0.273954489267669,5.0991381418428,3.99759285885944,6.20068342482616
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,4.34750313295269,0.217375156647634,6.09135681902216,0.304567840951108,4.77096902174906,3.67256700370246,5.86937103979565
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,4.47574135263033,0.223787067631517,5.68619387011857,0.284309693505928,4.84963772139343,3.75067116368532,5.94860427910154
"Bird Island","BI10","BI10.7",271,265,266,265.5,5.02975488595034,0.251487744297517,5.87778971973103,0.293889485986552,5.18950148713524,4.0867277481845,6.29227522608598
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4.25691495199662,0.212845747599831,5.90380523454005,0.295190261727002,4.71539702131988,3.61732177361096,5.81347226902879
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,5.79074521919997,0.289537260959999,6.21543738621703,0.310771869310852,5.65633672634219,4.54474865099541,6.76792480168897
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,5.14838646398879,0.257419323199439,6.39698117163555,0.319849058581778,5.26227692026667,4.15840051945678,6.36615332107656
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4.93619630860101,0.246809815430051,5.89365879384514,0.294682939692257,5.1321072747144,4.03013187760631,6.23408267182248
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,5.31823337467386,0.265911668733693,6.71447739806212,0.335723869903106,5.36647078412252,4.26084035394852,6.47210121429652
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4.15903674213823,0.207951837106912,6.09959866373978,0.304979933186989,4.65535289787186,3.55756362341301,5.75314217233071
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,5.50275167653456,0.275137583826728,7.7090723737472,0.38545361868736,5.4796649231589,4.3718960168299,6.5874338294879
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,4.63377646702076,0.231688823351038,5.47203503198816,0.273601751599408,4.94658555003996,3.84675915765419,6.04641194242574
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,4.7138097246959,0.235690486234795,4.90437515889738,0.245218757944869,4.9956825534562,3.89535172102761,6.0960133858848
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5.1358299571419,0.256791497857095,6.09589329603419,0.304794664801709,5.25457403677216,4.15081912054798,6.35832895299634
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5.10715697840935,0.255357848920468,5.64381860198792,0.282190930099396,5.23698438247494,4.13350264392095,6.34046612102893
