"Rank","Model","R2","RMSE","RMSEP","AIC","BIC","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation","AIC_BIC_explanation"
1,"PLS_LOO",0.608456680906178,0.822327315016661,0.829368800202076,NA,NA,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
2,"PLS_kfold",0.608456680906178,0.822327315016661,0.829368800202076,NA,NA,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
3,"WLS_weighted",0.608229412035276,0.822565937768544,0.822565937768544,661.816062941063,672.589023882596,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
4,"OLS_weighted",0.401191970178938,1.01694769214115,1.01694769214115,788.726977570257,799.499938511789,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
5,"OLS",0.608456680906178,0.822327315016661,0.829368800202076,661.700465220814,672.473426162346,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
6,"Bayes",0.608455753869673,0.822328288506632,0.82935001460496,661.701099749555,672.474060691087,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
7,"RF",0.548048763750547,0.883487881224547,0.8578115103714,NA,NA,"Ranking logic: (1) All PLS models are ranked above non-PLS models; (2) among non-PLS models, if R2, RMSE and RMSEP are equal, WLS models are preferred over OLS_weighted, which are preferred over OLS; (3) otherwise, within each group, models are ordered by higher R2, lower RMSE, lower RMSEP, then lower AIC/BIC where available.","R2 is the fraction of variance in the ICP data explained by the model (1 − SS_res / SS_tot); higher is better.","RMSE is the root mean squared error of calibration; lower values indicate better fit on the observed data.","RMSEP is RMSE estimated by cross-validation (10-fold here when available); lower values indicate better predictive performance.","AIC and BIC penalise model complexity; lower values indicate a better balance between fit and complexity. NA means these criteria are not available for that model type."
